,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,51966,26643,25323,42293,22457,19836,9673,4186,5487,15943,7962,7981,13831,7016,6815,2112,946,1166,32809,16615,16194,26708,14001,12707,6101,2614,3487,3214,2066,1148,1754,1440,314,1460,626,834
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",56250,27919,28331,43790,23214,20576,12460,4705,7755,33165,15364,17801,27106,12912,14194,6059,2452,3607,19400,11210,8190,14767,9022,5745,4633,2188,2445,3685,1345,2340,1917,1280,637,1768,65,1703
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,13431,5946,7485,12031,5458,6573,1400,488,912,4834,1370,3464,4662,1370,3292,172,0,172,6748,3539,3209,5962,3051,2911,786,488,298,1849,1037,812,1407,1037,370,442,0,442
61,NYC-Manhattan Community District 10--Central Harlem PUMA,41354,18716,22638,34652,15162,19490,6702,3554,3148,20715,9283,11432,18586,8426,10160,2129,857,1272,17471,6856,10615,13705,4813,8892,3766,2043,1723,3168,2577,591,2361,1923,438,807,654,153
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,31887,15784,16103,26924,14487,12437,4963,1297,3666,18747,8902,9845,16506,8636,7870,2241,266,1975,12601,6679,5922,9879,5648,4231,2722,1031,1691,539,203,336,539,203,336,0,0,0
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,20943,9289,11654,17970,8569,9401,2973,720,2253,5289,2593,2696,4655,2317,2338,634,276,358,13706,5693,8013,11453,5249,6204,2253,444,1809,1948,1003,945,1862,1003,859,86,0,86
64,Albany County (East Central)--Albany City PUMA,34812,17800,17012,30168,15933,14235,4644,1867,2777,13965,6938,7027,12826,6750,6076,1139,188,951,18768,9851,8917,15917,8558,7359,2851,1293,1558,2079,1011,1068,1425,625,800,654,386,268
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,29047,16543,12504,24028,14250,9778,5019,2293,2726,15214,8017,7197,13194,7309,5885,2020,708,1312,13323,8253,5070,10649,6756,3893,2674,1497,1177,510,273,237,185,185,0,325,88,237
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,39308,19591,19717,33496,18059,15437,5812,1532,4280,12385,4764,7621,10533,4376,6157,1852,388,1464,25437,13685,11752,21807,12871,8936,3630,814,2816,1486,1142,344,1156,812,344,330,330,0
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",28546,11111,17435,23826,10131,13695,4720,980,3740,5216,1918,3298,4472,1780,2692,744,138,606,18358,6774,11584,15590,6128,9462,2768,646,2122,4972,2419,2553,3764,2223,1541,1208,196,1012
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",18046,8259,9787,15269,7357,7912,2777,902,1875,4687,1702,2985,4158,1583,2575,529,119,410,10323,4617,5706,8620,3930,4690,1703,687,1016,3036,1940,1096,2491,1844,647,545,96,449
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",27076,13015,14061,22477,11640,10837,4599,1375,3224,14853,7120,7733,13068,6728,6340,1785,392,1393,10307,4749,5558,8060,3997,4063,2247,752,1495,1916,1146,770,1349,915,434,567,231,336
70,Erie County (Northeast) PUMA,48221,24942,23279,40449,22032,18417,7772,2910,4862,22087,10229,11858,19685,9558,10127,2402,671,1731,25014,13712,11302,19644,11473,8171,5370,2239,3131,1120,1001,119,1120,1001,119,0,0,0
71,NYC-Manhattan Community District 11--East Harlem PUMA,32081,14559,17522,25380,12166,13214,6701,2393,4308,16266,7074,9192,14621,6553,8068,1645,521,1124,13535,6043,7492,10157,5106,5051,3378,937,2441,2280,1442,838,602,507,95,1678,935,743
72,Orange County (Southeast) PUMA,40644,23048,17596,33680,21088,12592,6964,1960,5004,17139,8816,8323,15021,8485,6536,2118,331,1787,21737,12844,8893,17703,11647,6056,4034,1197,2837,1768,1388,380,956,956,0,812,432,380
73,Westchester County (Southeast) PUMA,28874,15521,13353,24399,14312,10087,4475,1209,3266,20565,10798,9767,18561,10108,8453,2004,690,1314,7806,4220,3586,5335,3701,1634,2471,519,1952,503,503,0,503,503,0,0,0,0
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,50463,26490,23973,43852,23821,20031,6611,2669,3942,35678,18206,17472,31803,16544,15259,3875,1662,2213,13163,7507,5656,10931,6500,4431,2232,1007,1225,1622,777,845,1118,777,341,504,0,504
75,Livingston & Wyoming Counties PUMA,38871,19902,18969,32705,18150,14555,6166,1752,4414,8797,3528,5269,7946,3125,4821,851,403,448,27102,14816,12286,22420,13489,8931,4682,1327,3355,2972,1558,1414,2339,1536,803,633,22,611
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,47860,23905,23955,39047,21959,17088,8813,1946,6867,15309,6173,9136,12767,5823,6944,2542,350,2192,31237,16899,14338,25211,15387,9824,6026,1512,4514,1314,833,481,1069,749,320,245,84,161
77,Westchester County (Southwest)--Yonkers City PUMA,46069,21575,24494,39197,19895,19302,6872,1680,5192,20944,8225,12719,18628,7966,10662,2316,259,2057,21836,11882,9954,18148,10461,7687,3688,1421,2267,3289,1468,1821,2421,1468,953,868,0,868
78,Erie County (North Central) PUMA,42932,21011,21921,33752,19551,14201,9180,1460,7720,26981,13526,13455,22239,12521,9718,4742,1005,3737,15701,7386,8315,11294,6962,4332,4407,424,3983,250,99,151,219,68,151,31,31,0
79,Saratoga County (South & Central) PUMA,45359,24681,20678,38352,23510,14842,7007,1171,5836,22704,11207,11497,19216,10667,8549,3488,540,2948,21643,12983,8660,18546,12403,6143,3097,580,2517,1012,491,521,590,440,150,422,51,371
80,Suffolk County (South Central)--Brookhaven Town (South) PUMA,46851,22197,24654,37609,20109,17500,9242,2088,7154,14845,5683,9162,13159,5584,7575,1686,99,1587,29577,14929,14648,23227,13507,9720,6350,1422,4928,2429,1585,844,1223,1018,205,1206,567,639
81,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",56644,27769,28875,48347,25634,22713,8297,2135,6162,22206,10713,11493,19687,10059,9628,2519,654,1865,33239,16052,17187,27868,14924,12944,5371,1128,4243,1199,1004,195,792,651,141,407,353,54
82,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,46531,23974,22557,38956,21379,17577,7575,2595,4980,12335,5557,6778,10399,4552,5847,1936,1005,931,31151,16529,14622,26088,15181,10907,5063,1348,3715,3045,1888,1157,2469,1646,823,576,242,334
83,Niagara County (North & East) PUMA,43365,22901,20464,35690,20748,14942,7675,2153,5522,12496,5608,6888,11360,5502,5858,1136,106,1030,28522,15935,12587,22660,14020,8640,5862,1915,3947,2347,1358,989,1670,1226,444,677,132,545
84,Monroe County (Central)--Rochester City (East) PUMA,36514,18426,18088,28103,15053,13050,8411,3373,5038,12179,5745,6434,10623,5019,5604,1556,726,830,20504,9845,10659,14767,8075,6692,5737,1770,3967,3831,2836,995,2713,1959,754,1118,877,241
85,Warren & Washington Counties PUMA,50617,26296,24321,39778,22686,17092,10839,3610,7229,13666,4839,8827,10244,3713,6531,3422,1126,2296,34707,19827,14880,28164,17755,10409,6543,2072,4471,2244,1630,614,1370,1218,152,874,412,462
86,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,33278,16618,16660,27084,14893,12191,6194,1725,4469,19857,9497,10360,16616,8274,8342,3241,1223,2018,13028,6857,6171,10138,6355,3783,2890,502,2388,393,264,129,330,264,66,63,0,63
87,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,39899,18915,20984,33060,16206,16854,6839,2709,4130,23590,10963,12627,20948,9800,11148,2642,1163,1479,14137,6823,7314,10790,5462,5328,3347,1361,1986,2172,1129,1043,1322,944,378,850,185,665
88,Onondaga County (Central)--Syracuse City PUMA,41697,20447,21250,32743,16724,16019,8954,3723,5231,15598,7184,8414,12430,6253,6177,3168,931,2237,21121,11253,9868,16695,9183,7512,4426,2070,2356,4978,2010,2968,3618,1288,2330,1360,722,638
89,Westchester County (Central)--White Plains City PUMA,53320,27220,26100,46366,24941,21425,6954,2279,4675,38261,18277,19984,32641,16209,16432,5620,2068,3552,14546,8535,6011,13212,8324,4888,1334,211,1123,513,408,105,513,408,105,0,0,0
90,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,41457,20541,20916,34214,17298,16916,7243,3243,4000,16872,7755,9117,14565,6651,7914,2307,1104,1203,21837,11306,10531,17864,9651,8213,3973,1655,2318,2748,1480,1268,1785,996,789,963,484,479
91,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",24537,10425,14112,17751,8191,9560,6786,2234,4552,4350,1393,2957,3666,1314,2352,684,79,605,15259,7047,8212,10812,5295,5517,4447,1752,2695,4928,1985,2943,3273,1582,1691,1655,403,1252
92,Cattaraugus & Allegany Counties PUMA,44619,23100,21519,36160,20056,16104,8459,3044,5415,9534,4230,5304,8210,3667,4543,1324,563,761,32186,16865,15321,25847,14771,11076,6339,2094,4245,2899,2005,894,2103,1618,485,796,387,409
