,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
109,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",3689.0,2259.0,1430.0,2248.0,1437.0,811.0,1441.0,822.0,619.0,1764.0,748.0,1016.0,1362.0,748.0,614.0,402.0,0.0,402.0,1570.0,1373.0,197.0,886.0,689.0,197.0,684.0,684.0,0.0,355.0,138.0,217.0,0.0,0.0,0.0,355.0,138.0,217.0
110,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,5539.0,2534.0,3005.0,787.0,642.0,145.0,4752.0,1892.0,2860.0,1094.0,633.0,461.0,400.0,255.0,145.0,694.0,378.0,316.0,2261.0,1026.0,1235.0,387.0,387.0,0.0,1874.0,639.0,1235.0,2184.0,875.0,1309.0,0.0,0.0,0.0,2184.0,875.0,1309.0
111,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",13901.0,8069.0,5832.0,760.0,596.0,164.0,13141.0,7473.0,5668.0,3208.0,939.0,2269.0,249.0,85.0,164.0,2959.0,854.0,2105.0,7226.0,4305.0,2921.0,100.0,100.0,0.0,7126.0,4205.0,2921.0,3467.0,2825.0,642.0,411.0,411.0,0.0,3056.0,2414.0,642.0
112,Erie County (Northeast) PUMA,673.0,588.0,85.0,499.0,414.0,85.0,174.0,174.0,0.0,172.0,87.0,85.0,172.0,87.0,85.0,0.0,0.0,0.0,454.0,454.0,0.0,327.0,327.0,0.0,127.0,127.0,0.0,47.0,47.0,0.0,0.0,0.0,0.0,47.0,47.0,0.0
113,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,4672.0,2246.0,2426.0,698.0,395.0,303.0,3974.0,1851.0,2123.0,2666.0,985.0,1681.0,318.0,169.0,149.0,2348.0,816.0,1532.0,1073.0,745.0,328.0,266.0,112.0,154.0,807.0,633.0,174.0,933.0,516.0,417.0,114.0,114.0,0.0,819.0,402.0,417.0
114,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,10526.0,5417.0,5109.0,4425.0,2041.0,2384.0,6101.0,3376.0,2725.0,2962.0,1210.0,1752.0,1545.0,467.0,1078.0,1417.0,743.0,674.0,6602.0,3440.0,3162.0,2640.0,1430.0,1210.0,3962.0,2010.0,1952.0,962.0,767.0,195.0,240.0,144.0,96.0,722.0,623.0,99.0
115,Fulton & Montgomery Counties PUMA,3657.0,1891.0,1766.0,1539.0,697.0,842.0,2118.0,1194.0,924.0,297.0,211.0,86.0,297.0,211.0,86.0,0.0,0.0,0.0,2738.0,1680.0,1058.0,818.0,486.0,332.0,1920.0,1194.0,726.0,622.0,0.0,622.0,424.0,0.0,424.0,198.0,0.0,198.0
116,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,1622.0,956.0,666.0,752.0,310.0,442.0,870.0,646.0,224.0,145.0,0.0,145.0,145.0,0.0,145.0,0.0,0.0,0.0,1477.0,956.0,521.0,607.0,310.0,297.0,870.0,646.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",330.0,116.0,214.0,244.0,96.0,148.0,86.0,20.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,116.0,148.0,244.0,96.0,148.0,20.0,20.0,0.0,66.0,0.0,66.0,0.0,0.0,0.0,66.0,0.0,66.0
118,NYC-Brooklyn Community District 4--Bushwick PUMA,16149.0,9052.0,7097.0,4097.0,2838.0,1259.0,12052.0,6214.0,5838.0,3938.0,1848.0,2090.0,1119.0,531.0,588.0,2819.0,1317.0,1502.0,9254.0,5615.0,3639.0,2187.0,1597.0,590.0,7067.0,4018.0,3049.0,2957.0,1589.0,1368.0,791.0,710.0,81.0,2166.0,879.0,1287.0
119,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",7211.0,3700.0,3511.0,1394.0,905.0,489.0,5817.0,2795.0,3022.0,4231.0,2382.0,1849.0,1339.0,850.0,489.0,2892.0,1532.0,1360.0,2688.0,1026.0,1662.0,55.0,55.0,0.0,2633.0,971.0,1662.0,292.0,292.0,0.0,0.0,0.0,0.0,292.0,292.0,0.0
120,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",7033.0,3063.0,3970.0,2344.0,1388.0,956.0,4689.0,1675.0,3014.0,3977.0,1429.0,2548.0,1362.0,780.0,582.0,2615.0,649.0,1966.0,2197.0,1388.0,809.0,893.0,560.0,333.0,1304.0,828.0,476.0,859.0,246.0,613.0,89.0,48.0,41.0,770.0,198.0,572.0
121,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,7914.0,3127.0,4787.0,1218.0,525.0,693.0,6696.0,2602.0,4094.0,2323.0,1008.0,1315.0,206.0,206.0,0.0,2117.0,802.0,1315.0,4342.0,1778.0,2564.0,946.0,319.0,627.0,3396.0,1459.0,1937.0,1249.0,341.0,908.0,66.0,0.0,66.0,1183.0,341.0,842.0
122,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,8940.0,4785.0,4155.0,6094.0,3460.0,2634.0,2846.0,1325.0,1521.0,2027.0,703.0,1324.0,1193.0,327.0,866.0,834.0,376.0,458.0,6334.0,3731.0,2603.0,4505.0,2863.0,1642.0,1829.0,868.0,961.0,579.0,351.0,228.0,396.0,270.0,126.0,183.0,81.0,102.0
123,Suffolk County (Northwest)--Huntington Town (North) PUMA,4254.0,2596.0,1658.0,4070.0,2596.0,1474.0,184.0,0.0,184.0,1825.0,943.0,882.0,1825.0,943.0,882.0,0.0,0.0,0.0,1523.0,747.0,776.0,1339.0,747.0,592.0,184.0,0.0,184.0,906.0,906.0,0.0,906.0,906.0,0.0,0.0,0.0,0.0
124,Orange County (Southeast) PUMA,4687.0,2729.0,1958.0,3423.0,2114.0,1309.0,1264.0,615.0,649.0,854.0,313.0,541.0,475.0,136.0,339.0,379.0,177.0,202.0,3269.0,2008.0,1261.0,2729.0,1915.0,814.0,540.0,93.0,447.0,564.0,408.0,156.0,219.0,63.0,156.0,345.0,345.0,0.0
125,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,1420.0,767.0,653.0,1073.0,501.0,572.0,347.0,266.0,81.0,1118.0,711.0,407.0,852.0,445.0,407.0,266.0,266.0,0.0,221.0,56.0,165.0,221.0,56.0,165.0,0.0,0.0,0.0,81.0,0.0,81.0,0.0,0.0,0.0,81.0,0.0,81.0
126,Suffolk County (Northwest)--Smithtown Town PUMA,2542.0,1021.0,1521.0,2470.0,1021.0,1449.0,72.0,0.0,72.0,1060.0,408.0,652.0,988.0,408.0,580.0,72.0,0.0,72.0,1415.0,613.0,802.0,1415.0,613.0,802.0,0.0,0.0,0.0,67.0,0.0,67.0,67.0,0.0,67.0,0.0,0.0,0.0
