,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
54,Columbia & Greene Counties PUMA,31909,17734,14175,29410,15914,13496,2499,1820,679,11057,5819,5238,10691,5618,5073,366,201,165,19995,11315,8680,18086,9879,8207,1909,1436,473,857,600,257,633,417,216,224,183,41
55,Rensselaer County--Troy City PUMA,59117,31768,27349,56468,30036,26432,2649,1732,917,19679,8975,10704,19250,8711,10539,429,264,165,37005,20653,16352,34785,19185,15600,2220,1468,752,2433,2140,293,2433,2140,293,0,0,0
56,Erie County (West Central)--Buffalo City (West) PUMA,32389,17836,14553,28646,15942,12704,3743,1894,1849,16796,8656,8140,16292,8346,7946,504,310,194,14271,8188,6083,11829,7242,4587,2442,946,1496,1322,992,330,525,354,171,797,638,159
57,Erie County (South) PUMA,64228,36496,27732,62496,35459,27037,1732,1037,695,24837,11970,12867,24621,11825,12796,216,145,71,37254,22949,14305,35859,22057,13802,1395,892,503,2137,1577,560,2016,1577,439,121,0,121
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,42042,22206,19836,37474,21186,16288,4568,1020,3548,13831,7016,6815,13389,6938,6451,442,78,364,26528,13821,12707,22937,13167,9770,3591,654,2937,1683,1369,314,1148,1081,67,535,288,247
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",43790,23214,20576,40138,21760,18378,3652,1454,2198,27106,12912,14194,25956,12751,13205,1150,161,989,14767,9022,5745,12738,7979,4759,2029,1043,986,1917,1280,637,1444,1030,414,473,250,223
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,12031,5458,6573,11156,4873,6283,875,585,290,4662,1370,3292,4662,1370,3292,0,0,0,5962,3051,2911,5615,2940,2675,347,111,236,1407,1037,370,879,563,316,528,474,54
61,NYC-Manhattan Community District 10--Central Harlem PUMA,34601,15111,19490,29943,12788,17155,4658,2323,2335,18586,8426,10160,17595,7726,9869,991,700,291,13678,4786,8892,10512,3664,6848,3166,1122,2044,2337,1899,438,1836,1398,438,501,501,0
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,26924,14487,12437,26075,14025,12050,849,462,387,16506,8636,7870,16506,8636,7870,0,0,0,9879,5648,4231,9259,5186,4073,620,462,158,539,203,336,310,203,107,229,0,229
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,17970,8569,9401,15555,7666,7889,2415,903,1512,4655,2317,2338,4473,2135,2338,182,182,0,11453,5249,6204,9448,4756,4692,2005,493,1512,1862,1003,859,1634,775,859,228,228,0
64,Albany County (East Central)--Albany City PUMA,30168,15933,14235,25424,13316,12108,4744,2617,2127,12826,6750,6076,11896,5959,5937,930,791,139,15917,8558,7359,13055,7056,5999,2862,1502,1360,1425,625,800,473,301,172,952,324,628
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,24028,14250,9778,23771,14189,9582,257,61,196,13194,7309,5885,13194,7309,5885,0,0,0,10649,6756,3893,10392,6695,3697,257,61,196,185,185,0,185,185,0,0,0,0
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,33496,18059,15437,30176,15686,14490,3320,2373,947,10533,4376,6157,10410,4283,6127,123,93,30,21807,12871,8936,19162,11080,8082,2645,1791,854,1156,812,344,604,323,281,552,489,63
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",23826,10131,13695,17294,8165,9129,6532,1966,4566,4472,1780,2692,4338,1780,2558,134,0,134,15590,6128,9462,11115,5120,5995,4475,1008,3467,3764,2223,1541,1841,1265,576,1923,958,965
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",15269,7357,7912,12359,5891,6468,2910,1466,1444,4158,1583,2575,4158,1583,2575,0,0,0,8620,3930,4690,6883,3280,3603,1737,650,1087,2491,1844,647,1318,1028,290,1173,816,357
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",22434,11597,10837,21048,11000,10048,1386,597,789,13068,6728,6340,13068,6728,6340,0,0,0,8017,3954,4063,7206,3643,3563,811,311,500,1349,915,434,774,629,145,575,286,289
70,Erie County (Northeast) PUMA,40449,22032,18417,39468,21641,17827,981,391,590,19685,9558,10127,19446,9434,10012,239,124,115,19644,11473,8171,18902,11206,7696,742,267,475,1120,1001,119,1120,1001,119,0,0,0
71,NYC-Manhattan Community District 11--East Harlem PUMA,25380,12166,13214,22122,10763,11359,3258,1403,1855,14621,6553,8068,14172,6553,7619,449,0,449,10157,5106,5051,7855,4210,3645,2302,896,1406,602,507,95,95,0,95,507,507,0
72,Orange County (Southeast) PUMA,33520,20928,12592,31875,19521,12354,1645,1407,238,14928,8392,6536,14771,8318,6453,157,74,83,17636,11580,6056,16499,10598,5901,1137,982,155,956,956,0,605,605,0,351,351,0
73,Westchester County (Southeast) PUMA,24399,14312,10087,24133,14058,10075,266,254,12,18561,10108,8453,18549,10108,8441,12,0,12,5335,3701,1634,5081,3447,1634,254,254,0,503,503,0,503,503,0,0,0,0
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,43852,23821,20031,41553,22703,18850,2299,1118,1181,31803,16544,15259,30749,15857,14892,1054,687,367,10931,6500,4431,9686,6069,3617,1245,431,814,1118,777,341,1118,777,341,0,0,0
75,Livingston & Wyoming Counties PUMA,32457,17902,14555,30476,16566,13910,1981,1336,645,7946,3125,4821,7770,2949,4821,176,176,0,22172,13241,8931,20804,12290,8514,1368,951,417,2339,1536,803,1902,1327,575,437,209,228
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,39047,21959,17088,37286,20628,16658,1761,1331,430,12767,5823,6944,12425,5481,6944,342,342,0,25211,15387,9824,24314,14920,9394,897,467,430,1069,749,320,547,227,320,522,522,0
77,Westchester County (Southwest)--Yonkers City PUMA,39197,19895,19302,36321,18667,17654,2876,1228,1648,18628,7966,10662,17642,7624,10018,986,342,644,18148,10461,7687,16697,9575,7122,1451,886,565,2421,1468,953,1982,1468,514,439,0,439
78,Erie County (North Central) PUMA,33742,19541,14201,33228,19271,13957,514,270,244,22229,12511,9718,21886,12241,9645,343,270,73,11294,6962,4332,11123,6962,4161,171,0,171,219,68,151,219,68,151,0,0,0
79,Saratoga County (South & Central) PUMA,38352,23510,14842,36177,22406,13771,2175,1104,1071,19216,10667,8549,18683,10667,8016,533,0,533,18546,12403,6143,17227,11472,5755,1319,931,388,590,440,150,267,267,0,323,173,150
80,Suffolk County (South Central)--Brookhaven Town (South) PUMA,37202,19702,17500,35815,19084,16731,1387,618,769,13159,5584,7575,13159,5584,7575,0,0,0,22904,13184,9720,21702,12751,8951,1202,433,769,1139,934,205,954,749,205,185,185,0
81,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",48347,25634,22713,46282,24532,21750,2065,1102,963,19687,10059,9628,19407,9966,9441,280,93,187,27868,14924,12944,26224,13915,12309,1644,1009,635,792,651,141,651,651,0,141,0,141
82,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,38956,21379,17577,35652,19853,15799,3304,1526,1778,10399,4552,5847,10049,4340,5709,350,212,138,26088,15181,10907,23604,14210,9394,2484,971,1513,2469,1646,823,1999,1303,696,470,343,127
83,Niagara County (North & East) PUMA,35553,20611,14942,32104,18228,13876,3449,2383,1066,11360,5502,5858,10901,5043,5858,459,459,0,22523,13883,8640,19889,12315,7574,2634,1568,1066,1670,1226,444,1314,870,444,356,356,0
84,Monroe County (Central)--Rochester City (East) PUMA,28103,15053,13050,24527,14021,10506,3576,1032,2544,10623,5019,5604,10209,4831,5378,414,188,226,14767,8075,6692,12370,7602,4768,2397,473,1924,2713,1959,754,1948,1588,360,765,371,394
85,Warren & Washington Counties PUMA,39504,22412,17092,35946,20419,15527,3558,1993,1565,10244,3713,6531,9859,3508,6351,385,205,180,27890,17481,10409,25366,16303,9063,2524,1178,1346,1370,1218,152,721,608,113,649,610,39
86,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,27084,14893,12191,26216,14633,11583,868,260,608,16616,8274,8342,16024,8166,7858,592,108,484,10138,6355,3783,9862,6203,3659,276,152,124,330,264,66,330,264,66,0,0,0
87,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,33060,16206,16854,31389,15643,15746,1671,563,1108,20948,9800,11148,20363,9800,10563,585,0,585,10790,5462,5328,9913,5108,4805,877,354,523,1322,944,378,1113,735,378,209,209,0
88,Onondaga County (Central)--Syracuse City PUMA,32743,16724,16019,29857,15318,14539,2886,1406,1480,12430,6253,6177,11879,6111,5768,551,142,409,16695,9183,7512,15182,8238,6944,1513,945,568,3618,1288,2330,2796,969,1827,822,319,503
89,Westchester County (Central)--White Plains City PUMA,46366,24941,21425,45426,24452,20974,940,489,451,32641,16209,16432,32110,15954,16156,531,255,276,13212,8324,4888,12803,8090,4713,409,234,175,513,408,105,513,408,105,0,0,0
90,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,34214,17298,16916,29458,15559,13899,4756,1739,3017,14565,6651,7914,13270,6249,7021,1295,402,893,17864,9651,8213,14765,8591,6174,3099,1060,2039,1785,996,789,1423,719,704,362,277,85
91,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",17471,7911,9560,12922,6000,6922,4549,1911,2638,3666,1314,2352,3263,1010,2253,403,304,99,10643,5126,5517,7730,4208,3522,2913,918,1995,3162,1471,1691,1929,782,1147,1233,689,544
92,Cattaraugus & Allegany Counties PUMA,36160,20056,16104,31138,17207,13931,5022,2849,2173,8210,3667,4543,7815,3506,4309,395,161,234,25847,14771,11076,22214,12859,9355,3633,1912,1721,2103,1618,485,1109,842,267,994,776,218
93,Oswego County PUMA,36862,21097,15765,33680,19544,14136,3182,1553,1629,7053,3577,3476,6691,3484,3207,362,93,269,27451,16048,11403,25313,14834,10479,2138,1214,924,2358,1472,886,1676,1226,450,682,246,436
94,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",35046,19229,15817,32969,18116,14853,2077,1113,964,12530,6054,6476,12301,5902,6399,229,152,77,20596,12245,8351,18972,11284,7688,1624,961,663,1920,930,990,1696,930,766,224,0,224
95,Monroe County (East) PUMA,45118,24971,20147,43397,24287,19110,1721,684,1037,21497,11610,9887,21232,11411,9821,265,199,66,22066,12126,9940,20695,11726,8969,1371,400,971,1555,1235,320,1470,1150,320,85,85,0
96,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,41757,21464,20293,39238,20197,19041,2519,1267,1252,24951,12034,12917,24648,11780,12868,303,254,49,15017,8321,6696,12970,7477,5493,2047,844,1203,1789,1109,680,1620,940,680,169,169,0
97,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",20966,11299,9667,18440,9272,9168,2526,2027,499,9236,5286,3950,9082,5221,3861,154,65,89,10654,5354,5300,8539,3649,4890,2115,1705,410,1076,659,417,819,402,417,257,257,0
98,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",19180,13451,5729,15926,10684,5242,3254,2767,487,7894,5158,2736,7187,4626,2561,707,532,175,8802,6264,2538,7017,4571,2446,1785,1693,92,2484,2029,455,1722,1487,235,762,542,220
99,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",29738,14597,15141,26907,12535,14372,2831,2062,769,9026,3149,5877,8870,3064,5806,156,85,71,18782,10140,8642,16587,8643,7944,2195,1497,698,1930,1308,622,1450,828,622,480,480,0
100,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",19448,11411,8037,19330,11293,8037,118,118,0,12215,5563,6652,12215,5563,6652,0,0,0,6830,5483,1347,6712,5365,1347,118,118,0,403,365,38,403,365,38,0,0,0
101,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",56921,26187,30734,56103,25780,30323,818,407,411,54147,24118,30029,53415,23797,29618,732,321,411,2698,1993,705,2612,1907,705,86,86,0,76,76,0,76,76,0,0,0,0
