,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
66,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",26910,15813,11097,101107.38093645485,118400.78675773098,76464.62827791295,18153,11475,6678,116414.13430287005,134472.9063180828,85383.22551662174,8267,4103,4164,66369.52231764849,74921.5308310992,57942.79538904899,490,235,255,120116.32653061225,92731.91489361702,145352.9411764706
67,Oswego County PUMA,37644,22531,15113,52753.80841568377,59798.73338955217,42250.98273009992,7964,3612,4352,66790.70693119036,81051.85215946844,54954.48069852941,27605,17334,10271,50723.809961963416,58517.61693781008,37570.48018693409,2075,1585,490,25885.493975903613,25376.403785488958,27532.244897959183
68,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",42054,24398,17656,59000.92072097779,59910.60906631691,57743.86497507929,26443,13161,13282,68552.15542865786,75102.27763847732,62061.70531546454,14449,10075,4374,43817.487300159184,43463.69866004963,44632.39826245999,1162,1162,0,30448.53700516351,30448.53700516351,0.0
69,Monroe County (Central)--Rochester City (East) PUMA,30944,15023,15921,46136.57452171665,52767.9788324569,39879.2045725771,11952,5967,5985,66261.9625167336,76623.6862745098,55931.401837928155,16528,7821,8707,35171.60491287512,38614.32681242808,32079.204777765015,2464,1235,1229,22066.112012987014,27139.4008097166,16968.055329536208
70,Westchester County (Northeast) PUMA,37104,21132,15972,142521.46046248384,187698.75548930533,82748.9461557726,25465,14277,11188,171924.84508148438,234256.16866288436,92383.88094386843,11184,6474,4710,76129.94358011444,87592.95350633303,60373.78089171975,455,381,74,128819.34065934065,144089.23884514437,50200.0
71,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",22213,10290,11923,44366.61639580426,49897.19727891157,39593.515893650925,4902,1636,3266,82333.32313341493,138420.391198044,54238.27005511329,14593,7198,7395,35430.391283492085,34652.26451792164,36187.789046653146,2718,1456,1262,23871.22884473878,25796.29120879121,21650.237717908083
72,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",27593,16298,11295,67057.5522777516,74373.74217695423,56500.73395307658,12115,6707,5408,82840.65621130829,93605.16624422245,69490.51405325443,13969,8298,5671,56748.29479561887,64381.03639431188,45579.80779403985,1509,1293,216,35777.04440026508,38746.75947409126,18000.0
73,Onondaga County (North) PUMA,46913,25480,21433,62632.4704666084,68131.44391679749,56095.17547706807,18366,8836,9530,83564.34601981923,96598.25701674966,71479.59916054565,27267,15656,11611,49804.910624564494,53851.04637199795,44349.19610713978,1280,988,292,35549.8515625,39833.006072874494,21057.534246575342
74,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,31859,17728,14131,70958.542954895,82454.62601534296,56536.16941476187,10302,5160,5142,89725.87652882935,110025.00193798449,69355.69233761182,19991,12079,7912,61870.78685408434,69904.92590446229,49605.32103134479,1566,489,1077,63507.87994891443,101523.51738241309,46247.298050139274
75,Monroe County (South) PUMA,48420,27443,20977,80227.27261462205,92652.93222315345,63971.498355341566,32687,17604,15083,95744.29653990883,113997.32844807998,74440.41974408274,15238,9409,5829,48243.353392833706,54997.92209586566,37340.3276719849,495,430,65,40158.58585858586,42767.441860465115,22900.0
76,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",18586,10895,7691,74777.81572151081,87937.4532354291,56135.99401898323,9575,5236,4339,87340.75227154046,103976.50362872421,67265.89767227472,8692,5340,3352,60740.080533824206,72673.70411985018,41728.878281622914,319,319,0,80188.08777429468,80188.08777429468,0.0
77,Rensselaer County--Troy City PUMA,56857,31185,25672,60849.474031341786,64110.30472983806,56888.38781551885,24842,12734,12108,77731.46868207068,83833.15949426731,71314.31219028741,30750,17305,13445,47950.32682926829,50960.55475296157,44075.8757902566,1265,1146,119,42878.14229249012,43521.815008726,36679.41176470588
78,Suffolk County (Central)--Islip Town (East) PUMA,33285,18975,14310,80664.25567072254,92502.60289855073,64966.65688329839,15697,8126,7571,93537.09562336752,105976.50627615063,80185.80108308018,16969,10230,6739,70852.08085332076,85992.45356793744,47868.55023000445,619,619,0,23213.24717285945,23213.24717285945,0.0
79,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,28199,16367,11832,97904.28752792653,114118.5146331032,75475.42892156863,16068,8304,7764,122797.40316156336,160104.85296242774,82895.15391550747,11778,7759,4019,65208.65851587706,66863.8071916484,62013.262005474,353,304,49,55713.17280453258,64048.51973684211,4000.0
80,Ontario & Yates Counties PUMA,43488,24594,18894,60885.061810154526,70691.73912336343,48119.875939451675,16454,8522,7932,81064.58210769418,101601.77188453414,58999.78996469995,24019,13381,10638,46022.42366459886,54627.29930498468,35198.787554051516,3015,2691,324,69160.9751243781,52684.6674098848,206005.86419753087
