,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",57,0,57,57,0,57,0,0,0,0,0,0,0,0,0,0,0,0,57,0,57,57,0,57,0,0,0,0,0,0,0,0,0,0,0,0
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",10728,4568,6160,8723,4134,4589,2005,434,1571,8177,2912,5265,7011,2815,4196,1166,97,1069,2354,1549,805,1605,1212,393,749,337,412,197,107,90,107,107,0,90,0,90
70,Erie County (Northeast) PUMA,49540,26090,23450,42790,24222,18568,6750,1868,4882,23001,10910,12091,20310,9965,10345,2691,945,1746,25881,14522,11359,21822,13599,8223,4059,923,3136,658,658,0,658,658,0,0,0,0
71,NYC-Manhattan Community District 11--East Harlem PUMA,8151,4139,4012,7128,3752,3376,1023,387,636,6448,2839,3609,5581,2608,2973,867,231,636,1547,1144,403,1547,1144,403,0,0,0,156,156,0,0,0,0,156,156,0
72,Orange County (Southeast) PUMA,34010,18084,15926,27771,16392,11379,6239,1692,4547,15999,7406,8593,14138,6936,7202,1861,470,1391,16245,9055,7190,12400,8286,4114,3845,769,3076,1766,1623,143,1233,1170,63,533,453,80
73,Westchester County (Southeast) PUMA,24876,13981,10895,21443,12918,8525,3433,1063,2370,19631,10483,9148,17014,10117,6897,2617,366,2251,5004,3412,1592,4188,2715,1473,816,697,119,241,86,155,241,86,155,0,0,0
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,35318,17690,17628,31909,16265,15644,3409,1425,1984,27295,12709,14586,25563,12198,13365,1732,511,1221,7726,4820,2906,6174,3968,2206,1552,852,700,297,161,136,172,99,73,125,62,63
75,Livingston & Wyoming Counties PUMA,37610,20003,17607,32325,18527,13798,5285,1476,3809,9378,3960,5418,8232,3788,4444,1146,172,974,26843,15348,11495,23230,14196,9034,3613,1152,2461,1389,695,694,863,543,320,526,152,374
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,31697,16323,15374,26610,15417,11193,5087,906,4181,12530,5953,6577,10688,5704,4984,1842,249,1593,18787,10245,8542,15664,9588,6076,3123,657,2466,380,125,255,258,125,133,122,0,122
77,Westchester County (Southwest)--Yonkers City PUMA,23117,11853,11264,19796,10916,8880,3321,937,2384,12600,6514,6086,11523,6203,5320,1077,311,766,9674,4922,4752,7496,4362,3134,2178,560,1618,843,417,426,777,351,426,66,66,0
78,Erie County (North Central) PUMA,37646,19028,18618,32771,17324,15447,4875,1704,3171,25508,12007,13501,22788,11288,11500,2720,719,2001,11779,6778,5001,9753,5922,3831,2026,856,1170,359,243,116,230,114,116,129,129,0
79,Saratoga County (South & Central) PUMA,42599,22395,20204,37460,20684,16776,5139,1711,3428,23488,11712,11776,20207,10551,9656,3281,1161,2120,18200,10055,8145,16436,9599,6837,1764,456,1308,911,628,283,817,534,283,94,94,0
80,Suffolk County (South Central)--Brookhaven Town (South) PUMA,35390,19513,15877,31370,18347,13023,4020,1166,2854,12399,5875,6524,10816,5330,5486,1583,545,1038,21478,12376,9102,19157,11871,7286,2321,505,1816,1513,1262,251,1397,1146,251,116,116,0
81,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",42868,22804,20064,37859,21329,16530,5009,1475,3534,19599,9177,10422,17479,8523,8956,2120,654,1466,22375,13012,9363,19677,12257,7420,2698,755,1943,894,615,279,703,549,154,191,66,125
82,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,44312,23486,20826,37159,21072,16087,7153,2414,4739,10908,4549,6359,9501,3988,5513,1407,561,846,31008,17540,13468,25875,15855,10020,5133,1685,3448,2396,1397,999,1783,1229,554,613,168,445
83,Niagara County (North & East) PUMA,40341,20258,20083,33453,17923,15530,6888,2335,4553,12264,4893,7371,10739,4516,6223,1525,377,1148,26596,14720,11876,21704,12995,8709,4892,1725,3167,1481,645,836,1010,412,598,471,233,238
84,Monroe County (Central)--Rochester City (East) PUMA,21253,11520,9733,17951,9661,8290,3302,1859,1443,14132,7146,6986,12363,6326,6037,1769,820,949,6650,4249,2401,5242,3335,1907,1408,914,494,471,125,346,346,0,346,125,125,0
85,Warren & Washington Counties PUMA,49795,25728,24067,39565,21337,18228,10230,4391,5839,15315,6778,8537,13217,6250,6967,2098,528,1570,32024,17161,14863,24784,13820,10964,7240,3341,3899,2456,1789,667,1564,1267,297,892,522,370
86,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,27065,15361,11704,23050,14676,8374,4015,685,3330,17801,10545,7256,15208,9895,5313,2593,650,1943,8896,4562,4334,7588,4527,3061,1308,35,1273,368,254,114,254,254,0,114,0,114
87,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,20008,9842,10166,17472,8958,8514,2536,884,1652,16910,7869,9041,15199,7309,7890,1711,560,1151,2826,1818,1008,2001,1494,507,825,324,501,272,155,117,272,155,117,0,0,0
88,Onondaga County (Central)--Syracuse City PUMA,24601,13814,10787,20311,11875,8436,4290,1939,2351,9589,4271,5318,8472,4114,4358,1117,157,960,13633,8549,5084,10766,6934,3832,2867,1615,1252,1379,994,385,1073,827,246,306,167,139
89,Westchester County (Central)--White Plains City PUMA,35614,18325,17289,29950,17157,12793,5664,1168,4496,26981,13658,13323,23160,13129,10031,3821,529,3292,8633,4667,3966,6790,4028,2762,1843,639,1204,0,0,0,0,0,0,0,0,0
90,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,19762,10969,8793,15072,8140,6932,4690,2829,1861,14412,7133,7279,12002,5674,6328,2410,1459,951,4641,3219,1422,2703,2141,562,1938,1078,860,709,617,92,367,325,42,342,292,50
91,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",1158,272,886,1077,272,805,81,0,81,440,72,368,440,72,368,0,0,0,636,200,436,555,200,355,81,0,81,82,0,82,82,0,82,0,0,0
92,Cattaraugus & Allegany Counties PUMA,42215,22286,19929,34432,19683,14749,7783,2603,5180,9686,4349,5337,8487,4126,4361,1199,223,976,30154,16054,14100,24157,13895,10262,5997,2159,3838,2375,1883,492,1788,1662,126,587,221,366
93,Oswego County PUMA,45190,24458,20732,38284,22697,15587,6906,1761,5145,10759,5296,5463,9766,4942,4824,993,354,639,31360,17135,14225,25803,16011,9792,5557,1124,4433,3071,2027,1044,2715,1744,971,356,283,73
94,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",23451,11848,11603,20747,11094,9653,2704,754,1950,11607,5833,5774,10331,5567,4764,1276,266,1010,11096,5502,5594,9839,5014,4825,1257,488,769,748,513,235,577,513,64,171,0,171
95,Monroe County (East) PUMA,53424,27727,25697,45481,25907,19574,7943,1820,6123,31658,14599,17059,27789,14039,13750,3869,560,3309,21023,12481,8542,17053,11325,5728,3970,1156,2814,743,647,96,639,543,96,104,104,0
96,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,28386,15046,13340,23763,13782,9981,4623,1264,3359,18384,10008,8376,15828,9544,6284,2556,464,2092,9677,4860,4817,7662,4060,3602,2015,800,1215,325,178,147,273,178,95,52,0,52
97,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",14159,7347,6812,11307,6698,4609,2852,649,2203,9072,4579,4493,7690,3968,3722,1382,611,771,4860,2541,2319,3428,2541,887,1432,0,1432,227,227,0,189,189,0,38,38,0
98,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",20325,11928,8397,12242,9218,3024,8083,2710,5373,7438,3811,3627,5715,3576,2139,1723,235,1488,11671,7061,4610,5699,4974,725,5972,2087,3885,1216,1056,160,828,668,160,388,388,0
99,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",10517,4819,5698,9522,4409,5113,995,410,585,5251,1750,3501,4648,1423,3225,603,327,276,4760,2563,2197,4368,2480,1888,392,83,309,506,506,0,506,506,0,0,0,0
100,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",13559,7395,6164,11879,6901,4978,1680,494,1186,8846,4320,4526,7379,3954,3425,1467,366,1101,4608,2970,1638,4395,2842,1553,213,128,85,105,105,0,105,105,0,0,0,0
