,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NRB_mf_t,Total_NRB_m,Total_NRB_f,Total_RB_mf_t,Total_RB_m,Total_RB_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NRB_mf_t,BABS_NRB_m,BABS_NRB_f,BABS_RB_mf_t,BABS_RB_m,BABS_RB_f,Total_HS,Total_HS_m,Total_HS_f,HS_NRB_mf_t,HS_NRB_m,HS_NRB_f,HS_RB_mf_t,HS_RB_m,HS_RB_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NRB_mf_t,HSINC_NRB_m,HSINC_NRB_f,HSINC_RB_mf_t,HSINC_RB_m,HSINC_RB_f
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,1182.0,783.0,399.0,1182.0,783.0,399.0,0.0,0.0,0.0,997.0,707.0,290.0,997.0,707.0,290.0,0.0,0.0,0.0,109.0,0.0,109.0,109.0,0.0,109.0,0.0,0.0,0.0,76.0,76.0,0.0,76.0,76.0,0.0,0.0,0.0,0.0
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",22297.0,9597.0,12700.0,20849.0,9128.0,11721.0,1448.0,469.0,979.0,19956.0,8339.0,11617.0,18862.0,8031.0,10831.0,1094.0,308.0,786.0,2132.0,1121.0,1011.0,1778.0,960.0,818.0,354.0,161.0,193.0,209.0,137.0,72.0,209.0,137.0,72.0,0.0,0.0,0.0
41,Suffolk County (Central)--Islip Town (East) PUMA,9855.0,5059.0,4796.0,7019.0,3636.0,3383.0,2836.0,1423.0,1413.0,3053.0,1011.0,2042.0,2538.0,884.0,1654.0,515.0,127.0,388.0,5999.0,3866.0,2133.0,4239.0,2689.0,1550.0,1760.0,1177.0,583.0,803.0,182.0,621.0,242.0,63.0,179.0,561.0,119.0,442.0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",11369.0,5726.0,5643.0,9297.0,4600.0,4697.0,2072.0,1126.0,946.0,7638.0,3668.0,3970.0,7302.0,3589.0,3713.0,336.0,79.0,257.0,2728.0,1232.0,1496.0,1475.0,580.0,895.0,1253.0,652.0,601.0,1003.0,826.0,177.0,520.0,431.0,89.0,483.0,395.0,88.0
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",4698.0,2741.0,1957.0,4016.0,2403.0,1613.0,682.0,338.0,344.0,1794.0,988.0,806.0,1794.0,988.0,806.0,0.0,0.0,0.0,2576.0,1512.0,1064.0,2222.0,1415.0,807.0,354.0,97.0,257.0,328.0,241.0,87.0,0.0,0.0,0.0,328.0,241.0,87.0
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,2792.0,1936.0,856.0,2638.0,1843.0,795.0,154.0,93.0,61.0,1582.0,850.0,732.0,1521.0,850.0,671.0,61.0,0.0,61.0,1210.0,1086.0,124.0,1117.0,993.0,124.0,93.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Saratoga County (Outer) PUMA,11001.0,5831.0,5170.0,9379.0,4794.0,4585.0,1622.0,1037.0,585.0,2268.0,621.0,1647.0,2034.0,621.0,1413.0,234.0,0.0,234.0,7511.0,4111.0,3400.0,6146.0,3097.0,3049.0,1365.0,1014.0,351.0,1222.0,1099.0,123.0,1199.0,1076.0,123.0,23.0,23.0,0.0
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",1661.0,942.0,719.0,1258.0,740.0,518.0,403.0,202.0,201.0,1174.0,807.0,367.0,918.0,605.0,313.0,256.0,202.0,54.0,487.0,135.0,352.0,340.0,135.0,205.0,147.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",6429.0,3059.0,3370.0,5299.0,2690.0,2609.0,1130.0,369.0,761.0,2710.0,1007.0,1703.0,2576.0,1007.0,1569.0,134.0,0.0,134.0,3038.0,1616.0,1422.0,2145.0,1350.0,795.0,893.0,266.0,627.0,681.0,436.0,245.0,578.0,333.0,245.0,103.0,103.0,0.0
48,Wayne & Seneca Counties PUMA,8353.0,3847.0,4506.0,6840.0,3265.0,3575.0,1513.0,582.0,931.0,399.0,210.0,189.0,373.0,210.0,163.0,26.0,0.0,26.0,6695.0,3231.0,3464.0,5407.0,2649.0,2758.0,1288.0,582.0,706.0,1259.0,406.0,853.0,1060.0,406.0,654.0,199.0,0.0,199.0
49,Schenectady County--Schenectady City PUMA,12772.0,5553.0,7219.0,11533.0,5221.0,6312.0,1239.0,332.0,907.0,3578.0,1373.0,2205.0,3061.0,1245.0,1816.0,517.0,128.0,389.0,7336.0,3593.0,3743.0,6614.0,3389.0,3225.0,722.0,204.0,518.0,1858.0,587.0,1271.0,1858.0,587.0,1271.0,0.0,0.0,0.0
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,7539.0,3703.0,3836.0,6606.0,3306.0,3300.0,933.0,397.0,536.0,4467.0,2169.0,2298.0,4182.0,2064.0,2118.0,285.0,105.0,180.0,2693.0,1155.0,1538.0,2204.0,1022.0,1182.0,489.0,133.0,356.0,379.0,379.0,0.0,220.0,220.0,0.0,159.0,159.0,0.0
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,4990.0,2602.0,2388.0,4494.0,2378.0,2116.0,496.0,224.0,272.0,4051.0,1733.0,2318.0,3555.0,1509.0,2046.0,496.0,224.0,272.0,939.0,869.0,70.0,939.0,869.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,3023.0,1350.0,1673.0,2327.0,910.0,1417.0,696.0,440.0,256.0,716.0,0.0,716.0,460.0,0.0,460.0,256.0,0.0,256.0,2307.0,1350.0,957.0,1867.0,910.0,957.0,440.0,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",38539.0,22976.0,15563.0,34780.0,20696.0,14084.0,3759.0,2280.0,1479.0,32179.0,18811.0,13368.0,29632.0,17329.0,12303.0,2547.0,1482.0,1065.0,6360.0,4165.0,2195.0,5148.0,3367.0,1781.0,1212.0,798.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Columbia & Greene Counties PUMA,8744.0,4247.0,4497.0,6849.0,3593.0,3256.0,1895.0,654.0,1241.0,2176.0,879.0,1297.0,2057.0,879.0,1178.0,119.0,0.0,119.0,5803.0,3047.0,2756.0,4171.0,2444.0,1727.0,1632.0,603.0,1029.0,765.0,321.0,444.0,621.0,270.0,351.0,144.0,51.0,93.0
55,Rensselaer County--Troy City PUMA,19428.0,9130.0,10298.0,17139.0,8234.0,8905.0,2289.0,896.0,1393.0,4871.0,2494.0,2377.0,4559.0,2336.0,2223.0,312.0,158.0,154.0,11127.0,4711.0,6416.0,9751.0,4226.0,5525.0,1376.0,485.0,891.0,3430.0,1925.0,1505.0,2829.0,1672.0,1157.0,601.0,253.0,348.0
56,Erie County (West Central)--Buffalo City (West) PUMA,15550.0,7824.0,7726.0,14110.0,7456.0,6654.0,1440.0,368.0,1072.0,8688.0,3825.0,4863.0,7967.0,3738.0,4229.0,721.0,87.0,634.0,6394.0,3711.0,2683.0,5862.0,3508.0,2354.0,532.0,203.0,329.0,468.0,288.0,180.0,281.0,210.0,71.0,187.0,78.0,109.0
57,Erie County (South) PUMA,15628.0,7275.0,8353.0,13604.0,6612.0,6992.0,2024.0,663.0,1361.0,3491.0,1605.0,1886.0,3345.0,1605.0,1740.0,146.0,0.0,146.0,11330.0,4961.0,6369.0,9657.0,4503.0,5154.0,1673.0,458.0,1215.0,807.0,709.0,98.0,602.0,504.0,98.0,205.0,205.0,0.0
