,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
46,Rockland County (North)--New City & Congers PUMA,16907,9245,7662,16723,9159,7564,184,86,98,10096,5138,4958,10096,5138,4958,0,0,0,6338,3634,2704,6154,3548,2606,184,86,98,473,473,0,473,473,0,0,0,0
47,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,21465,11643,9822,20791,11125,9666,674,518,156,9360,5508,3852,9255,5403,3852,105,105,0,11423,5641,5782,10854,5228,5626,569,413,156,682,494,188,682,494,188,0,0,0
48,Suffolk County (Southwest)--Islip Town (South) PUMA,25957,14738,11219,25815,14596,11219,142,142,0,13108,6647,6461,13108,6647,6461,0,0,0,12662,8014,4648,12520,7872,4648,142,142,0,187,77,110,187,77,110,0,0,0
49,Erie County (West Central)--Buffalo City (East) PUMA,16791,9484,7307,14742,8740,6002,2049,744,1305,4889,2361,2528,4747,2219,2528,142,142,0,10488,6246,4242,9305,5922,3383,1183,324,859,1414,877,537,690,599,91,724,278,446
50,Wayne & Seneca Counties PUMA,39290,23206,16084,36387,21745,14642,2903,1461,1442,9832,4820,5012,9814,4820,4994,18,0,18,27302,16715,10587,24943,15707,9236,2359,1008,1351,2156,1671,485,1630,1218,412,526,453,73
51,Monroe County (South) PUMA,45240,24389,20851,44191,23574,20617,1049,815,234,30377,15291,15086,29858,14905,14953,519,386,133,14160,8691,5469,13729,8361,5368,431,330,101,703,407,296,604,308,296,99,99,0
52,Tompkins County PUMA,24787,12808,11979,22921,12151,10770,1866,657,1209,14446,6788,7658,14085,6788,7297,361,0,361,9568,5358,4210,8206,4785,3421,1362,573,789,773,662,111,630,578,52,143,84,59
53,Suffolk County (South Central)--Brookhaven Town (South) PUMA,31283,18260,13023,30115,17513,12602,1168,747,421,10816,5330,5486,10816,5330,5486,0,0,0,19070,11784,7286,18605,11619,6986,465,165,300,1397,1146,251,694,564,130,703,582,121
54,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",33597,18319,15278,30936,17108,13828,2661,1211,1450,10654,5094,5560,10053,4952,5101,601,142,459,21288,11969,9319,19610,11282,8328,1678,687,991,1655,1256,399,1273,874,399,382,382,0
55,NYC-Manhattan Community District 8--Upper East Side PUMA,59958,27407,32551,59210,27056,32154,748,351,397,55368,25348,30020,54827,24997,29830,541,351,190,4330,1910,2420,4123,1910,2213,207,0,207,260,149,111,260,149,111,0,0,0
56,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",47547,25047,22500,46724,24724,22000,823,323,500,44769,23329,21440,44074,23006,21068,695,323,372,2315,1487,828,2187,1487,700,128,0,128,463,231,232,463,231,232,0,0,0
57,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",16337,7515,8822,15110,7117,7993,1227,398,829,14040,5823,8217,12984,5425,7559,1056,398,658,2016,1692,324,2016,1692,324,0,0,0,281,0,281,110,0,110,171,0,171
58,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,9504,5483,4021,9224,5409,3815,280,74,206,4957,2432,2525,4850,2358,2492,107,74,33,4288,2848,1440,4171,2848,1323,117,0,117,259,203,56,203,203,0,56,0,56
59,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",2012,1088,924,1978,1054,924,34,34,0,1477,754,723,1477,754,723,0,0,0,473,272,201,473,272,201,0,0,0,62,62,0,28,28,0,34,34,0
60,Suffolk County (Central)--Islip Town (Northwest) PUMA,7959,4642,3317,7886,4642,3244,73,0,73,2774,1764,1010,2701,1764,937,73,0,73,4878,2571,2307,4878,2571,2307,0,0,0,307,307,0,307,307,0,0,0,0
61,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",11307,6698,4609,11215,6606,4609,92,92,0,7690,3968,3722,7598,3876,3722,92,92,0,3428,2541,887,3428,2541,887,0,0,0,189,189,0,189,189,0,0,0,0
62,Saratoga County (South & Central) PUMA,37460,20684,16776,36807,20345,16462,653,339,314,20207,10551,9656,19986,10383,9603,221,168,53,16436,9599,6837,16004,9428,6576,432,171,261,817,534,283,817,534,283,0,0,0
63,Cattaraugus & Allegany Counties PUMA,34432,19683,14749,31074,17649,13425,3358,2034,1324,8487,4126,4361,8244,3976,4268,243,150,93,24157,13895,10262,21505,12440,9065,2652,1455,1197,1788,1662,126,1325,1233,92,463,429,34
64,Genesee & Orleans Counties PUMA,31622,18054,13568,29808,17408,12400,1814,646,1168,6217,2589,3628,6099,2589,3510,118,0,118,24408,14592,9816,23035,14260,8775,1373,332,1041,997,873,124,674,559,115,323,314,9
65,Cayuga & Onondaga (South) Counties PUMA,32910,18078,14832,31356,17302,14054,1554,776,778,11792,5678,6114,11611,5633,5978,181,45,136,20048,12081,7967,19078,11447,7631,970,634,336,1070,319,751,667,222,445,403,97,306
66,Sullivan & Ulster (West) Counties PUMA,24543,12671,11872,22541,11512,11029,2002,1159,843,8950,4370,4580,8711,4131,4580,239,239,0,14231,7254,6977,12847,6454,6393,1384,800,584,1362,1047,315,983,927,56,379,120,259
67,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",1241,670,571,1124,553,571,117,117,0,404,404,0,404,404,0,0,0,0,404,112,292,404,112,292,0,0,0,433,154,279,316,37,279,117,117,0
68,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,26610,15417,11193,25353,14674,10679,1257,743,514,10688,5704,4984,10390,5500,4890,298,204,94,15664,9588,6076,14705,9049,5656,959,539,420,258,125,133,258,125,133,0,0,0
69,NYC-Queens Community District 1--Astoria & Long Island City PUMA,31909,16265,15644,30175,15122,15053,1734,1143,591,25563,12198,13365,24327,11397,12930,1236,801,435,6174,3968,2206,5676,3626,2050,498,342,156,172,99,73,172,99,73,0,0,0
70,Jefferson & Lewis Counties PUMA,38373,23337,15036,35451,21214,14237,2922,2123,799,10434,5286,5148,10136,4988,5148,298,298,0,26297,16823,9474,23943,15128,8815,2354,1695,659,1642,1228,414,1372,1098,274,270,130,140
71,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,19942,11863,8079,19763,11684,8079,179,179,0,11331,5663,5668,11274,5606,5668,57,57,0,8222,5811,2411,8100,5689,2411,122,122,0,389,389,0,389,389,0,0,0,0
72,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,4841,2399,2442,4719,2399,2320,122,0,122,2242,793,1449,2120,793,1327,122,0,122,2242,1295,947,2242,1295,947,0,0,0,357,311,46,357,311,46,0,0,0
73,Orange County (Northeast)--Greater Newburgh City PUMA,23149,12769,10380,21781,12245,9536,1368,524,844,9810,4606,5204,9810,4606,5204,0,0,0,12567,7452,5115,11199,6928,4271,1368,524,844,772,711,61,772,711,61,0,0,0
74,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",5146,2726,2420,5007,2726,2281,139,0,139,2714,1454,1260,2575,1454,1121,139,0,139,2303,1143,1160,2303,1143,1160,0,0,0,129,129,0,129,129,0,0,0,0
75,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",1342,1034,308,1342,1034,308,0,0,0,153,58,95,153,58,95,0,0,0,1075,862,213,1075,862,213,0,0,0,114,114,0,114,114,0,0,0,0
76,Erie County (Central) PUMA,47890,26425,21465,45750,25339,20411,2140,1086,1054,17774,8519,9255,17251,8331,8920,523,188,335,28638,16477,12161,27116,15674,11442,1522,803,719,1478,1429,49,1383,1334,49,95,95,0
77,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",18946,10723,8223,18694,10471,8223,252,252,0,9837,4883,4954,9837,4883,4954,0,0,0,8461,5268,3193,8209,5016,3193,252,252,0,648,572,76,648,572,76,0,0,0
78,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",12539,6778,5761,11782,6552,5230,757,226,531,6711,2930,3781,6612,2930,3682,99,0,99,5039,3241,1798,4424,3058,1366,615,183,432,789,607,182,746,564,182,43,43,0
79,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",8723,4134,4589,8699,4110,4589,24,24,0,7011,2815,4196,7011,2815,4196,0,0,0,1605,1212,393,1581,1188,393,24,24,0,107,107,0,107,107,0,0,0,0
80,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,1836,992,844,1762,992,770,74,0,74,273,143,130,273,143,130,0,0,0,1106,705,401,1032,705,327,74,0,74,457,144,313,457,144,313,0,0,0
81,Onondaga County (Central)--Syracuse City (Outer) PUMA,50569,26632,23937,48958,25528,23430,1611,1104,507,25895,12551,13344,25481,12275,13206,414,276,138,23287,13319,9968,22150,12551,9599,1137,768,369,1387,762,625,1327,702,625,60,60,0
82,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",44289,23509,20780,43662,23016,20646,627,493,134,40866,21049,19817,40239,20556,19683,627,493,134,3423,2460,963,3423,2460,963,0,0,0,0,0,0,0,0,0,0,0,0
83,"Chenango, Delaware & Broome (East) Counties PUMA",31805,18057,13748,29376,16524,12852,2429,1533,896,6569,3360,3209,6369,3237,3132,200,123,77,22681,13129,9552,20886,12035,8851,1795,1094,701,2555,1568,987,2121,1252,869,434,316,118
84,Orange County (Northwest) PUMA,24979,14209,10770,24379,13609,10770,600,600,0,8143,4083,4060,8071,4011,4060,72,72,0,15814,9603,6211,15286,9075,6211,528,528,0,1022,523,499,1022,523,499,0,0,0
85,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,11329,5555,5774,11125,5351,5774,204,204,0,9423,4070,5353,9388,4035,5353,35,35,0,1853,1432,421,1684,1263,421,169,169,0,53,53,0,53,53,0,0,0,0
86,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,23951,13861,10090,23951,13861,10090,0,0,0,16497,9333,7164,16497,9333,7164,0,0,0,7138,4212,2926,7138,4212,2926,0,0,0,316,316,0,316,316,0,0,0,0
87,Dutchess County (North & East) PUMA,32684,18112,14572,31883,17548,14335,801,564,237,16126,7779,8347,16003,7656,8347,123,123,0,15881,9843,6038,15304,9503,5801,577,340,237,677,490,187,576,389,187,101,101,0
88,Putnam County PUMA,27585,15477,12108,27242,15208,12034,343,269,74,13183,6807,6376,12956,6654,6302,227,153,74,13864,8477,5387,13748,8361,5387,116,116,0,538,193,345,538,193,345,0,0,0
89,Albany County (Outside Albany City) PUMA,57394,30134,27260,56225,29743,26482,1169,391,778,29001,13264,15737,28948,13264,15684,53,0,53,27159,15877,11282,26130,15515,10615,1029,362,667,1234,993,241,1147,964,183,87,29,58
90,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",9522,4409,5113,9140,4156,4984,382,253,129,4648,1423,3225,4519,1423,3096,129,0,129,4368,2480,1888,4115,2227,1888,253,253,0,506,506,0,506,506,0,0,0,0
91,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,1562,1165,397,1494,1097,397,68,68,0,1411,1014,397,1343,946,397,68,68,0,151,151,0,151,151,0,0,0,0,0,0,0,0,0,0,0,0,0
92,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",12242,9218,3024,10232,7259,2973,2010,1959,51,5715,3576,2139,5496,3357,2139,219,219,0,5699,4974,725,4274,3549,725,1425,1425,0,828,668,160,462,353,109,366,315,51
93,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,33558,18159,15399,33344,18021,15323,214,138,76,18604,9260,9344,18466,9122,9344,138,138,0,14262,8536,5726,14186,8536,5650,76,0,76,692,363,329,692,363,329,0,0,0
94,Suffolk County (Northwest)--Huntington Town (South) PUMA,24604,13896,10708,24566,13858,10708,38,38,0,15722,8741,6981,15684,8703,6981,38,38,0,8638,4949,3689,8638,4949,3689,0,0,0,244,206,38,244,206,38,0,0,0
95,Oswego County PUMA,38284,22697,15587,34526,20826,13700,3758,1871,1887,9766,4942,4824,9507,4815,4692,259,127,132,25803,16011,9792,22902,14349,8553,2901,1662,1239,2715,1744,971,2117,1662,455,598,82,516
96,Rensselaer County--Troy City PUMA,48826,25825,23001,47129,25176,21953,1697,649,1048,18573,8727,9846,18173,8608,9565,400,119,281,27971,15328,12643,26720,14844,11876,1251,484,767,2282,1770,512,2236,1724,512,46,46,0
97,Saratoga County (Outer) PUMA,43371,25416,17955,41743,24066,17677,1628,1350,278,16331,8526,7805,16331,8526,7805,0,0,0,24863,15209,9654,23415,14016,9399,1448,1193,255,2177,1681,496,1997,1524,473,180,157,23
98,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,37090,21003,16087,34570,19793,14777,2520,1210,1310,9501,3988,5513,9202,3903,5299,299,85,214,25806,15786,10020,23811,14846,8965,1995,940,1055,1783,1229,554,1557,1044,513,226,185,41
99,Monroe County (East) PUMA,45481,25907,19574,44145,25132,19013,1336,775,561,27789,14039,13750,27711,14039,13672,78,0,78,17053,11325,5728,16026,10781,5245,1027,544,483,639,543,96,408,312,96,231,231,0
100,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",4126,2219,1907,4126,2219,1907,0,0,0,2164,1227,937,2164,1227,937,0,0,0,1819,849,970,1819,849,970,0,0,0,143,143,0,143,143,0,0,0,0
101,Erie County (South) PUMA,58565,32784,25781,55207,30969,24238,3358,1815,1543,26364,12239,14125,25578,12072,13506,786,167,619,30494,18977,11517,27985,17392,10593,2509,1585,924,1707,1568,139,1644,1505,139,63,63,0
102,Monroe County (Central)--Greece & Gates Towns PUMA,34873,18967,15906,33163,17892,15271,1710,1075,635,14823,7631,7192,14400,7208,7192,423,423,0,18928,10622,8306,17781,10110,7671,1147,512,635,1122,714,408,982,574,408,140,140,0
103,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,44507,23874,20633,43121,22799,20322,1386,1075,311,42507,22782,19725,41235,21707,19528,1272,1075,197,2000,1092,908,1886,1092,794,114,0,114,0,0,0,0,0,0,0,0,0
104,NYC-Manhattan Community District 11--East Harlem PUMA,7019,3752,3267,6932,3665,3267,87,87,0,5472,2608,2864,5472,2608,2864,0,0,0,1547,1144,403,1460,1057,403,87,87,0,0,0,0,0,0,0,0,0,0
105,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",14431,8984,5447,14334,8887,5447,97,97,0,7284,4054,3230,7284,4054,3230,0,0,0,6618,4501,2117,6521,4404,2117,97,97,0,529,429,100,529,429,100,0,0,0
