,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,6199,3518,2681,6199,3518,2681,0,0,0,3838,1743,2095,3838,1743,2095,0,0,0,2300,1775,525,2300,1775,525,0,0,0,61,0,61,61,0,61,0,0,0
45,Saratoga County (Outer) PUMA,50173,26978,23195,48606,25737,22869,1567,1241,326,18334,8850,9484,18179,8758,9421,155,92,63,29300,16144,13156,28524,15631,12893,776,513,263,2539,1984,555,1903,1348,555,636,636,0
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",2210,1088,1122,2063,1088,975,147,0,147,1477,754,723,1477,754,723,0,0,0,671,272,399,524,272,252,147,0,147,62,62,0,62,62,0,0,0,0
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",14711,7563,7148,14300,7258,7042,411,305,106,7938,3426,4512,7771,3259,4512,167,167,0,5771,3472,2299,5527,3334,2193,244,138,106,1002,665,337,1002,665,337,0,0,0
48,Wayne & Seneca Counties PUMA,46219,24846,21373,45020,24215,20805,1199,631,568,11612,5025,6587,11580,5025,6555,32,0,32,32137,18213,13924,31022,17582,13440,1115,631,484,2470,1608,862,2418,1608,810,52,0,52
49,Schenectady County--Schenectady City PUMA,48518,24394,24124,46782,23534,23248,1736,860,876,20263,8667,11596,20131,8667,11464,132,0,132,25376,14266,11110,23976,13610,10366,1400,656,744,2879,1461,1418,2675,1257,1418,204,204,0
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,16408,8226,8182,15753,7681,8072,655,545,110,11044,5153,5891,10668,4843,5825,376,310,66,5165,2874,2291,4886,2639,2247,279,235,44,199,199,0,199,199,0,0,0,0
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,23771,13648,10123,23145,13453,9692,626,195,431,19221,10841,8380,18595,10646,7949,626,195,431,4177,2604,1573,4177,2604,1573,0,0,0,373,203,170,373,203,170,0,0,0
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,17302,9520,7782,16710,9085,7625,592,435,157,7396,2920,4476,7075,2756,4319,321,164,157,9671,6365,3306,9400,6094,3306,271,271,0,235,235,0,235,235,0,0,0,0
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",46780,27119,19661,45538,26184,19354,1242,935,307,40440,22842,17598,40289,22691,17598,151,151,0,6340,4277,2063,5249,3493,1756,1091,784,307,0,0,0,0,0,0,0,0,0
54,Columbia & Greene Counties PUMA,37750,19254,18496,35989,18003,17986,1761,1251,510,13300,5702,7598,13124,5674,7450,176,28,148,23069,12875,10194,21754,11922,9832,1315,953,362,1381,677,704,1111,407,704,270,270,0
55,Rensselaer County--Troy City PUMA,56605,29348,27257,53716,28056,25660,2889,1292,1597,20325,9313,11012,19968,9218,10750,357,95,262,32955,17417,15538,30727,16483,14244,2228,934,1294,3325,2618,707,3021,2355,666,304,263,41
56,Erie County (West Central)--Buffalo City (West) PUMA,28381,14878,13503,27673,14555,13118,708,323,385,17893,8242,9651,17602,8168,9434,291,74,217,9720,6010,3710,9303,5761,3542,417,249,168,768,626,142,768,626,142,0,0,0
57,Erie County (South) PUMA,67387,34100,33287,66068,33572,32496,1319,528,791,28822,12349,16473,28490,12058,16432,332,291,41,36582,20001,16581,35595,19764,15831,987,237,750,1983,1750,233,1983,1750,233,0,0,0
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,42282,22275,20007,41239,21298,19941,1043,977,66,15679,8069,7610,15514,7904,7610,165,165,0,25147,13147,12000,24269,12335,11934,878,812,66,1456,1059,397,1456,1059,397,0,0,0
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",19399,8916,10483,18134,8527,9607,1265,389,876,16307,6762,9545,15042,6373,8669,1265,389,876,2427,1770,657,2427,1770,657,0,0,0,665,384,281,665,384,281,0,0,0
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,4025,2313,1712,3809,2097,1712,216,216,0,2152,1373,779,2049,1270,779,103,103,0,1736,803,933,1623,690,933,113,113,0,137,137,0,137,137,0,0,0,0
61,NYC-Manhattan Community District 10--Central Harlem PUMA,10967,6399,4568,10503,6056,4447,464,343,121,9615,5458,4157,9384,5227,4157,231,231,0,1352,941,411,1119,829,290,233,112,121,0,0,0,0,0,0,0,0,0
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,20707,10369,10338,19861,9715,10146,846,654,192,11805,5726,6079,11624,5684,5940,181,42,139,8735,4643,4092,8070,4031,4039,665,612,53,167,0,167,167,0,167,0,0,0
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,926,406,520,926,406,520,0,0,0,79,79,0,79,79,0,0,0,0,847,327,520,847,327,520,0,0,0,0,0,0,0,0,0,0,0,0
64,Albany County (East Central)--Albany City PUMA,20495,11459,9036,19699,10876,8823,796,583,213,12547,6411,6136,12075,6152,5923,472,259,213,7748,4848,2900,7424,4524,2900,324,324,0,200,200,0,200,200,0,0,0,0
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,19191,10045,9146,18293,9632,8661,898,413,485,10995,4672,6323,10772,4591,6181,223,81,142,7739,4916,2823,7064,4584,2480,675,332,343,457,457,0,457,457,0,0,0,0
