,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
34,St. Lawrence County PUMA,1138.0,417.0,721.0,469.0,289.0,180.0,669.0,128.0,541.0,705.0,361.0,344.0,413.0,233.0,180.0,292.0,128.0,164.0,409.0,56.0,353.0,56.0,56.0,0.0,353.0,0.0,353.0,24.0,0.0,24.0,0.0,0.0,0.0,24.0,0.0,24.0
35,Genesee & Orleans Counties PUMA,713.0,520.0,193.0,331.0,270.0,61.0,382.0,250.0,132.0,492.0,360.0,132.0,110.0,110.0,0.0,382.0,250.0,132.0,61.0,0.0,61.0,61.0,0.0,61.0,0.0,0.0,0.0,160.0,160.0,0.0,160.0,160.0,0.0,0.0,0.0,0.0
36,Monroe County (Central)--Rochester City (West) PUMA,1684.0,848.0,836.0,403.0,90.0,313.0,1281.0,758.0,523.0,537.0,224.0,313.0,313.0,0.0,313.0,224.0,224.0,0.0,906.0,534.0,372.0,0.0,0.0,0.0,906.0,534.0,372.0,241.0,90.0,151.0,90.0,90.0,0.0,151.0,0.0,151.0
37,Wayne & Seneca Counties PUMA,1366.0,438.0,928.0,817.0,151.0,666.0,549.0,287.0,262.0,828.0,151.0,677.0,721.0,151.0,570.0,107.0,0.0,107.0,461.0,287.0,174.0,19.0,0.0,19.0,442.0,287.0,155.0,77.0,0.0,77.0,77.0,0.0,77.0,0.0,0.0,0.0
38,Warren & Washington Counties PUMA,94.0,94.0,0.0,0.0,0.0,0.0,94.0,94.0,0.0,94.0,94.0,0.0,0.0,0.0,0.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Erie County (North Central) PUMA,4848.0,2625.0,2223.0,3584.0,1930.0,1654.0,1264.0,695.0,569.0,4319.0,2554.0,1765.0,3055.0,1859.0,1196.0,1264.0,695.0,569.0,365.0,0.0,365.0,365.0,0.0,365.0,0.0,0.0,0.0,164.0,71.0,93.0,164.0,71.0,93.0,0.0,0.0,0.0
40,"Clinton, Franklin, Essex & Hamilton Counties PUMA",355.0,70.0,285.0,148.0,70.0,78.0,207.0,0.0,207.0,121.0,0.0,121.0,6.0,0.0,6.0,115.0,0.0,115.0,234.0,70.0,164.0,142.0,70.0,72.0,92.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Dutchess County (North & East) PUMA,2382.0,1413.0,969.0,1265.0,758.0,507.0,1117.0,655.0,462.0,1005.0,309.0,696.0,712.0,309.0,403.0,293.0,0.0,293.0,553.0,449.0,104.0,553.0,449.0,104.0,0.0,0.0,0.0,824.0,655.0,169.0,0.0,0.0,0.0,824.0,655.0,169.0
42,Tompkins County PUMA,4129.0,1947.0,2182.0,1408.0,529.0,879.0,2721.0,1418.0,1303.0,3718.0,1947.0,1771.0,1408.0,529.0,879.0,2310.0,1418.0,892.0,264.0,0.0,264.0,0.0,0.0,0.0,264.0,0.0,264.0,147.0,0.0,147.0,0.0,0.0,0.0,147.0,0.0,147.0
43,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",12760.0,6457.0,6303.0,2793.0,1555.0,1238.0,9967.0,4902.0,5065.0,11165.0,5801.0,5364.0,2793.0,1555.0,1238.0,8372.0,4246.0,4126.0,1318.0,379.0,939.0,0.0,0.0,0.0,1318.0,379.0,939.0,277.0,277.0,0.0,0.0,0.0,0.0,277.0,277.0,0.0
44,Onondaga County (Central)--Syracuse City PUMA,6253.0,4294.0,1959.0,1478.0,528.0,950.0,4775.0,3766.0,1009.0,2015.0,1525.0,490.0,229.0,78.0,151.0,1786.0,1447.0,339.0,2841.0,1699.0,1142.0,1185.0,386.0,799.0,1656.0,1313.0,343.0,1397.0,1070.0,327.0,64.0,64.0,0.0,1333.0,1006.0,327.0
45,Suffolk County (South Central)--Brookhaven Town (South) PUMA,4690.0,3175.0,1515.0,3260.0,1966.0,1294.0,1430.0,1209.0,221.0,886.0,447.0,439.0,825.0,386.0,439.0,61.0,61.0,0.0,3039.0,2068.0,971.0,1718.0,920.0,798.0,1321.0,1148.0,173.0,765.0,660.0,105.0,717.0,660.0,57.0,48.0,0.0,48.0
46,Suffolk County (Northwest)--Smithtown Town PUMA,2819.0,1764.0,1055.0,2245.0,1505.0,740.0,574.0,259.0,315.0,1464.0,654.0,810.0,977.0,395.0,582.0,487.0,259.0,228.0,1157.0,1053.0,104.0,1157.0,1053.0,104.0,0.0,0.0,0.0,198.0,57.0,141.0,111.0,57.0,54.0,87.0,0.0,87.0
47,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,60.0,0.0,60.0,0.0,0.0,0.0,60.0,0.0,60.0,60.0,0.0,60.0,0.0,0.0,0.0,60.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,26777.0,14277.0,12500.0,6010.0,2537.0,3473.0,20767.0,11740.0,9027.0,11455.0,4774.0,6681.0,2839.0,1406.0,1433.0,8616.0,3368.0,5248.0,13121.0,7908.0,5213.0,2609.0,773.0,1836.0,10512.0,7135.0,3377.0,2201.0,1595.0,606.0,562.0,358.0,204.0,1639.0,1237.0,402.0
49,Onondaga County (Central)--Syracuse City (Outer) PUMA,1822.0,787.0,1035.0,1131.0,578.0,553.0,691.0,209.0,482.0,1159.0,379.0,780.0,498.0,170.0,328.0,661.0,209.0,452.0,311.0,191.0,120.0,281.0,191.0,90.0,30.0,0.0,30.0,352.0,217.0,135.0,352.0,217.0,135.0,0.0,0.0,0.0
50,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,2376.0,1553.0,823.0,554.0,406.0,148.0,1822.0,1147.0,675.0,728.0,444.0,284.0,0.0,0.0,0.0,728.0,444.0,284.0,734.0,565.0,169.0,112.0,112.0,0.0,622.0,453.0,169.0,914.0,544.0,370.0,442.0,294.0,148.0,472.0,250.0,222.0
51,Erie County (West Central)--Buffalo City (West) PUMA,3216.0,1927.0,1289.0,949.0,695.0,254.0,2267.0,1232.0,1035.0,963.0,530.0,433.0,350.0,247.0,103.0,613.0,283.0,330.0,1222.0,660.0,562.0,599.0,448.0,151.0,623.0,212.0,411.0,1031.0,737.0,294.0,0.0,0.0,0.0,1031.0,737.0,294.0
52,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",530.0,262.0,268.0,224.0,59.0,165.0,306.0,203.0,103.0,365.0,262.0,103.0,59.0,59.0,0.0,306.0,203.0,103.0,117.0,0.0,117.0,117.0,0.0,117.0,0.0,0.0,0.0,48.0,0.0,48.0,48.0,0.0,48.0,0.0,0.0,0.0
53,Monroe County (North & West) PUMA,1307.0,861.0,446.0,503.0,419.0,84.0,804.0,442.0,362.0,569.0,336.0,233.0,0.0,0.0,0.0,569.0,336.0,233.0,698.0,525.0,173.0,503.0,419.0,84.0,195.0,106.0,89.0,40.0,0.0,40.0,0.0,0.0,0.0,40.0,0.0,40.0
54,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,6383.0,2515.0,3868.0,532.0,288.0,244.0,5851.0,2227.0,3624.0,2569.0,875.0,1694.0,185.0,65.0,120.0,2384.0,810.0,1574.0,3050.0,1043.0,2007.0,197.0,144.0,53.0,2853.0,899.0,1954.0,764.0,597.0,167.0,150.0,79.0,71.0,614.0,518.0,96.0
55,Cattaraugus & Allegany Counties PUMA,166.0,91.0,75.0,16.0,0.0,16.0,150.0,91.0,59.0,107.0,91.0,16.0,16.0,0.0,16.0,91.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,59.0,0.0,0.0,0.0,59.0,0.0,59.0
56,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",17023.0,8146.0,8877.0,11915.0,5780.0,6135.0,5108.0,2366.0,2742.0,10064.0,4307.0,5757.0,6949.0,3247.0,3702.0,3115.0,1060.0,2055.0,6092.0,3498.0,2594.0,4319.0,2334.0,1985.0,1773.0,1164.0,609.0,867.0,341.0,526.0,647.0,199.0,448.0,220.0,142.0,78.0
57,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,2009.0,1137.0,872.0,1724.0,852.0,872.0,285.0,285.0,0.0,1708.0,942.0,766.0,1423.0,657.0,766.0,285.0,285.0,0.0,301.0,195.0,106.0,301.0,195.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,4214.0,1656.0,2558.0,2606.0,1167.0,1439.0,1608.0,489.0,1119.0,1050.0,621.0,429.0,956.0,527.0,429.0,94.0,94.0,0.0,2665.0,1035.0,1630.0,1361.0,640.0,721.0,1304.0,395.0,909.0,499.0,0.0,499.0,289.0,0.0,289.0,210.0,0.0,210.0
59,Jefferson & Lewis Counties PUMA,926.0,321.0,605.0,634.0,321.0,313.0,292.0,0.0,292.0,454.0,305.0,149.0,305.0,305.0,0.0,149.0,0.0,149.0,456.0,16.0,440.0,313.0,16.0,297.0,143.0,0.0,143.0,16.0,0.0,16.0,16.0,0.0,16.0,0.0,0.0,0.0
60,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,7150.0,3199.0,3951.0,2175.0,924.0,1251.0,4975.0,2275.0,2700.0,2106.0,1143.0,963.0,492.0,150.0,342.0,1614.0,993.0,621.0,3599.0,1003.0,2596.0,1362.0,453.0,909.0,2237.0,550.0,1687.0,1445.0,1053.0,392.0,321.0,321.0,0.0,1124.0,732.0,392.0
61,Schenectady County--Schenectady City PUMA,2330.0,1320.0,1010.0,1449.0,908.0,541.0,881.0,412.0,469.0,1423.0,599.0,824.0,967.0,546.0,421.0,456.0,53.0,403.0,646.0,460.0,186.0,482.0,362.0,120.0,164.0,98.0,66.0,261.0,261.0,0.0,0.0,0.0,0.0,261.0,261.0,0.0
62,NYC-Queens Community District 1--Astoria & Long Island City PUMA,17946.0,9073.0,8873.0,2868.0,732.0,2136.0,15078.0,8341.0,6737.0,8578.0,3792.0,4786.0,1446.0,237.0,1209.0,7132.0,3555.0,3577.0,6893.0,3635.0,3258.0,996.0,382.0,614.0,5897.0,3253.0,2644.0,2475.0,1646.0,829.0,426.0,113.0,313.0,2049.0,1533.0,516.0
63,Suffolk County (North Central)--Brookhaven Town (North) PUMA,2932.0,1311.0,1621.0,1671.0,663.0,1008.0,1261.0,648.0,613.0,2762.0,1311.0,1451.0,1529.0,663.0,866.0,1233.0,648.0,585.0,170.0,0.0,170.0,142.0,0.0,142.0,28.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Fulton & Montgomery Counties PUMA,545.0,246.0,299.0,545.0,246.0,299.0,0.0,0.0,0.0,249.0,158.0,91.0,249.0,158.0,91.0,0.0,0.0,0.0,296.0,88.0,208.0,296.0,88.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,6083.0,3217.0,2866.0,1246.0,222.0,1024.0,4837.0,2995.0,1842.0,1364.0,770.0,594.0,365.0,0.0,365.0,999.0,770.0,229.0,3398.0,1644.0,1754.0,881.0,222.0,659.0,2517.0,1422.0,1095.0,1321.0,803.0,518.0,0.0,0.0,0.0,1321.0,803.0,518.0
66,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",5288.0,1817.0,3471.0,4018.0,1000.0,3018.0,1270.0,817.0,453.0,3232.0,970.0,2262.0,2761.0,636.0,2125.0,471.0,334.0,137.0,1770.0,783.0,987.0,1193.0,300.0,893.0,577.0,483.0,94.0,286.0,64.0,222.0,64.0,64.0,0.0,222.0,0.0,222.0
