,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,1577,1058,519,1325,806,519,252,252,0,424,78,346,424,78,346,0,0,0,1001,828,173,901,728,173,100,100,0,152,152,0,0,0,0,152,152,0
61,NYC-Manhattan Community District 10--Central Harlem PUMA,4859,1796,3063,4011,1445,2566,848,351,497,847,321,526,847,321,526,0,0,0,2848,629,2219,2369,470,1899,479,159,320,1164,846,318,795,654,141,369,192,177
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,1103,49,1054,1018,49,969,85,0,85,374,49,325,374,49,325,0,0,0,622,0,622,537,0,537,85,0,85,107,0,107,107,0,107,0,0,0
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,4928,2818,2110,2030,958,1072,2898,1860,1038,400,228,172,172,0,172,228,228,0,2442,1328,1114,1525,786,739,917,542,375,2086,1262,824,333,172,161,1753,1090,663
64,Albany County (East Central)--Albany City PUMA,1724,748,976,898,346,552,826,402,424,333,186,147,333,186,147,0,0,0,1215,386,829,565,160,405,650,226,424,176,176,0,0,0,0,176,176,0
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,1095,548,547,1049,548,501,46,0,46,229,0,229,229,0,229,0,0,0,866,548,318,820,548,272,46,0,46,0,0,0,0,0,0,0,0,0
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,447,0,447,0,0,0,447,0,447,0,0,0,0,0,0,0,0,0,86,0,86,0,0,0,86,0,86,361,0,361,0,0,0,361,0,361
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",12131,5262,6869,5390,2819,2571,6741,2443,4298,993,453,540,773,453,320,220,0,220,7105,2934,4171,3261,1572,1689,3844,1362,2482,4033,1875,2158,1356,794,562,2677,1081,1596
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",5891,2674,3217,3030,1360,1670,2861,1314,1547,899,119,780,899,119,780,0,0,0,2565,1141,1424,1458,681,777,1107,460,647,2427,1414,1013,673,560,113,1754,854,900
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",6197,3008,3189,4586,2634,1952,1611,374,1237,1440,567,873,1323,450,873,117,117,0,4085,2090,1995,2912,1833,1079,1173,257,916,672,351,321,351,351,0,321,0,321
70,Erie County (Northeast) PUMA,155,155,0,155,155,0,0,0,0,80,80,0,80,80,0,0,0,0,75,75,0,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0
71,NYC-Manhattan Community District 11--East Harlem PUMA,9259,3259,6000,4971,1803,3168,4288,1456,2832,2250,749,1501,2096,595,1501,154,154,0,5042,2037,3005,2592,1208,1384,2450,829,1621,1967,473,1494,283,0,283,1684,473,1211
72,Orange County (Southeast) PUMA,6178,2909,3269,5848,2802,3046,330,107,223,1087,305,782,1087,305,782,0,0,0,4860,2373,2487,4530,2266,2264,330,107,223,231,231,0,231,231,0,0,0,0
73,Westchester County (Southeast) PUMA,432,69,363,432,69,363,0,0,0,307,69,238,307,69,238,0,0,0,125,0,125,125,0,125,0,0,0,0,0,0,0,0,0,0,0,0
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,3167,1251,1916,2483,1210,1273,684,41,643,1604,655,949,1510,614,896,94,41,53,1285,596,689,973,596,377,312,0,312,278,0,278,0,0,0,278,0,278
75,Livingston & Wyoming Counties PUMA,92,72,20,0,0,0,92,72,20,0,0,0,0,0,0,0,0,0,92,72,20,0,0,0,92,72,20,0,0,0,0,0,0,0,0,0
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,1717,687,1030,1516,486,1030,201,201,0,303,54,249,303,54,249,0,0,0,1212,633,579,1011,432,579,201,201,0,202,0,202,202,0,202,0,0,0
77,Westchester County (Southwest)--Yonkers City PUMA,7982,3573,4409,6164,3422,2742,1818,151,1667,2523,1230,1293,2177,1230,947,346,0,346,4665,1750,2915,3506,1750,1756,1159,0,1159,794,593,201,481,442,39,313,151,162
78,Erie County (North Central) PUMA,30,0,30,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,0,0,30,0,30
79,Saratoga County (South & Central) PUMA,470,312,158,470,312,158,0,0,0,91,91,0,91,91,0,0,0,0,379,221,158,379,221,158,0,0,0,0,0,0,0,0,0,0,0,0
80,Suffolk County (South Central)--Brookhaven Town (South) PUMA,2223,739,1484,1766,461,1305,457,278,179,628,0,628,628,0,628,0,0,0,1310,739,571,1032,461,571,278,278,0,285,0,285,106,0,106,179,0,179
81,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",4029,2281,1748,3194,1914,1280,835,367,468,875,417,458,875,417,458,0,0,0,2870,1721,1149,2176,1354,822,694,367,327,284,143,141,143,143,0,141,0,141
82,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,534,534,0,217,217,0,317,317,0,17,17,0,17,17,0,0,0,0,517,517,0,200,200,0,317,317,0,0,0,0,0,0,0,0,0,0
83,Niagara County (North & East) PUMA,665,561,104,379,343,36,286,218,68,218,218,0,0,0,0,218,218,0,247,143,104,179,143,36,68,0,68,200,200,0,200,200,0,0,0,0
84,Monroe County (Central)--Rochester City (East) PUMA,2701,1319,1382,1042,771,271,1659,548,1111,377,75,302,186,75,111,191,0,191,1263,529,734,461,301,160,802,228,574,1061,715,346,395,395,0,666,320,346
85,Warren & Washington Counties PUMA,344,283,61,289,228,61,55,55,0,0,0,0,0,0,0,0,0,0,344,283,61,289,228,61,55,55,0,0,0,0,0,0,0,0,0,0
