,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
45,Saratoga County (Outer) PUMA,49012,26029,22983,47112,25280,21832,1900,749,1151,17839,8632,9207,17218,8293,8925,621,339,282,30263,16619,13644,28984,16209,12775,1279,410,869,910,778,132,910,778,132,0,0,0
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",22193,10559,11634,20679,9621,11058,1514,938,576,6561,2775,3786,6374,2637,3737,187,138,49,13952,6923,7029,12857,6123,6734,1095,800,295,1680,861,819,1448,861,587,232,0,232
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",18342,9968,8374,17079,9426,7653,1263,542,721,8998,4158,4840,8331,3899,4432,667,259,408,8761,5490,3271,8270,5312,2958,491,178,313,583,320,263,478,215,263,105,105,0
48,Wayne & Seneca Counties PUMA,48593,25524,23069,46112,23643,22469,2481,1881,600,11433,5300,6133,11201,5068,6133,232,232,0,34256,18120,16136,32201,16665,15536,2055,1455,600,2904,2104,800,2710,1910,800,194,194,0
49,Schenectady County--Schenectady City PUMA,51835,27346,24489,49543,26096,23447,2292,1250,1042,21254,10427,10827,20890,10397,10493,364,30,334,28025,15397,12628,26233,14255,11978,1792,1142,650,2556,1522,1034,2420,1444,976,136,78,58
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,26881,14443,12438,25690,13620,12070,1191,823,368,17122,8070,9052,16812,7760,9052,310,310,0,9067,6110,2957,8239,5597,2642,828,513,315,692,263,429,639,263,376,53,0,53
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,27683,15307,12376,26737,14724,12013,946,583,363,20312,11068,9244,19549,10583,8966,763,485,278,7022,3988,3034,6839,3890,2949,183,98,85,349,251,98,349,251,98,0,0,0
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,35609,19626,15983,32712,17746,14966,2897,1880,1017,13408,5707,7701,11984,4746,7238,1424,961,463,20904,12754,8150,19534,11938,7596,1370,816,554,1297,1165,132,1194,1062,132,103,103,0
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",67513,38583,28930,65013,37815,27198,2500,768,1732,58506,32881,25625,56649,32534,24115,1857,347,1510,8449,5281,3168,7806,4860,2946,643,421,222,558,421,137,558,421,137,0,0,0
54,Columbia & Greene Counties PUMA,37930,19843,18087,37003,19311,17692,927,532,395,12733,6010,6723,12540,6010,6530,193,0,193,23444,12570,10874,23124,12452,10672,320,118,202,1753,1263,490,1339,849,490,414,414,0
55,Rensselaer County--Troy City PUMA,67215,35387,31828,63546,33142,30404,3669,2245,1424,22254,9816,12438,21473,9441,12032,781,375,406,41795,22908,18887,39288,21270,18018,2507,1638,869,3166,2663,503,2785,2431,354,381,232,149
56,Erie County (West Central)--Buffalo City (West) PUMA,35639,18997,16642,33536,17736,15800,2103,1261,842,18856,9400,9456,17912,8894,9018,944,506,438,15617,8848,6769,14517,8093,6424,1100,755,345,1166,749,417,1107,749,358,59,0,59
57,Erie County (South) PUMA,73896,38581,35315,71328,36910,34418,2568,1671,897,28345,13090,15255,27359,12255,15104,986,835,151,43294,23840,19454,41786,23078,18708,1508,762,746,2257,1651,606,2183,1577,606,74,74,0
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,48586,24583,24003,45252,22524,22728,3334,2059,1275,15308,7690,7618,14937,7364,7573,371,326,45,30560,15142,15418,28388,13754,14634,2172,1388,784,2718,1751,967,1927,1406,521,791,345,446
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",53474,27437,26037,50852,25318,25534,2622,2119,503,31118,14754,16364,30912,14754,16158,206,0,206,19115,11199,7916,17088,9469,7619,2027,1730,297,3241,1484,1757,2852,1095,1757,389,389,0
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,13382,6395,6987,11458,5263,6195,1924,1132,792,4960,1889,3071,3882,1370,2512,1078,519,559,6622,3277,3345,6171,3059,3112,451,218,233,1800,1229,571,1405,834,571,395,395,0
61,NYC-Manhattan Community District 10--Central Harlem PUMA,40257,17444,22813,35917,14922,20995,4340,2522,1818,20168,8725,11443,18932,7987,10945,1236,738,498,17697,7186,10511,14861,5402,9459,2836,1784,1052,2392,1533,859,2124,1533,591,268,0,268
