,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",28795,12395,16400,20472,9436,11036,8323,2959,5364,7287,3062,4225,6618,2848,3770,669,214,455,18267,7773,10494,12535,5938,6597,5732,1835,3897,3241,1560,1681,1319,650,669,1922,910,1012
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",24188,11791,12397,20462,10176,10286,3726,1615,2111,10061,4462,5599,9779,4223,5556,282,239,43,12824,6666,6158,10118,5541,4577,2706,1125,1581,1303,663,640,565,412,153,738,251,487
48,Wayne & Seneca Counties PUMA,62457,30282,32175,50764,25413,25351,11693,4869,6824,12770,5742,7028,11776,5210,6566,994,532,462,44665,21851,22814,36938,18789,18149,7727,3062,4665,5022,2689,2333,2050,1414,636,2972,1275,1697
49,Schenectady County--Schenectady City PUMA,68193,33651,34542,56916,28945,27971,11277,4706,6571,24937,11582,13355,23824,11082,12742,1113,500,613,38897,19137,19760,30632,16105,14527,8265,3032,5233,4359,2932,1427,2460,1758,702,1899,1174,725
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,32421,16910,15511,28851,14718,14133,3570,2192,1378,19182,8864,10318,18487,8559,9928,695,305,390,11760,7329,4431,9426,5631,3795,2334,1698,636,1479,717,762,938,528,410,541,189,352
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,33649,16412,17237,31531,15335,16196,2118,1077,1041,25135,11796,13339,23974,11247,12727,1161,549,612,8131,4331,3800,7399,3944,3455,732,387,345,383,285,98,158,144,14,225,141,84
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,42727,22422,20305,36129,19064,17065,6598,3358,3240,14863,6625,8238,13393,6296,7097,1470,329,1141,25855,14572,11283,21174,11810,9364,4681,2762,1919,2009,1225,784,1562,958,604,447,267,180
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",77043,44690,32353,67818,39446,28372,9225,5244,3981,64534,37375,27159,60276,34168,26108,4258,3207,1051,10717,6553,4164,6984,4857,2127,3733,1696,2037,1792,762,1030,558,421,137,1234,341,893
54,Columbia & Greene Counties PUMA,51342,25028,26314,38947,19679,19268,12395,5349,7046,15366,6688,8678,13812,6436,7376,1554,252,1302,33128,16682,16446,23857,12539,11318,9271,4143,5128,2848,1658,1190,1278,704,574,1570,954,616
55,Rensselaer County--Troy City PUMA,80612,39217,41395,71439,34755,36684,9173,4462,4711,24954,10451,14503,23757,9848,13909,1197,603,594,50549,25399,25150,44164,22179,21985,6385,3220,3165,5109,3367,1742,3518,2728,790,1591,639,952
56,Erie County (West Central)--Buffalo City (West) PUMA,48893,25692,23201,34158,18268,15890,14735,7424,7311,20391,10080,10311,17675,8704,8971,2716,1376,1340,25266,13249,12017,15204,8609,6595,10062,4640,5422,3236,2363,873,1279,955,324,1957,1408,549
57,Erie County (South) PUMA,88520,44577,43943,81482,40497,40985,7038,4080,2958,30741,14021,16720,30299,13767,16532,442,254,188,54168,28384,25784,48362,25024,23338,5806,3360,2446,3611,2172,1439,2821,1706,1115,790,466,324
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,65076,32288,32788,49357,25555,23802,15719,6733,8986,18140,8761,9379,16443,7712,8731,1697,1049,648,41536,20414,21122,30840,16250,14590,10696,4164,6532,5400,3113,2287,2074,1593,481,3326,1520,1806
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",62302,30680,31622,50347,26366,23981,11955,4314,7641,34908,16247,18661,30560,15022,15538,4348,1225,3123,22162,12243,9919,17817,9788,8029,4345,2455,1890,5232,2190,3042,1970,1556,414,3262,634,2628
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,19335,9185,10150,13130,5984,7146,6205,3201,3004,6476,2415,4061,5153,1521,3632,1323,894,429,8907,4136,4771,6612,3295,3317,2295,841,1454,3952,2634,1318,1365,1168,197,2587,1466,1121
61,NYC-Manhattan Community District 10--Central Harlem PUMA,54708,23549,31159,38929,16988,21941,15779,6561,9218,23202,9624,13578,19939,8432,11507,3263,1192,2071,25985,11885,14100,16596,7524,9072,9389,4361,5028,5521,2040,3481,2394,1032,1362,3127,1008,2119
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,35595,17446,18149,33554,16708,16846,2041,738,1303,19969,9418,10551,19589,9343,10246,380,75,305,15032,7758,7274,13446,7095,6351,1586,663,923,594,270,324,519,270,249,75,0,75
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,37549,17825,19724,19523,10107,9416,18026,7718,10308,5686,2723,2963,5063,2365,2698,623,358,265,24903,10878,14025,12473,6706,5767,12430,4172,8258,6960,4224,2736,1987,1036,951,4973,3188,1785
64,Albany County (East Central)--Albany City PUMA,44678,22927,21751,30855,15548,15307,13823,7379,6444,15517,7556,7961,13909,6405,7504,1608,1151,457,24334,12085,12249,15593,8391,7202,8741,3694,5047,4827,3286,1541,1353,752,601,3474,2534,940
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,33625,18614,15011,31816,17867,13949,1809,747,1062,17095,9072,8023,16814,8955,7859,281,117,164,15789,9155,6634,14729,8639,6090,1060,516,544,741,387,354,273,273,0,468,114,354
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,49380,23810,25570,39515,19349,20166,9865,4461,5404,13515,5041,8474,12905,4878,8027,610,163,447,32626,16588,16038,25242,13428,11814,7384,3160,4224,3239,2181,1058,1368,1043,325,1871,1138,733
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",40490,16495,23995,19042,8981,10061,21448,7514,13934,5923,2271,3652,4366,1827,2539,1557,444,1113,23993,8896,15097,11401,4975,6426,12592,3921,8671,10574,5328,5246,3275,2179,1096,7299,3149,4150
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",24263,10988,13275,13021,6351,6670,11242,4637,6605,4784,1351,3433,4411,1351,3060,373,0,373,13292,6013,7279,7137,3986,3151,6155,2027,4128,6187,3624,2563,1473,1014,459,4714,2610,2104
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",31124,14774,16350,26279,13286,12993,4845,1488,3357,15506,7294,8212,14998,7095,7903,508,199,309,13316,6457,6859,10223,5540,4683,3093,917,2176,2302,1023,1279,1058,651,407,1244,372,872
70,Erie County (Northeast) PUMA,54065,26796,27269,49799,25053,24746,4266,1743,2523,23566,10399,13167,22183,9713,12470,1383,686,697,28866,15091,13775,26328,14171,12157,2538,920,1618,1633,1306,327,1288,1169,119,345,137,208
71,NYC-Manhattan Community District 11--East Harlem PUMA,43445,18415,25030,28698,12950,15748,14747,5465,9282,17463,7511,9952,15499,6839,8660,1964,672,1292,18210,7904,10306,11401,5424,5977,6809,2480,4329,7772,3000,4772,1798,687,1111,5974,2313,3661
72,Orange County (Southeast) PUMA,50811,26467,24344,44803,23126,21677,6008,3341,2667,18490,8938,9552,18156,8700,9456,334,238,96,29127,15998,13129,25397,13762,11635,3730,2236,1494,3194,1531,1663,1250,664,586,1944,867,1077
