,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
75,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",178,178,0,178,178,0,0,0,0,0,0,0,0,0,0,0,0,0,178,178,0,178,178,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Erie County (Central) PUMA,1852,1063,789,1852,1063,789,0,0,0,842,563,279,842,563,279,0,0,0,1010,500,510,1010,500,510,0,0,0,0,0,0,0,0,0,0,0,0
77,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",3266,1629,1637,3107,1629,1478,159,0,159,1453,747,706,1413,747,666,40,0,40,1641,810,831,1522,810,712,119,0,119,172,72,100,172,72,100,0,0,0
78,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",17379,7424,9955,17004,7049,9955,375,375,0,9378,3483,5895,9279,3384,5895,99,99,0,7301,3641,3660,7025,3365,3660,276,276,0,700,300,400,700,300,400,0,0,0
79,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",1871,1243,628,1811,1243,568,60,0,60,1346,797,549,1286,797,489,60,0,60,525,446,79,525,446,79,0,0,0,0,0,0,0,0,0,0,0,0
80,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,385,149,236,385,149,236,0,0,0,0,0,0,0,0,0,0,0,0,385,149,236,385,149,236,0,0,0,0,0,0,0,0,0,0,0,0
81,Onondaga County (Central)--Syracuse City (Outer) PUMA,1697,815,882,1697,815,882,0,0,0,921,629,292,921,629,292,0,0,0,776,186,590,776,186,590,0,0,0,0,0,0,0,0,0,0,0,0
82,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",3447,1999,1448,3447,1999,1448,0,0,0,2777,1329,1448,2777,1329,1448,0,0,0,670,670,0,670,670,0,0,0,0,0,0,0,0,0,0,0,0,0
83,"Chenango, Delaware & Broome (East) Counties PUMA",618,207,411,600,207,393,18,0,18,140,75,65,122,75,47,18,0,18,478,132,346,478,132,346,0,0,0,0,0,0,0,0,0,0,0,0
84,Orange County (Northwest) PUMA,178,67,111,178,67,111,0,0,0,44,0,44,44,0,44,0,0,0,67,67,0,67,67,0,0,0,0,67,0,67,67,0,67,0,0,0
85,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,1812,1174,638,1761,1174,587,51,0,51,767,484,283,767,484,283,0,0,0,987,632,355,936,632,304,51,0,51,58,58,0,58,58,0,0,0,0
86,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,1635,930,705,1481,930,551,154,0,154,1560,887,673,1406,887,519,154,0,154,75,43,32,75,43,32,0,0,0,0,0,0,0,0,0,0,0,0
87,Dutchess County (North & East) PUMA,317,69,248,317,69,248,0,0,0,317,69,248,317,69,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Putnam County PUMA,1487,719,768,1487,719,768,0,0,0,471,62,409,471,62,409,0,0,0,938,579,359,938,579,359,0,0,0,78,78,0,78,78,0,0,0,0
89,Albany County (Outside Albany City) PUMA,1982,1290,692,1982,1290,692,0,0,0,444,343,101,444,343,101,0,0,0,1538,947,591,1538,947,591,0,0,0,0,0,0,0,0,0,0,0,0
90,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",369,369,0,369,369,0,0,0,0,0,0,0,0,0,0,0,0,0,369,369,0,369,369,0,0,0,0,0,0,0,0,0,0,0,0,0
91,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,1469,962,507,1469,962,507,0,0,0,1039,569,470,1039,569,470,0,0,0,393,393,0,393,393,0,0,0,0,37,0,37,37,0,37,0,0,0
92,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",4803,2527,2276,4717,2527,2190,86,0,86,2285,1319,966,2285,1319,966,0,0,0,2267,998,1269,2181,998,1183,86,0,86,251,210,41,251,210,41,0,0,0
93,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,1010,814,196,1010,814,196,0,0,0,373,373,0,373,373,0,0,0,0,346,211,135,346,211,135,0,0,0,291,230,61,291,230,61,0,0,0
94,Suffolk County (Northwest)--Huntington Town (South) PUMA,3020,1843,1177,2845,1668,1177,175,175,0,2334,1258,1076,2159,1083,1076,175,175,0,336,235,101,336,235,101,0,0,0,350,350,0,350,350,0,0,0,0
95,Oswego County PUMA,377,62,315,377,62,315,0,0,0,0,0,0,0,0,0,0,0,0,377,62,315,377,62,315,0,0,0,0,0,0,0,0,0,0,0,0
96,Rensselaer County--Troy City PUMA,1182,806,376,1182,806,376,0,0,0,1004,806,198,1004,806,198,0,0,0,178,0,178,178,0,178,0,0,0,0,0,0,0,0,0,0,0,0
97,Saratoga County (Outer) PUMA,613,251,362,613,251,362,0,0,0,268,197,71,268,197,71,0,0,0,345,54,291,345,54,291,0,0,0,0,0,0,0,0,0,0,0,0
98,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,458,279,179,394,279,115,64,0,64,88,88,0,88,88,0,0,0,0,370,191,179,306,191,115,64,0,64,0,0,0,0,0,0,0,0,0
99,Monroe County (East) PUMA,1840,890,950,1714,890,824,126,0,126,884,449,435,884,449,435,0,0,0,883,441,442,757,441,316,126,0,126,73,0,73,73,0,73,0,0,0
