,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
21,Oswego County PUMA,769,423,346,44545.73472041613,33840,57633,379,33,346,57403.95778364116,55000,57633,390,390,0,32050.17948717949,32050,0,0,0,0,#DIV/0!,0,0
22,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",6171,3085,3086,49008.54091719332,42045,55969,1952,485,1467,77002.04918032787,40276,89143,3074,1632,1442,38467.24463240078,49886,25543,1145,968,177,29585.498689956334,29710,28900
23,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,9157,5722,3435,55435.505078082344,60802,46495,3895,2388,1507,73789.83825417202,81023,62326,4416,2576,1840,41330.41213768116,46504,34087,846,758,88,44558.39243498818,45689,34818
24,Ontario & Yates Counties PUMA,1060,376,684,118050.28301886792,289096,24024,298,177,121,380410.73825503356,599200,60363,674,199,475,13547.3293768546,13275,13661,88,0,88,30000.0,0,30000
25,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",9944,4748,5196,53914.01045856798,54295,53565,5078,2184,2894,66599.4289090193,67951,65578,3896,2116,1780,42280.54928131417,44979,39071,970,448,522,34230.927835051545,31716,36388
26,Erie County (Northwest) PUMA,1775,1224,551,32069.90422535211,30129,36379,407,313,94,55994.299754299755,42778,100000,1298,911,387,24571.956856702618,25784,21718,70,0,70,32000.0,0,32000
27,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,16806,9081,7725,49450.926395335,43732,56172,6609,2567,4042,66170.85928279618,53339,74319,7358,4582,2776,40588.26583310682,41054,39818,2839,1932,907,33497.92180345192,37319,25357
28,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",7677,4699,2978,53446.50254005471,58316,45762,2291,1651,640,86336.31601920558,93835,66991,4335,2425,1910,41034.025374855824,40264,42010,1051,623,428,32949.38154138915,34453,30759
29,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",14408,8147,6261,137614.58217656857,155083,114882,12802,7057,5745,148937.30667083268,172772,119658,574,181,393,91901.56794425087,142005,68825,1032,909,123,22581.39534883721,20359,39000
30,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",12962,7320,5642,36549.78521833051,39602,32589,4532,2443,2089,45107.06443071492,45473,44678,6872,4005,2867,32971.4493597206,37862,26138,1558,872,686,27441.142490372273,31146,22731
