,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
57,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,3451,2022,1429,3451,2022,1429,0,0,0,1276,595,681,1276,595,681,0,0,0,1795,1099,696,1795,1099,696,0,0,0,380,328,52,380,328,52,0,0,0
58,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",7723,4100,3623,7502,4100,3402,221,0,221,6422,3626,2796,6201,3626,2575,221,0,221,1165,338,827,1165,338,827,0,0,0,136,136,0,136,136,0,0,0,0
59,NYC-Manhattan Community District 11--East Harlem PUMA,8298,3485,4813,8209,3396,4813,89,89,0,3144,1483,1661,3144,1483,1661,0,0,0,3321,637,2684,3232,548,2684,89,89,0,1833,1365,468,1833,1365,468,0,0,0
60,Schenectady County--Schenectady City PUMA,1427,907,520,1338,884,454,89,23,66,874,663,211,785,640,145,89,23,66,244,244,0,244,244,0,0,0,0,309,0,309,309,0,309,0,0,0
61,"Clinton, Franklin, Essex & Hamilton Counties PUMA",307,180,127,307,180,127,0,0,0,234,180,54,234,180,54,0,0,0,0,0,0,0,0,0,0,0,0,73,0,73,73,0,73,0,0,0
62,Onondaga County (Central)--Syracuse City (Outer) PUMA,1397,680,717,1397,680,717,0,0,0,1004,576,428,1004,576,428,0,0,0,319,104,215,319,104,215,0,0,0,74,0,74,74,0,74,0,0,0
63,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",13265,6037,7228,12881,5876,7005,384,161,223,5429,2443,2986,5200,2399,2801,229,44,185,6694,2978,3716,6539,2861,3678,155,117,38,1142,616,526,1142,616,526,0,0,0
64,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",3037,1568,1469,2982,1568,1414,55,0,55,1249,549,700,1194,549,645,55,0,55,1117,528,589,1117,528,589,0,0,0,671,491,180,671,491,180,0,0,0
65,Onondaga County (North) PUMA,1042,379,663,1042,379,663,0,0,0,147,81,66,147,81,66,0,0,0,729,193,536,729,193,536,0,0,0,166,105,61,166,105,61,0,0,0
66,Ulster County (East) PUMA,2875,1113,1762,2875,1113,1762,0,0,0,1044,383,661,1044,383,661,0,0,0,1305,524,781,1305,524,781,0,0,0,526,206,320,526,206,320,0,0,0
67,Oswego County PUMA,412,209,203,412,209,203,0,0,0,310,144,166,310,144,166,0,0,0,37,0,37,37,0,37,0,0,0,65,65,0,65,65,0,0,0,0
68,Niagara County (North & East) PUMA,316,168,148,295,168,127,21,0,21,150,150,0,150,150,0,0,0,0,166,18,148,145,18,127,21,0,21,0,0,0,0,0,0,0,0,0
69,Broome (Outer West) & Tioga Counties PUMA,256,82,174,256,82,174,0,0,0,169,82,87,169,82,87,0,0,0,0,0,0,0,0,0,0,0,0,87,0,87,87,0,87,0,0,0
70,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",15450,8040,7410,14744,7584,7160,706,456,250,3568,1272,2296,3342,1187,2155,226,85,141,9322,5573,3749,8842,5202,3640,480,371,109,2560,1195,1365,2560,1195,1365,0,0,0
71,Suffolk County (Southwest)--Islip Town (South) PUMA,5167,3305,1862,5105,3243,1862,62,62,0,2135,1489,646,2073,1427,646,62,62,0,2259,1323,936,2259,1323,936,0,0,0,773,493,280,773,493,280,0,0,0
72,Erie County (Central) PUMA,814,532,282,814,532,282,0,0,0,254,125,129,254,125,129,0,0,0,412,359,53,412,359,53,0,0,0,148,48,100,148,48,100,0,0,0
73,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",8975,4642,4333,8455,4642,3813,520,0,520,3633,1770,1863,3633,1770,1863,0,0,0,3924,1706,2218,3404,1706,1698,520,0,520,1418,1166,252,1418,1166,252,0,0,0
74,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,1556,932,624,1556,932,624,0,0,0,933,489,444,933,489,444,0,0,0,623,443,180,623,443,180,0,0,0,0,0,0,0,0,0,0,0,0
75,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,4143,2384,1759,4090,2384,1706,53,0,53,1462,667,795,1462,667,795,0,0,0,1995,1286,709,1942,1286,656,53,0,53,686,431,255,686,431,255,0,0,0
76,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",21196,11548,9648,19914,10663,9251,1282,885,397,7228,3023,4205,6712,2582,4130,516,441,75,11625,6843,4782,11001,6541,4460,624,302,322,2343,1682,661,2201,1540,661,142,142,0
77,Cattaraugus & Allegany Counties PUMA,450,126,324,450,126,324,0,0,0,27,0,27,27,0,27,0,0,0,253,0,253,253,0,253,0,0,0,170,126,44,170,126,44,0,0,0
78,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",32072,16778,15294,31907,16613,15294,165,165,0,13430,7286,6144,13430,7286,6144,0,0,0,16201,8127,8074,16201,8127,8074,0,0,0,2441,1365,1076,2276,1200,1076,165,165,0
79,Jefferson & Lewis Counties PUMA,993,258,735,720,258,462,273,0,273,359,258,101,359,258,101,0,0,0,634,0,634,361,0,361,273,0,273,0,0,0,0,0,0,0,0,0
80,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",3641,2422,1219,3190,2234,956,451,188,263,1994,1455,539,1629,1267,362,365,188,177,1224,717,507,1138,717,421,86,0,86,423,250,173,423,250,173,0,0,0
81,NYC-Queens Community District 1--Astoria & Long Island City PUMA,15109,8043,7066,14390,7741,6649,719,302,417,7502,3621,3881,7113,3468,3645,389,153,236,6359,3660,2699,6178,3660,2518,181,0,181,1248,762,486,1099,613,486,149,149,0
82,Saratoga County (Outer) PUMA,606,480,126,531,480,51,75,0,75,402,276,126,327,276,51,75,0,75,53,53,0,53,53,0,0,0,0,151,151,0,151,151,0,0,0,0
83,Dutchess County (Southwest) PUMA,6729,3818,2911,6729,3818,2911,0,0,0,2339,1395,944,2339,1395,944,0,0,0,3413,2056,1357,3413,2056,1357,0,0,0,977,367,610,977,367,610,0,0,0
84,Erie County (Northwest) PUMA,500,500,0,500,500,0,0,0,0,500,500,0,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Genesee & Orleans Counties PUMA,575,448,127,575,448,127,0,0,0,310,283,27,310,283,27,0,0,0,63,29,34,63,29,34,0,0,0,202,136,66,202,136,66,0,0,0
86,Erie County (Northeast) PUMA,179,109,70,179,109,70,0,0,0,179,109,70,179,109,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",16586,9677,6909,16196,9565,6631,390,112,278,6247,3463,2784,6024,3463,2561,223,0,223,8313,4779,3534,8201,4667,3534,112,112,0,2026,1435,591,1971,1435,536,55,0,55
88,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,4726,2367,2359,4557,2198,2359,169,169,0,1695,522,1173,1618,445,1173,77,77,0,1636,980,656,1544,888,656,92,92,0,1395,865,530,1395,865,530,0,0,0
89,Nassau County (West Central)--Hempstead Town (West Central) PUMA,9135,5259,3876,8747,4994,3753,388,265,123,4571,2234,2337,4381,2108,2273,190,126,64,4088,2656,1432,3890,2517,1373,198,139,59,476,369,107,476,369,107,0,0,0
90,Suffolk County (South Central)--Brookhaven Town (South) PUMA,4094,2836,1258,3868,2610,1258,226,226,0,428,428,0,428,428,0,0,0,0,2201,1322,879,1975,1096,879,226,226,0,1465,1086,379,1465,1086,379,0,0,0
91,Orange County (Northeast)--Greater Newburgh City PUMA,4688,2472,2216,4688,2472,2216,0,0,0,1817,931,886,1817,931,886,0,0,0,1720,916,804,1720,916,804,0,0,0,1151,625,526,1151,625,526,0,0,0
92,Sullivan & Ulster (West) Counties PUMA,2032,880,1152,1872,880,992,160,0,160,507,304,203,507,304,203,0,0,0,1373,424,949,1213,424,789,160,0,160,152,152,0,152,152,0,0,0,0
93,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",9943,5137,4806,9859,5053,4806,84,84,0,3935,2122,1813,3935,2122,1813,0,0,0,4532,2298,2234,4448,2214,2234,84,84,0,1476,717,759,1476,717,759,0,0,0
94,Wayne & Seneca Counties PUMA,556,253,303,556,253,303,0,0,0,153,62,91,153,62,91,0,0,0,196,72,124,196,72,124,0,0,0,207,119,88,207,119,88,0,0,0
95,Albany County (East Central)--Albany City PUMA,2967,1499,1468,2780,1470,1310,187,29,158,1717,752,965,1647,752,895,70,0,70,1162,747,415,1133,718,415,29,29,0,88,0,88,0,0,0,88,0,88
96,Nassau County (Northwest)--North Hempstead Town (North) PUMA,6050,3201,2849,5813,3165,2648,237,36,201,4770,2508,2262,4533,2472,2061,237,36,201,1129,577,552,1129,577,552,0,0,0,151,116,35,151,116,35,0,0,0
97,Rensselaer County--Troy City PUMA,1641,854,787,1338,671,667,303,183,120,960,480,480,657,297,360,303,183,120,350,250,100,350,250,100,0,0,0,331,124,207,331,124,207,0,0,0
98,Tompkins County PUMA,2774,1327,1447,2690,1243,1447,84,84,0,2536,1327,1209,2452,1243,1209,84,84,0,182,0,182,182,0,182,0,0,0,56,0,56,56,0,56,0,0,0
99,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,8321,4700,3621,8209,4700,3509,112,0,112,2428,1086,1342,2316,1086,1230,112,0,112,4576,2440,2136,4576,2440,2136,0,0,0,1317,1174,143,1317,1174,143,0,0,0
100,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,25672,14960,10712,24437,14911,9526,1235,49,1186,5330,2788,2542,5273,2788,2485,57,0,57,17138,9838,7300,15960,9789,6171,1178,49,1129,3204,2334,870,3204,2334,870,0,0,0
101,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,30735,18423,12312,28860,17636,11224,1875,787,1088,10118,5331,4787,9662,4875,4787,456,456,0,18289,11394,6895,16870,11063,5807,1419,331,1088,2328,1698,630,2328,1698,630,0,0,0
102,Columbia & Greene Counties PUMA,553,426,127,553,426,127,0,0,0,23,13,10,23,13,10,0,0,0,307,203,104,307,203,104,0,0,0,223,210,13,223,210,13,0,0,0
103,Madison & Cortland Counties PUMA,355,159,196,355,159,196,0,0,0,200,159,41,200,159,41,0,0,0,155,0,155,155,0,155,0,0,0,0,0,0,0,0,0,0,0,0
104,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,13812,5546,8266,13491,5445,8046,321,101,220,10147,4283,5864,9826,4182,5644,321,101,220,3226,967,2259,3226,967,2259,0,0,0,439,296,143,439,296,143,0,0,0
105,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,12909,8871,4038,12430,8685,3745,479,186,293,1978,1465,513,1978,1465,513,0,0,0,9497,6463,3034,9219,6364,2855,278,99,179,1434,943,491,1233,856,377,201,87,114
106,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",17507,8738,8769,15922,8310,7612,1585,428,1157,4274,1604,2670,3993,1512,2481,281,92,189,10457,5154,5303,9373,4818,4555,1084,336,748,2776,1980,796,2556,1980,576,220,0,220
