,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
133,Onondaga County (North) PUMA,1420,755,74,681,619,374,245,46,0,46
134,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,5225,1361,448,913,3102,1148,1954,762,132,630
135,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,4464,1353,909,444,2634,1368,1266,477,316,161
136,Genesee & Orleans Counties PUMA,461,83,83,0,252,54,198,126,61,65
137,Westchester County (Central)--White Plains City PUMA,12835,6572,2668,3904,4538,2843,1695,1725,1174,551
138,Saratoga County (South & Central) PUMA,1825,1415,746,669,410,182,228,0,0,0
139,Monroe County (South) PUMA,4994,3761,2044,1717,778,390,388,455,0,455
140,Suffolk County (Central)--Islip Town (Northwest) PUMA,20721,2840,685,2155,14333,8074,6259,3548,2269,1279
141,St. Lawrence County PUMA,384,19,0,19,365,66,299,0,0,0
142,Nassau County (West Central)--Hempstead Town (West Central) PUMA,9211,3785,1436,2349,5272,2322,2950,154,51,103
143,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,9551,1610,668,942,4730,2584,2146,3211,2564,647
144,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",15655,4589,2138,2451,9216,5579,3637,1850,704,1146
145,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,3493,605,228,377,2787,1321,1466,101,0,101
146,Capital Region,15098,9322,5426,3896,4185,1615,2570,1591,1071,520
147,Central NY,9917,4993,2415,2578,3975,2478,1497,949,463,486
148,Finger Lakes,17706,8131,4678,3453,7742,3231,4511,1833,896,937
149,Long Island,165801,60479,28917,31562,79949,40836,39113,25373,16889,8484
150,Mid-Hudson,133449,51353,21431,29922,60651,29683,30968,21445,13425,8020
151,Mohawk Valley,4233,1575,767,808,1836,927,909,822,553,269
152,New York City,818895,293344,143601,149743,399142,197792,201350,126409,70504,55905
153,North Country,3220,1092,474,618,1440,561,879,688,662,26
154,Southern Tier,9822,7854,3216,4638,1928,1109,819,40,40,0
155,Western NY,15065,8141,4315,3826,5067,2833,2234,1857,529,1328
