,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
55,NYC-Manhattan Community District 8--Upper East Side PUMA,12552,4996,7556,10845,4519,6326,1707,477,1230,11027,4341,6686,9369,3913,5456,1658,428,1230,1525,655,870,1476,606,870,49,49,0,0,0,0,0,0,0,0,0,0
56,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",4684,1190,3494,3980,1190,2790,704,0,704,4479,985,3494,3775,985,2790,704,0,704,205,205,0,205,205,0,0,0,0,0,0,0,0,0,0,0,0,0
57,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",26285,16078,10207,21130,13689,7441,5155,2389,2766,8160,3688,4472,7556,3352,4204,604,336,268,15528,9900,5628,11651,8521,3130,3877,1379,2498,2597,2490,107,1923,1816,107,674,674,0
58,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,13259,6594,6665,11353,5772,5581,1906,822,1084,4604,2243,2361,4247,2001,2246,357,242,115,7632,3652,3980,6351,3148,3203,1281,504,777,1023,699,324,755,623,132,268,76,192
59,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",10108,4565,5543,7163,3805,3358,2945,760,2185,3119,1042,2077,2624,909,1715,495,133,362,5348,2664,2684,3503,2428,1075,1845,236,1609,1641,859,782,1036,468,568,605,391,214
60,Suffolk County (Central)--Islip Town (Northwest) PUMA,20273,11396,8877,18083,10231,7852,2190,1165,1025,2741,1389,1352,2434,1167,1267,307,222,85,12878,7379,5499,11425,6505,4920,1453,874,579,4654,2628,2026,4224,2559,1665,430,69,361
61,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",9929,5276,4653,8223,4970,3253,1706,306,1400,4734,2441,2293,4421,2441,1980,313,0,313,4497,2835,1662,3345,2529,816,1152,306,846,698,0,698,457,0,457,241,0,241
62,Saratoga County (South & Central) PUMA,1586,1210,376,1308,1210,98,278,0,278,1361,985,376,1083,985,98,278,0,278,183,183,0,183,183,0,0,0,0,42,42,0,42,42,0,0,0,0
63,Cattaraugus & Allegany Counties PUMA,205,119,86,187,119,68,18,0,18,137,119,18,119,119,0,18,0,18,68,0,68,68,0,68,0,0,0,0,0,0,0,0,0,0,0,0
64,Genesee & Orleans Counties PUMA,365,365,0,365,365,0,0,0,0,0,0,0,0,0,0,0,0,0,365,365,0,365,365,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Cayuga & Onondaga (South) Counties PUMA,694,375,319,592,375,217,102,0,102,174,111,63,174,111,63,0,0,0,474,218,256,372,218,154,102,0,102,46,46,0,46,46,0,0,0,0
66,Sullivan & Ulster (West) Counties PUMA,2298,1345,953,1746,1028,718,552,317,235,502,109,393,502,109,393,0,0,0,1162,602,560,744,419,325,418,183,235,634,634,0,500,500,0,134,134,0
