,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
134,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",13703,11472,5176,6296,1529,750,779,702,269,433
135,Albany County (East Central)--Albany City PUMA,4316,2544,1289,1255,1087,626,461,685,148,537
136,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",28698,16917,8121,8796,10399,4916,5483,1382,551,831
137,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,33778,6805,2180,4625,21869,13511,8358,5104,3056,2048
138,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,11754,2403,1058,1345,5804,3213,2591,3547,2139,1408
139,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",6161,4736,2315,2421,1008,505,503,417,85,332
140,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",20037,3161,1680,1481,13603,6957,6646,3273,1858,1415
141,NYC-Manhattan Community District 8--Upper East Side PUMA,29344,19907,8440,11467,9437,5123,4314,0,0,0
142,Orange County (Northeast)--Greater Newburgh City PUMA,6161,1932,691,1241,2779,1580,1199,1450,1040,410
143,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",10094,4339,1939,2400,4382,2775,1607,1373,526,847
144,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,15173,4880,3036,1844,7888,4947,2941,2405,1311,1094
145,Suffolk County (Central)--Islip Town (Northwest) PUMA,20707,3211,2429,782,11799,5358,6441,5697,3336,2361
146,Capital Region,26879,16738,7641,9097,7164,3635,3529,2977,1595,1382
147,Central NY,16398,8114,3358,4756,5874,3063,2811,2410,1584,826
148,Finger Lakes,29457,11841,6228,5613,14462,8221,6241,3154,1766,1388
149,Long Island,238829,96478,46041,50437,111010,57243,53767,31341,18731,12610
150,Mid-Hudson,169238,69722,29770,39952,70915,35695,35220,28601,18597,10004
151,Mohawk Valley,9137,2452,991,1461,5367,2350,3017,1318,619,699
152,New York City,1094713,450575,205318,245257,513982,276793,237189,130156,72537,57619
153,North Country,6258,2372,1163,1209,2895,1552,1343,991,793,198
154,Southern Tier,14492,9353,5382,3971,3552,1954,1598,1587,869,718
155,Western NY,22983,11697,6986,4711,8831,4323,4508,2455,1581,874
