,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
51,Erie County (North Central) PUMA,1417,480,937,1299,362,937,118,118,0,1137,408,729,1019,290,729,118,118,0,280,72,208,280,72,208,0,0,0,0,0,0,0,0,0,0,0,0
52,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",10490,6183,4307,9838,5531,4307,652,652,0,5394,2881,2513,5312,2799,2513,82,82,0,4950,3156,1794,4380,2586,1794,570,570,0,146,146,0,146,146,0,0,0,0
53,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",2262,1077,1185,2156,1077,1079,106,0,106,1686,650,1036,1580,650,930,106,0,106,576,427,149,576,427,149,0,0,0,0,0,0,0,0,0,0,0,0
54,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,6245,3172,3073,6158,3172,2986,87,0,87,4642,2426,2216,4555,2426,2129,87,0,87,1488,631,857,1488,631,857,0,0,0,115,115,0,115,115,0,0,0,0
55,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",13884,8240,5644,13098,7881,5217,786,359,427,4501,1842,2659,4097,1717,2380,404,125,279,8569,5747,2822,8187,5513,2674,382,234,148,814,651,163,814,651,163,0,0,0
56,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",17128,8627,8501,16103,8357,7746,1025,270,755,10723,4991,5732,10285,4928,5357,438,63,375,5749,3072,2677,5249,2952,2297,500,120,380,656,564,92,569,477,92,87,87,0
57,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",477,184,293,477,184,293,0,0,0,0,0,0,0,0,0,0,0,0,477,184,293,477,184,293,0,0,0,0,0,0,0,0,0,0,0,0
58,Suffolk County (North Central)--Brookhaven Town (North) PUMA,1766,918,848,1766,918,848,0,0,0,1523,918,605,1523,918,605,0,0,0,243,0,243,243,0,243,0,0,0,0,0,0,0,0,0,0,0,0
59,Albany County (East Central)--Albany City PUMA,551,213,338,551,213,338,0,0,0,242,163,79,242,163,79,0,0,0,309,50,259,309,50,259,0,0,0,0,0,0,0,0,0,0,0,0
60,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,2107,1131,976,2107,1131,976,0,0,0,1784,996,788,1784,996,788,0,0,0,323,135,188,323,135,188,0,0,0,0,0,0,0,0,0,0,0,0
