,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
56,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",21402.0,9637.0,11765.0,9526.0,4263.0,5263.0,11876.0,5374.0,6502.0,12702.0,5437.0,7265.0,6687.0,3076.0,3611.0,6015.0,2361.0,3654.0,7750.0,3598.0,4152.0,2383.0,823.0,1560.0,5367.0,2775.0,2592.0,950.0,602.0,348.0,456.0,364.0,92.0,494.0,238.0,256.0
57,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",503.0,147.0,356.0,63.0,0.0,63.0,440.0,147.0,293.0,63.0,0.0,63.0,63.0,0.0,63.0,0.0,0.0,0.0,440.0,147.0,293.0,0.0,0.0,0.0,440.0,147.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Suffolk County (North Central)--Brookhaven Town (North) PUMA,1656.0,831.0,825.0,1559.0,754.0,805.0,97.0,77.0,20.0,1413.0,831.0,582.0,1316.0,754.0,562.0,97.0,77.0,20.0,243.0,0.0,243.0,243.0,0.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Albany County (East Central)--Albany City PUMA,884.0,294.0,590.0,462.0,81.0,381.0,422.0,213.0,209.0,494.0,163.0,331.0,122.0,0.0,122.0,372.0,163.0,209.0,309.0,50.0,259.0,259.0,0.0,259.0,50.0,50.0,0.0,81.0,81.0,0.0,81.0,81.0,0.0,0.0,0.0,0.0
60,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,2301.0,1131.0,1170.0,1198.0,565.0,633.0,1103.0,566.0,537.0,1978.0,996.0,982.0,937.0,492.0,445.0,1041.0,504.0,537.0,323.0,135.0,188.0,261.0,73.0,188.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Rensselaer County--Troy City PUMA,912.0,682.0,230.0,773.0,543.0,230.0,139.0,139.0,0.0,463.0,233.0,230.0,324.0,94.0,230.0,139.0,139.0,0.0,449.0,449.0,0.0,449.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Warren & Washington Counties PUMA,745.0,321.0,424.0,354.0,139.0,215.0,391.0,182.0,209.0,290.0,117.0,173.0,0.0,0.0,0.0,290.0,117.0,173.0,391.0,140.0,251.0,290.0,75.0,215.0,101.0,65.0,36.0,64.0,64.0,0.0,64.0,64.0,0.0,0.0,0.0,0.0
63,Orange County (Northeast)--Greater Newburgh City PUMA,603.0,360.0,243.0,315.0,145.0,170.0,288.0,215.0,73.0,315.0,145.0,170.0,315.0,145.0,170.0,0.0,0.0,0.0,73.0,0.0,73.0,0.0,0.0,0.0,73.0,0.0,73.0,215.0,215.0,0.0,0.0,0.0,0.0,215.0,215.0,0.0
64,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",706.0,79.0,627.0,706.0,79.0,627.0,0.0,0.0,0.0,267.0,0.0,267.0,267.0,0.0,267.0,0.0,0.0,0.0,360.0,0.0,360.0,360.0,0.0,360.0,0.0,0.0,0.0,79.0,79.0,0.0,79.0,79.0,0.0,0.0,0.0,0.0
65,Fulton & Montgomery Counties PUMA,174.0,0.0,174.0,47.0,0.0,47.0,127.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,0.0,174.0,47.0,0.0,47.0,127.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
