,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",2462,1266,1196,1922,978,944,540,288,252,159,95,64,0,0,0,159,95,64,1961,829,1132,1580,636,944,381,193,188,342,342,0,342,342,0,0,0,0
48,Wayne & Seneca Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Schenectady County--Schenectady City PUMA,874,288,586,806,288,518,68,0,68,432,0,432,364,0,364,68,0,68,442,288,154,442,288,154,0,0,0,0,0,0,0,0,0,0,0,0
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,2351,1084,1267,2008,1084,924,343,0,343,585,272,313,585,272,313,0,0,0,1546,812,734,1423,812,611,123,0,123,220,0,220,0,0,0,220,0,220
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,1147,487,660,1031,487,544,116,0,116,173,0,173,57,0,57,116,0,116,674,487,187,674,487,187,0,0,0,300,0,300,300,0,300,0,0,0
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,6109,4260,1849,5148,3641,1507,961,619,342,535,98,437,459,98,361,76,0,76,3921,2949,972,3775,2949,826,146,0,146,1653,1213,440,914,594,320,739,619,120
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",2558,1684,874,1901,1413,488,657,271,386,1415,1280,135,1144,1009,135,271,271,0,1143,404,739,757,404,353,386,0,386,0,0,0,0,0,0,0,0,0
54,Columbia & Greene Counties PUMA,241,156,85,205,156,49,36,0,36,36,0,36,0,0,0,36,0,36,108,108,0,108,108,0,0,0,0,97,48,49,97,48,49,0,0,0
55,Rensselaer County--Troy City PUMA,266,210,56,266,210,56,0,0,0,79,23,56,79,23,56,0,0,0,151,151,0,151,151,0,0,0,0,36,36,0,36,36,0,0,0,0
56,Erie County (West Central)--Buffalo City (West) PUMA,834,341,493,783,341,442,51,0,51,532,341,191,532,341,191,0,0,0,121,0,121,70,0,70,51,0,51,181,0,181,181,0,181,0,0,0
57,Erie County (South) PUMA,510,166,344,344,0,344,166,166,0,344,0,344,344,0,344,0,0,0,166,166,0,0,0,0,166,166,0,0,0,0,0,0,0,0,0,0
