,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
56,Erie County (West Central)--Buffalo City (West) PUMA,834,341,493,783,341,442,51,0,51,532,341,191,532,341,191,0,0,0,121,0,121,70,0,70,51,0,51,181,0,181,181,0,181,0,0,0
57,Erie County (South) PUMA,344,0,344,344,0,344,0,0,0,344,0,344,344,0,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,231,0,231,231,0,231,0,0,0,100,0,100,100,0,100,0,0,0,131,0,131,131,0,131,0,0,0,0,0,0,0,0,0,0,0,0
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",22770,12859,9911,21452,12273,9179,1318,586,732,3511,2113,1398,3340,1942,1398,171,171,0,14827,7462,7365,14036,7403,6633,791,59,732,4432,3284,1148,4076,2928,1148,356,356,0
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,956,332,624,664,188,476,292,144,148,0,0,0,0,0,0,0,0,0,446,0,446,298,0,298,148,0,148,510,332,178,366,188,178,144,144,0
61,NYC-Manhattan Community District 10--Central Harlem PUMA,2833,856,1977,2833,856,1977,0,0,0,700,175,525,700,175,525,0,0,0,990,0,990,990,0,990,0,0,0,1143,681,462,1143,681,462,0,0,0
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,3803,2702,1101,3803,2702,1101,0,0,0,766,391,375,766,391,375,0,0,0,2282,1742,540,2282,1742,540,0,0,0,755,569,186,755,569,186,0,0,0
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,2456,1126,1330,1971,701,1270,485,425,60,781,524,257,356,99,257,425,425,0,1302,289,1013,1302,289,1013,0,0,0,373,313,60,313,313,0,60,0,60
64,Albany County (East Central)--Albany City PUMA,895,287,608,895,287,608,0,0,0,0,0,0,0,0,0,0,0,0,608,0,608,608,0,608,0,0,0,287,287,0,287,287,0,0,0,0
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,3040,2195,845,2863,2018,845,177,177,0,396,300,96,396,300,96,0,0,0,1953,1204,749,1776,1027,749,177,177,0,691,691,0,691,691,0,0,0,0
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,104,104,0,104,104,0,0,0,0,0,0,0,0,0,0,0,0,0,104,104,0,104,104,0,0,0,0,0,0,0,0,0,0,0,0,0
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",8991,4665,4326,8818,4665,4153,173,0,173,1804,558,1246,1718,558,1160,86,0,86,5695,3228,2467,5695,3228,2467,0,0,0,1492,879,613,1405,879,526,87,0,87
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",8690,4428,4262,8421,4220,4201,269,208,61,1714,579,1135,1714,579,1135,0,0,0,4746,2693,2053,4538,2485,2053,208,208,0,2230,1156,1074,2169,1156,1013,61,0,61
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",6278,2820,3458,6278,2820,3458,0,0,0,1654,579,1075,1654,579,1075,0,0,0,3646,1720,1926,3646,1720,1926,0,0,0,978,521,457,978,521,457,0,0,0
70,Erie County (Northeast) PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,NYC-Manhattan Community District 11--East Harlem PUMA,3472,1713,1759,3216,1713,1503,256,0,256,813,159,654,813,159,654,0,0,0,1844,965,879,1588,965,623,256,0,256,815,589,226,815,589,226,0,0,0
72,Orange County (Southeast) PUMA,1407,837,570,1407,837,570,0,0,0,397,50,347,397,50,347,0,0,0,860,637,223,860,637,223,0,0,0,150,150,0,150,150,0,0,0,0
73,Westchester County (Southeast) PUMA,8254,5717,2537,8119,5717,2402,135,0,135,2221,943,1278,2221,943,1278,0,0,0,2761,1830,931,2626,1830,796,135,0,135,3272,2944,328,3272,2944,328,0,0,0
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,8936,5247,3689,7691,4484,3207,1245,763,482,2764,1362,1402,2432,1228,1204,332,134,198,4270,2537,1733,3357,1908,1449,913,629,284,1902,1348,554,1902,1348,554,0,0,0
75,Livingston & Wyoming Counties PUMA,234,188,46,234,188,46,0,0,0,0,0,0,0,0,0,0,0,0,67,31,36,67,31,36,0,0,0,167,157,10,167,157,10,0,0,0
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,2432,1326,1106,2432,1326,1106,0,0,0,68,0,68,68,0,68,0,0,0,1702,935,767,1702,935,767,0,0,0,662,391,271,662,391,271,0,0,0
77,Westchester County (Southwest)--Yonkers City PUMA,12455,7409,5046,11587,7191,4396,868,218,650,1520,469,1051,1520,469,1051,0,0,0,8221,5459,2762,7771,5241,2530,450,218,232,2714,1481,1233,2296,1481,815,418,0,418
78,Erie County (North Central) PUMA,506,81,425,506,81,425,0,0,0,385,81,304,385,81,304,0,0,0,121,0,121,121,0,121,0,0,0,0,0,0,0,0,0,0,0,0
79,Saratoga County (South & Central) PUMA,88,0,88,88,0,88,0,0,0,88,0,88,88,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Suffolk County (South Central)--Brookhaven Town (South) PUMA,4018,2732,1286,4018,2732,1286,0,0,0,380,89,291,380,89,291,0,0,0,2314,1683,631,2314,1683,631,0,0,0,1324,960,364,1324,960,364,0,0,0
81,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",303,303,0,303,303,0,0,0,0,86,86,0,86,86,0,0,0,0,217,217,0,217,217,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,107,107,0,107,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,107,0,107,107,0,0,0,0
83,Niagara County (North & East) PUMA,156,71,85,71,71,0,85,0,85,85,0,85,0,0,0,85,0,85,71,71,0,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Monroe County (Central)--Rochester City (East) PUMA,951,430,521,833,312,521,118,118,0,0,0,0,0,0,0,0,0,0,673,430,243,555,312,243,118,118,0,278,0,278,278,0,278,0,0,0
85,Warren & Washington Counties PUMA,55,0,55,55,0,55,0,0,0,55,0,55,55,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,2210,1775,435,2210,1775,435,0,0,0,632,278,354,632,278,354,0,0,0,1268,1187,81,1268,1187,81,0,0,0,310,310,0,310,310,0,0,0,0
87,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,1659,226,1433,1544,146,1398,115,80,35,1206,146,1060,1171,146,1025,35,0,35,453,80,373,373,0,373,80,80,0,0,0,0,0,0,0,0,0,0
88,Onondaga County (Central)--Syracuse City PUMA,1075,593,482,860,593,267,215,0,215,0,0,0,0,0,0,0,0,0,1005,561,444,790,561,229,215,0,215,70,32,38,70,32,38,0,0,0
89,Westchester County (Central)--White Plains City PUMA,6702,3328,3374,6702,3328,3374,0,0,0,2558,522,2036,2558,522,2036,0,0,0,2779,1603,1176,2779,1603,1176,0,0,0,1365,1203,162,1365,1203,162,0,0,0
