,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,14325.0,9235.0,5090.0,1759.0,1007.0,752.0,12566.0,8228.0,4338.0,1802.0,960.0,842.0,128.0,0.0,128.0,1674.0,960.0,714.0,8949.0,5648.0,3301.0,1249.0,764.0,485.0,7700.0,4884.0,2816.0,3574.0,2627.0,947.0,382.0,243.0,139.0,3192.0,2384.0,808.0
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",2385.0,886.0,1499.0,635.0,427.0,208.0,1750.0,459.0,1291.0,1806.0,570.0,1236.0,575.0,427.0,148.0,1231.0,143.0,1088.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579.0,316.0,263.0,60.0,0.0,60.0,519.0,316.0,203.0
41,Suffolk County (Central)--Islip Town (East) PUMA,341.0,153.0,188.0,70.0,70.0,0.0,271.0,83.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.0,83.0,188.0,0.0,0.0,0.0,271.0,83.0,188.0,70.0,70.0,0.0,70.0,70.0,0.0,0.0,0.0,0.0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",1620.0,440.0,1180.0,0.0,0.0,0.0,1620.0,440.0,1180.0,187.0,105.0,82.0,0.0,0.0,0.0,187.0,105.0,82.0,1294.0,252.0,1042.0,0.0,0.0,0.0,1294.0,252.0,1042.0,139.0,83.0,56.0,0.0,0.0,0.0,139.0,83.0,56.0
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",11045.0,5184.0,5861.0,4787.0,1977.0,2810.0,6258.0,3207.0,3051.0,2405.0,789.0,1616.0,1231.0,488.0,743.0,1174.0,301.0,873.0,6096.0,2469.0,3627.0,2802.0,996.0,1806.0,3294.0,1473.0,1821.0,2544.0,1926.0,618.0,754.0,493.0,261.0,1790.0,1433.0,357.0
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,28549.0,16230.0,12319.0,6673.0,3487.0,3186.0,21876.0,12743.0,9133.0,2365.0,618.0,1747.0,1140.0,462.0,678.0,1225.0,156.0,1069.0,20094.0,11141.0,8953.0,4844.0,2483.0,2361.0,15250.0,8658.0,6592.0,6090.0,4471.0,1619.0,689.0,542.0,147.0,5401.0,3929.0,1472.0
45,Saratoga County (Outer) PUMA,784.0,294.0,490.0,784.0,294.0,490.0,0.0,0.0,0.0,784.0,294.0,490.0,784.0,294.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",5451.0,2863.0,2588.0,1935.0,1169.0,766.0,3516.0,1694.0,1822.0,644.0,249.0,395.0,472.0,249.0,223.0,172.0,0.0,172.0,4099.0,1906.0,2193.0,1219.0,676.0,543.0,2880.0,1230.0,1650.0,708.0,708.0,0.0,244.0,244.0,0.0,464.0,464.0,0.0
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",2632.0,1317.0,1315.0,650.0,146.0,504.0,1982.0,1171.0,811.0,262.0,146.0,116.0,210.0,146.0,64.0,52.0,0.0,52.0,2028.0,829.0,1199.0,440.0,0.0,440.0,1588.0,829.0,759.0,342.0,342.0,0.0,0.0,0.0,0.0,342.0,342.0,0.0
48,Wayne & Seneca Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Schenectady County--Schenectady City PUMA,1075.0,288.0,787.0,702.0,288.0,414.0,373.0,0.0,373.0,527.0,0.0,527.0,154.0,0.0,154.0,373.0,0.0,373.0,548.0,288.0,260.0,548.0,288.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,3551.0,1260.0,2291.0,241.0,90.0,151.0,3310.0,1170.0,2140.0,737.0,272.0,465.0,0.0,0.0,0.0,737.0,272.0,465.0,2225.0,988.0,1237.0,241.0,90.0,151.0,1984.0,898.0,1086.0,589.0,0.0,589.0,0.0,0.0,0.0,589.0,0.0,589.0
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,1284.0,487.0,797.0,660.0,219.0,441.0,624.0,268.0,356.0,173.0,0.0,173.0,89.0,0.0,89.0,84.0,0.0,84.0,811.0,487.0,324.0,271.0,219.0,52.0,540.0,268.0,272.0,300.0,0.0,300.0,300.0,0.0,300.0,0.0,0.0,0.0
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,6618.0,4175.0,2443.0,5555.0,3500.0,2055.0,1063.0,675.0,388.0,535.0,98.0,437.0,459.0,98.0,361.0,76.0,0.0,76.0,4091.0,2864.0,1227.0,3104.0,2189.0,915.0,987.0,675.0,312.0,1992.0,1213.0,779.0,1992.0,1213.0,779.0,0.0,0.0,0.0
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",2972.0,1944.0,1028.0,626.0,472.0,154.0,2346.0,1472.0,874.0,1410.0,1275.0,135.0,271.0,271.0,0.0,1139.0,1004.0,135.0,1380.0,487.0,893.0,355.0,201.0,154.0,1025.0,286.0,739.0,182.0,182.0,0.0,0.0,0.0,0.0,182.0,182.0,0.0
54,Columbia & Greene Counties PUMA,293.0,156.0,137.0,185.0,48.0,137.0,108.0,108.0,0.0,36.0,0.0,36.0,36.0,0.0,36.0,0.0,0.0,0.0,108.0,108.0,0.0,0.0,0.0,0.0,108.0,108.0,0.0,149.0,48.0,101.0,149.0,48.0,101.0,0.0,0.0,0.0
55,Rensselaer County--Troy City PUMA,243.0,187.0,56.0,36.0,36.0,0.0,207.0,151.0,56.0,56.0,0.0,56.0,0.0,0.0,0.0,56.0,0.0,56.0,151.0,151.0,0.0,0.0,0.0,0.0,151.0,151.0,0.0,36.0,36.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0
56,Erie County (West Central)--Buffalo City (West) PUMA,1090.0,597.0,493.0,739.0,498.0,241.0,351.0,99.0,252.0,532.0,341.0,191.0,393.0,341.0,52.0,139.0,0.0,139.0,121.0,0.0,121.0,121.0,0.0,121.0,0.0,0.0,0.0,437.0,256.0,181.0,225.0,157.0,68.0,212.0,99.0,113.0
57,Erie County (South) PUMA,344.0,0.0,344.0,0.0,0.0,0.0,344.0,0.0,344.0,344.0,0.0,344.0,0.0,0.0,0.0,344.0,0.0,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,362.0,131.0,231.0,102.0,0.0,102.0,260.0,131.0,129.0,100.0,0.0,100.0,39.0,0.0,39.0,61.0,0.0,61.0,262.0,131.0,131.0,63.0,0.0,63.0,199.0,131.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",29736.0,16568.0,13168.0,1117.0,731.0,386.0,28619.0,15837.0,12782.0,4439.0,2261.0,2178.0,596.0,342.0,254.0,3843.0,1919.0,1924.0,17349.0,9118.0,8231.0,521.0,389.0,132.0,16828.0,8729.0,8099.0,7948.0,5189.0,2759.0,0.0,0.0,0.0,7948.0,5189.0,2759.0
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,1551.0,769.0,782.0,0.0,0.0,0.0,1551.0,769.0,782.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604.0,0.0,604.0,0.0,0.0,0.0,604.0,0.0,604.0,947.0,769.0,178.0,0.0,0.0,0.0,947.0,769.0,178.0
61,NYC-Manhattan Community District 10--Central Harlem PUMA,3440.0,1240.0,2200.0,0.0,0.0,0.0,3440.0,1240.0,2200.0,700.0,175.0,525.0,0.0,0.0,0.0,700.0,175.0,525.0,1461.0,248.0,1213.0,0.0,0.0,0.0,1461.0,248.0,1213.0,1279.0,817.0,462.0,0.0,0.0,0.0,1279.0,817.0,462.0
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,4078.0,2737.0,1341.0,3571.0,2614.0,957.0,507.0,123.0,384.0,766.0,391.0,375.0,766.0,391.0,375.0,0.0,0.0,0.0,2557.0,1777.0,780.0,2236.0,1654.0,582.0,321.0,123.0,198.0,755.0,569.0,186.0,569.0,569.0,0.0,186.0,0.0,186.0
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,3250.0,1126.0,2124.0,489.0,289.0,200.0,2761.0,837.0,1924.0,841.0,524.0,317.0,120.0,0.0,120.0,721.0,524.0,197.0,1545.0,289.0,1256.0,289.0,289.0,0.0,1256.0,0.0,1256.0,864.0,313.0,551.0,80.0,0.0,80.0,784.0,313.0,471.0
64,Albany County (East Central)--Albany City PUMA,895.0,287.0,608.0,0.0,0.0,0.0,895.0,287.0,608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608.0,0.0,608.0,0.0,0.0,0.0,608.0,0.0,608.0,287.0,287.0,0.0,0.0,0.0,0.0,287.0,287.0,0.0
