,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
127,NYC-Manhattan Community District 11--East Harlem PUMA,44447,15700,6773,8927,21103,9496,11607,7644,2810,4834
128,Westchester County (Southeast) PUMA,37856,25703,12272,13431,11501,5749,5752,652,261,391
129,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,54428,13606,6734,6872,37907,18480,19427,2915,2051,864
130,Erie County (Northeast) PUMA,59656,21106,9805,11301,35396,19542,15854,3154,2336,818
131,Monroe County (Central)--Greece & Gates Towns PUMA,59499,19358,7640,11718,36239,17296,18943,3902,1825,2077
132,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,37062,18965,8177,10788,16349,8741,7608,1748,1089,659
133,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",38051,10466,3683,6783,25844,11162,14682,1741,1016,725
134,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",70936,62990,29701,33289,7388,4048,3340,558,297,261
135,Albany County (East Central)--Albany City PUMA,40047,14747,6446,8301,20845,10770,10075,4455,1878,2577
136,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",34567,15824,6037,9787,17535,10071,7464,1208,723,485
137,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,13745,5638,3340,2298,7616,4151,3465,491,393,98
138,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,36188,11005,5710,5295,22207,10480,11727,2976,1539,1437
139,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",56339,43634,19806,23828,9663,4557,5106,3042,1578,1464
140,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",27475,5473,1210,4263,17263,7621,9642,4739,3259,1480
141,NYC-Manhattan Community District 8--Upper East Side PUMA,97453,88858,36720,52138,6827,2816,4011,1768,1445,323
142,Orange County (Northeast)--Greater Newburgh City PUMA,54211,18887,8556,10331,33385,17177,16208,1939,1145,794
143,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",34216,8428,3707,4721,20761,10066,10695,5027,2370,2657
144,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,27728,7592,2889,4703,17605,9994,7611,2531,1175,1356
145,Suffolk County (Central)--Islip Town (Northwest) PUMA,26785,6510,2291,4219,15714,8397,7317,4561,2224,2337
146,Capital Region,512875,183058,80263,102795,293703,154591,139112,36114,20860,15254
147,Central NY,371048,113908,50880,63028,226583,115058,111525,30557,18796,11761
148,Finger Lakes,564244,196485,87194,109291,324559,162926,161633,43200,27268,15932
149,Long Island,1086371,493558,228156,265402,555476,287546,267930,37337,20119,17218
150,Mid-Hudson,871046,386856,174998,211858,433352,228733,204619,50838,30575,20263
151,Mohawk Valley,226657,57133,23756,33377,148043,77542,70501,21481,13470,8011
152,New York City,2377740,1157007,529356,627651,1017227,518398,498829,203506,108549,94957
153,North Country,202731,41555,15752,25803,142688,78170,64518,18488,12563,5925
154,Southern Tier,292683,85774,40538,45236,181541,91335,90206,25368,14509,10859
155,Western NY,669517,206776,93924,112852,421543,212836,208707,41198,23352,17846
