,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
124,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,1898,646,297,349,944,507,437,308,199,109
125,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,3492,1202,593,609,2046,916,1130,244,150,94
126,Suffolk County (Northwest)--Huntington Town (South) PUMA,1436,592,295,297,677,332,345,167,101,66
127,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",688,99,22,77,412,304,108,177,84,93
128,Suffolk County (North Central)--Brookhaven Town (North) PUMA,1381,1061,576,485,223,86,137,97,49,48
129,NYC-Queens Community District 1--Astoria & Long Island City PUMA,13340,6003,2716,3287,6144,3123,3021,1193,637,556
130,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,1592,441,241,200,965,477,488,186,71,115
131,Westchester County (Southeast) PUMA,3552,2073,1104,969,1066,373,693,413,245,168
132,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",1530,524,239,285,762,393,369,244,115,129
133,Suffolk County (South Central)--Brookhaven Town (South) PUMA,1642,619,279,340,747,445,302,276,164,112
134,Onondaga County (Central)--Syracuse City PUMA,1123,519,297,222,389,155,234,215,105,110
135,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,1831,453,199,254,1061,487,574,317,153,164
136,Suffolk County (Southwest)--Islip Town (South) PUMA,739,232,138,94,338,177,161,169,110,59
137,Niagara County (North & East) PUMA,196,69,41,28,127,75,52,0,0,0
138,NYC-Manhattan Community District 11--East Harlem PUMA,1739,1323,671,652,261,80,181,155,90,65
139,Broome (Outer West) & Tioga Counties PUMA,460,109,56,53,351,143,208,0,0,0
140,Albany County (East Central)--Albany City PUMA,771,401,176,225,305,139,166,65,65,0
141,Nassau County (West Central)--Hempstead Town (West Central) PUMA,1377,738,334,404,526,314,212,113,53,60
142,Nassau County (West Central)--North Hempstead Town (South) PUMA,2521,807,384,423,1236,563,673,478,281,197
143,Nassau County (Central)--Hempstead Town (Northeast) PUMA,2030,626,269,357,1190,670,520,214,69,145
144,Nassau County (Central)--Hempstead Town (East Central) PUMA,1644,826,411,415,728,340,388,90,61,29
145,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",107,43,27,16,39,21,18,25,9,16
146,Capital Region,8149,4162,2038,2124,3398,1613,1785,589,224,365
147,Central NY,5571,2814,1255,1559,2280,930,1350,477,263,214
148,Finger Lakes,9182,3851,2082,1769,4533,2300,2233,798,531,267
149,Long Island,45854,19400,9188,10212,21537,10329,11208,4917,2657,2260
150,Mid-Hudson,40528,19029,9213,9816,17222,8681,8541,4277,2195,2082
151,Mohawk Valley,3861,1041,420,621,2326,943,1383,494,313,181
152,New York City,271555,146114,68767,77347,105674,54012,51662,19767,10884,8883
153,North Country,2383,879,293,586,1116,541,575,388,280,108
154,Southern Tier,3765,1848,971,877,1711,816,895,206,125,81
155,Western NY,8122,3799,1875,1924,3717,2126,1591,606,317,289
