,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
44,Dutchess County (Southwest) PUMA,58182,30669,27513,47579,27040,20539,10603,3629,6974,22457,9667,12790,18740,8553,10187,3717,1114,2603,33516,19916,13600,27414,17681,9733,6102,2235,3867,2209,1086,1123,1425,806,619,784,280,504
45,Westchester County (Southeast) PUMA,30447,17318,13129,25507,15479,10028,4940,1839,3101,22885,12684,10201,19571,11749,7822,3314,935,2379,6988,4215,2773,5569,3518,2051,1419,697,722,574,419,155,367,212,155,207,207,0
46,Rockland County (North)--New City & Congers PUMA,31584,17400,14184,25974,15785,10189,5610,1615,3995,15844,6800,9044,13118,6572,6546,2726,228,2498,14344,9294,5050,11659,8016,3643,2685,1278,1407,1396,1306,90,1197,1197,0,199,109,90
47,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,31462,16037,15425,27511,14426,13085,3951,1611,2340,12700,7172,5528,11547,6801,4746,1153,371,782,17826,8226,9600,15028,6986,8042,2798,1240,1558,936,639,297,936,639,297,0,0,0
48,Suffolk County (Southwest)--Islip Town (South) PUMA,38077,19665,18412,31392,17405,13987,6685,2260,4425,17453,7680,9773,15652,7208,8444,1801,472,1329,20059,11812,8247,15553,10120,5433,4506,1692,2814,565,173,392,187,77,110,378,96,282
49,Erie County (West Central)--Buffalo City (East) PUMA,45673,22119,23554,34986,18312,16674,10687,3807,6880,9638,4093,5545,8230,3823,4407,1408,270,1138,31642,15271,16371,24198,12903,11295,7444,2368,5076,4393,2755,1638,2558,1586,972,1835,1169,666
50,Wayne & Seneca Counties PUMA,50118,27363,22755,41745,25086,16659,8373,2277,6096,12382,5470,6912,10175,5092,5083,2207,378,1829,34593,19731,14862,29155,18064,11091,5438,1667,3771,3143,2162,981,2415,1930,485,728,232,496
51,Monroe County (South) PUMA,61721,31482,30239,49152,26816,22336,12569,4666,7903,39349,18243,21106,31956,16147,15809,7393,2096,5297,21154,12542,8612,16286,10055,6231,4868,2487,2381,1218,697,521,910,614,296,308,83,225
52,Tompkins County PUMA,34182,16139,18043,27801,13825,13976,6381,2314,4067,20460,8821,11639,16929,7460,9469,3531,1361,2170,12558,6503,6055,10099,5703,4396,2459,800,1659,1164,815,349,773,662,111,391,153,238
53,Suffolk County (South Central)--Brookhaven Town (South) PUMA,46885,25755,21130,41273,23749,17524,5612,2006,3606,15411,6405,9006,13390,5518,7872,2021,887,1134,28795,16969,11826,25320,15966,9354,3475,1003,2472,2679,2381,298,2563,2265,298,116,116,0
54,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",42250,22166,20084,35258,19555,15703,6992,2611,4381,13018,6043,6975,10955,5201,5754,2063,842,1221,26682,14172,12510,22212,12662,9550,4470,1510,2960,2550,1951,599,2091,1692,399,459,259,200
55,NYC-Manhattan Community District 8--Upper East Side PUMA,77392,34035,43357,70657,32815,37842,6735,1220,5515,71744,31513,40231,65489,30309,35180,6255,1204,5051,5388,2373,3015,4908,2357,2551,480,16,464,260,149,111,260,149,111,0,0,0
56,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",65417,34405,31012,60145,32193,27952,5272,2212,3060,59618,30290,29328,55212,28582,26630,4406,1708,2698,5293,3841,1452,4470,3380,1090,823,461,362,506,274,232,463,231,232,43,43,0
57,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",47983,25415,22568,39384,20916,18468,8599,4499,4100,27137,11233,15904,23240,10252,12988,3897,981,2916,17947,12111,5836,13823,8977,4846,4124,3134,990,2899,2071,828,2321,1687,634,578,384,194
58,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,39001,17201,21800,32357,15165,17192,6644,2036,4608,18214,6276,11938,15661,5316,10345,2553,960,1593,19529,10051,9478,15757,9203,6554,3772,848,2924,1258,874,384,939,646,293,319,228,91
59,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",23830,10739,13091,19756,9619,10137,4074,1120,2954,8571,3572,4999,7007,3375,3632,1564,197,1367,13003,6156,6847,10672,5233,5439,2331,923,1408,2256,1011,1245,2077,1011,1066,179,0,179
60,Suffolk County (Central)--Islip Town (Northwest) PUMA,25706,14539,11167,21538,12327,9211,4168,2212,1956,7910,3700,4210,6837,3450,3387,1073,250,823,15238,8785,6453,12490,7119,5371,2748,1666,1082,2558,2054,504,2211,1758,453,347,296,51
61,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",27470,12575,14895,23391,11276,12115,4079,1299,2780,13313,5769,7544,11182,4567,6615,2131,1202,929,12315,5890,6425,10405,5831,4574,1910,59,1851,1842,916,926,1804,878,926,38,38,0
62,Saratoga County (South & Central) PUMA,46343,23827,22516,40934,22092,18842,5409,1735,3674,24635,12100,12535,21259,10939,10320,3376,1161,2215,20420,11099,9321,18481,10619,7862,1939,480,1459,1288,628,660,1194,534,660,94,94,0
63,Cattaraugus & Allegany Counties PUMA,44761,23367,21394,36381,20452,15929,8380,2915,5465,9967,4413,5554,8768,4190,4578,1199,223,976,31975,16767,15208,25403,14318,11085,6572,2449,4123,2819,2187,632,2210,1944,266,609,243,366
64,Genesee & Orleans Counties PUMA,41527,21872,19655,34556,19715,14841,6971,2157,4814,8091,3060,5031,6857,2759,4098,1234,301,933,30631,16894,13737,25715,15676,10039,4916,1218,3698,2805,1918,887,1984,1280,704,821,638,183
65,Cayuga & Onondaga (South) Counties PUMA,43044,21369,21675,34646,19061,15585,8398,2308,6090,14252,6169,8083,12161,5783,6378,2091,386,1705,26687,13950,12737,21074,12645,8429,5613,1305,4308,2105,1250,855,1411,633,778,694,617,77
66,Sullivan & Ulster (West) Counties PUMA,37101,18206,18895,29353,15644,13709,7748,2562,5186,12130,5942,6188,9681,4737,4944,2449,1205,1244,22323,10770,11553,17926,9578,8348,4397,1192,3205,2648,1494,1154,1746,1329,417,902,165,737
67,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",18987,8969,10018,14380,6461,7919,4607,2508,2099,3502,1152,2350,3090,1072,2018,412,80,332,13262,7005,6257,9393,4903,4490,3869,2102,1767,2223,812,1411,1897,486,1411,326,326,0
68,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,38171,19677,18494,32521,18495,14026,5650,1182,4468,15547,7515,8032,13589,7203,6386,1958,312,1646,21920,11777,10143,18407,10964,7443,3513,813,2700,704,385,319,525,328,197,179,57,122
69,NYC-Queens Community District 1--Astoria & Long Island City PUMA,55440,27715,27725,48312,24523,23789,7128,3192,3936,38452,17461,20991,35396,16423,18973,3056,1038,2018,15976,9730,6246,12096,7638,4458,3880,2092,1788,1012,524,488,820,462,358,192,62,130
70,Jefferson & Lewis Counties PUMA,51528,28918,22610,43857,27490,16367,7671,1428,6243,13275,6469,6806,11839,5926,5913,1436,543,893,36074,21126,14948,30376,20336,10040,5698,790,4908,2179,1323,856,1642,1228,414,537,95,442
71,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,33622,17925,15697,29877,17147,12730,3745,778,2967,18384,8562,9822,15917,8155,7762,2467,407,2060,13898,8643,5255,12852,8272,4580,1046,371,675,1340,720,620,1108,720,388,232,0,232
72,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,28442,11211,17231,23376,9162,14214,5066,2049,3017,9679,3062,6617,8767,2722,6045,912,340,572,17745,7356,10389,13591,5647,7944,4154,1709,2445,1018,793,225,1018,793,225,0,0,0
73,Orange County (Northeast)--Greater Newburgh City PUMA,40602,20368,20234,34213,18108,16105,6389,2260,4129,14590,6541,8049,12664,6219,6445,1926,322,1604,23975,12773,11202,19757,10963,8794,4218,1810,2408,2037,1054,983,1792,926,866,245,128,117
74,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",32711,16796,15915,28476,14648,13828,4235,2148,2087,10617,3887,6730,9628,3574,6054,989,313,676,19298,11239,8059,16849,9892,6957,2449,1347,1102,2796,1670,1126,1999,1182,817,797,488,309
75,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",45810,20546,25264,39357,17849,21508,6453,2697,3756,12560,3099,9461,10993,2662,8331,1567,437,1130,30080,15687,14393,25643,13665,11978,4437,2022,2415,3170,1760,1410,2721,1522,1199,449,238,211
76,Erie County (Central) PUMA,64406,32666,31740,54054,30122,23932,10352,2544,7808,22411,10777,11634,20133,10134,9999,2278,643,1635,39179,19959,19220,31904,18306,13598,7275,1653,5622,2816,1930,886,2017,1682,335,799,248,551
77,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",41801,21249,20552,36297,19007,17290,5504,2242,3262,17800,8185,9615,16357,7786,8571,1443,399,1044,21398,11248,10150,18172,9886,8286,3226,1362,1864,2603,1816,787,1768,1335,433,835,481,354
78,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",21414,11485,9929,17770,9867,7903,3644,1618,2026,11277,5108,6169,9622,4439,5183,1655,669,986,8655,5346,3309,7012,4588,2424,1643,758,885,1482,1031,451,1136,840,296,346,191,155
79,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",28893,13881,15012,23932,12454,11478,4961,1427,3534,15555,5961,9594,13038,5051,7987,2517,910,1607,10478,6397,4081,8551,5880,2671,1927,517,1410,2860,1523,1337,2343,1523,820,517,0,517
80,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,32185,14520,17665,27474,13006,14468,4711,1514,3197,10069,3511,6558,8263,3125,5138,1806,386,1420,19860,9837,10023,17571,8995,8576,2289,842,1447,2256,1172,1084,1640,886,754,616,286,330
81,Onondaga County (Central)--Syracuse City (Outer) PUMA,63069,32218,30851,53886,29185,24701,9183,3033,6150,30336,14338,15998,27262,13512,13750,3074,826,2248,29924,16173,13751,25061,14735,10326,4863,1438,3425,2809,1707,1102,1563,938,625,1246,769,477
82,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",57268,30860,26408,52724,29140,23584,4544,1720,2824,52807,27412,25395,48661,26090,22571,4146,1322,2824,3829,2816,1013,3653,2640,1013,176,176,0,632,632,0,410,410,0,222,222,0
83,"Chenango, Delaware & Broome (East) Counties PUMA",40781,21844,18937,33268,18989,14279,7513,2855,4658,8424,3780,4644,6790,3445,3345,1634,335,1299,28991,15888,13103,23923,13976,9947,5068,1912,3156,3366,2176,1190,2555,1568,987,811,608,203
84,Orange County (Northwest) PUMA,45392,24168,21224,36064,20679,15385,9328,3489,5839,11334,5006,6328,9115,4400,4715,2219,606,1613,32223,18023,14200,25266,15272,9994,6957,2751,4206,1835,1139,696,1683,1007,676,152,132,20
85,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,24928,12583,12345,21004,11147,9857,3924,1436,2488,15830,6871,8959,13937,6268,7669,1893,603,1290,7963,5055,2908,6270,4560,1710,1693,495,1198,1135,657,478,797,319,478,338,338,0
86,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,32288,16691,15597,26305,15245,11060,5983,1446,4537,21418,11145,10273,17772,10102,7670,3646,1043,2603,9934,5032,4902,8029,4719,3310,1905,313,1592,936,514,422,504,424,80,432,90,342
87,Dutchess County (North & East) PUMA,44412,23401,21011,38194,21089,17105,6218,2312,3906,21595,10149,11446,19056,9123,9933,2539,1026,1513,21411,12386,9025,18386,11401,6985,3025,985,2040,1406,866,540,752,565,187,654,301,353
88,Putnam County PUMA,38375,19720,18655,31129,18065,13064,7246,1655,5591,17228,8383,8845,15018,8103,6915,2210,280,1930,19937,10934,9003,15141,9647,5494,4796,1287,3509,1210,403,807,970,315,655,240,88,152
89,Albany County (Outside Albany City) PUMA,71533,35234,36299,62190,32525,29665,9343,2709,6634,33404,13950,19454,30347,13472,16875,3057,478,2579,35729,19528,16201,30203,17714,12489,5526,1814,3712,2400,1756,644,1640,1339,301,760,417,343
90,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",35644,17437,18207,30605,16212,14393,5039,1225,3814,12318,4304,8014,11122,3921,7201,1196,383,813,21914,12076,9838,18212,11234,6978,3702,842,2860,1412,1057,355,1271,1057,214,141,0,141
