,puma,BABS_FT_Work_Total,BABS_FT_Work_M,BABS_FT_Work_F,HS_FT_Work_Total,HS_FT_Work_M,HS_FT_Work_F,HSINC_FT_Work_Total,HSINC_FT_Work_M,HSINC_FT_Work_F
135,Monroe County (Central)--Rochester City (West) PUMA,47.25274725274725,47.25274725274725,#DIV/0!,100.0,#DIV/0!,100.0,100.0,100.0,100.0
136,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,100.0,100.0,#DIV/0!,89.66183574879227,86.79775280898876,91.16347569955818,100.0,100.0,#DIV/0!
137,Suffolk County (Central)--Islip Town (Northwest) PUMA,100.0,#DIV/0!,100.0,100.0,100.0,#DIV/0!,100.0,100.0,#DIV/0!
138,Putnam County PUMA,100.0,100.0,100.0,52.06489675516224,82.4766355140187,0.0,#DIV/0!,#DIV/0!,#DIV/0!
139,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,94.83944954128441,100.0,86.67324777887463,79.35855263157895,100.0,63.78066378066378,33.13953488372093,38.42696629213483,0.0
140,Nassau County (Central)--Hempstead Town (East Central) PUMA,100.0,100.0,100.0,60.40268456375839,60.40268456375839,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
141,Suffolk County (Northwest)--Huntington Town (South) PUMA,56.698564593301434,100.0,0.0,80.0,100.0,47.95918367346938,#DIV/0!,#DIV/0!,#DIV/0!
142,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
143,Nassau County (Central)--Hempstead Town (Northeast) PUMA,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,#DIV/0!
144,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,88.14575645756457,100.0,78.68988391376452,79.14814814814815,87.66592920353983,61.88340807174888,27.027027027027028,0.0,43.01075268817204
145,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",100.0,100.0,100.0,84.31372549019608,89.80582524271846,61.224489795918366,66.10455311973018,100.0,0.0
146,Capital Region,88.12805691418409,92.69056735120084,80.06153846153846,93.3933933933934,93.57257632565613,93.09734513274336,58.12500000000001,0.0,100.0
147,Central NY,74.49526163988463,68.52540272614623,86.34686346863468,76.03569152326322,72.78225806451613,81.62911611785096,13.36405529953917,0.0,100.0
148,Finger Lakes,83.57988165680473,76.67191188040913,91.59817351598174,76.76276484890587,75.03201024327785,78.81548974943053,100.0,100.0,100.0
149,Long Island,80.20489790190162,89.26504629629629,71.67188990325657,81.27732370271812,89.70403022670025,68.44124700239809,79.8352435530086,94.1443486155243,26.31578947368421
150,Mid-Hudson,87.81335650778796,89.25251496243473,86.22291021671826,71.80262634301631,81.34708087841457,57.81832450461055,79.11445279866332,98.80404783808648,48.90613973182781
151,Mohawk Valley,96.83794466403161,88.88888888888889,100.0,61.38044371405095,100.0,47.95127353266888,46.984924623115575,35.07692307692308,100.0
152,New York City,89.20152152669536,93.3006428758856,85.22443394274985,81.91489361702128,87.55270238776245,74.5598275242544,69.64943290617175,74.41453272050776,59.84234234234235
153,North Country,72.31404958677686,100.0,66.33165829145729,60.256410256410255,86.45833333333334,18.333333333333332,100.0,100.0,100.0
154,Southern Tier,85.17089305402425,100.0,69.08045977011494,74.51096621221103,67.2665916760405,82.58145363408521,100.0,100.0,#DIV/0!
155,Western NY,77.2705196697426,81.71404327535002,71.32311186825667,86.69678714859438,91.24958568114022,72.49224405377456,65.42372881355932,100.0,0.0
