,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NRB_mf_t,Total_NRB_m,Total_NRB_f,Total_RB_mf_t,Total_RB_m,Total_RB_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NRB_mf_t,BABS_NRB_m,BABS_NRB_f,BABS_RB_mf_t,BABS_RB_m,BABS_RB_f,Total_HS,Total_HS_m,Total_HS_f,HS_NRB_mf_t,HS_NRB_m,HS_NRB_f,HS_RB_mf_t,HS_RB_m,HS_RB_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NRB_mf_t,HSINC_NRB_m,HSINC_NRB_f,HSINC_RB_mf_t,HSINC_RB_m,HSINC_RB_f
62,Warren & Washington Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Orange County (Northeast)--Greater Newburgh City PUMA,1368.0,497.0,871.0,1146.0,497.0,649.0,222.0,0.0,222.0,66.0,0.0,66.0,66.0,0.0,66.0,0.0,0.0,0.0,692.0,202.0,490.0,470.0,202.0,268.0,222.0,0.0,222.0,610.0,295.0,315.0,610.0,295.0,315.0,0.0,0.0,0.0
64,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",1503.0,662.0,841.0,635.0,235.0,400.0,868.0,427.0,441.0,333.0,195.0,138.0,189.0,51.0,138.0,144.0,144.0,0.0,574.0,184.0,390.0,446.0,184.0,262.0,128.0,0.0,128.0,596.0,283.0,313.0,0.0,0.0,0.0,596.0,283.0,313.0
65,Fulton & Montgomery Counties PUMA,185.0,90.0,95.0,185.0,90.0,95.0,0.0,0.0,0.0,185.0,90.0,95.0,185.0,90.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,9408.0,4756.0,4652.0,6341.0,3291.0,3050.0,3067.0,1465.0,1602.0,4609.0,2002.0,2607.0,3443.0,1429.0,2014.0,1166.0,573.0,593.0,3191.0,1499.0,1692.0,1907.0,1118.0,789.0,1284.0,381.0,903.0,1608.0,1255.0,353.0,991.0,744.0,247.0,617.0,511.0,106.0
67,Monroe County (Central)--Rochester City (East) PUMA,959.0,168.0,791.0,752.0,124.0,628.0,207.0,44.0,163.0,72.0,0.0,72.0,31.0,0.0,31.0,41.0,0.0,41.0,887.0,168.0,719.0,721.0,124.0,597.0,166.0,44.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Chautauqua County PUMA,61.0,61.0,0.0,61.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,61.0,0.0,61.0,61.0,0.0,0.0,0.0,0.0
69,Nassau County (Northwest)--North Hempstead Town (North) PUMA,2758.0,1885.0,873.0,2758.0,1885.0,873.0,0.0,0.0,0.0,1052.0,736.0,316.0,1052.0,736.0,316.0,0.0,0.0,0.0,1706.0,1149.0,557.0,1706.0,1149.0,557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,"Clinton, Franklin, Essex & Hamilton Counties PUMA",191.0,103.0,88.0,191.0,103.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,103.0,88.0,191.0,103.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,8234.0,4183.0,4051.0,7277.0,3512.0,3765.0,957.0,671.0,286.0,4233.0,1879.0,2354.0,3554.0,1455.0,2099.0,679.0,424.0,255.0,3882.0,2251.0,1631.0,3657.0,2057.0,1600.0,225.0,194.0,31.0,119.0,53.0,66.0,66.0,0.0,66.0,53.0,53.0,0.0
