,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
34,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,4337,2179,2158,68496.905695181,48095,89096,2359,649,1710,99577.25307333616,87208,104271,1767,1530,237,30935.676287492926,31504,27264,211,0,211,35568.72037914692,0,35568
35,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",37,37,0,25000.0,25000,0,0,0,0,#DIV/0!,0,0,37,37,0,25000.0,25000,0,0,0,0,#DIV/0!,0,0
36,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,3838,1849,1989,59172.36842105263,56108,62020,1462,395,1067,89638.64569083447,116126,79832,1905,1160,745,44585.1968503937,44427,44830,471,294,177,23603.07855626327,21557,27000
37,Suffolk County (Northwest)--Huntington Town (North) PUMA,3944,2925,1019,38895.70486815416,38655,39583,1036,910,126,49807.43243243243,46734,72000,1348,547,801,45583.086053412466,59078,36367,1560,1468,92,25870.615384615383,26038,23195
38,Erie County (Northeast) PUMA,298,209,89,69093.95973154363,55933,100000,298,209,89,69093.95973154363,55933,100000,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,0,0
39,Monroe County (North & West) PUMA,385,163,222,95174.02597402598,60000,121000,222,0,222,121000.0,0,121000,163,163,0,60000.0,60000,0,0,0,0,#DIV/0!,0,0
40,Oneida County (Central)--Greater Utica & Rome Cities PUMA,1518,1083,435,35278.07641633729,38025,28439,309,309,0,76311.06796116506,76311,0,712,454,258,25896.067415730337,21537,33565,497,320,177,23207.24346076459,24446,20966
41,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",4297,3277,1020,39921.400977426114,41084,36184,1880,1522,358,51756.48936170213,49716,60428,1603,941,662,33797.916406737364,41342,23073,814,814,0,24646.191646191644,24646,0
42,Erie County (West Central)--Buffalo City (East) PUMA,203,0,203,27382.758620689656,0,27382,73,0,73,37100.0,0,37100,48,0,48,30000.0,0,30000,82,0,82,17200.0,0,17200
43,Suffolk County (Northwest)--Smithtown Town PUMA,1503,479,1024,80228.07717897538,86937,77089,640,411,229,79038.75,81467,74680,863,68,795,81110.0811123986,120000,77783,0,0,0,#DIV/0!,0,0
44,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,5244,3147,2097,82613.42105263157,93011,67009,2863,1503,1360,113538.3793223891,141265,82895,1236,636,600,61524.91909385113,79425,42550,1145,1008,137,28052.052401746725,29631,16427
45,NYC-Manhattan Community District 8--Upper East Side PUMA,7626,4395,3231,128715.60280618936,148050,102415,7032,3958,3074,134686.3462741752,158860,103560,594,437,157,58031.64983164983,50139,80000,0,0,0,#DIV/0!,0,0
46,Suffolk County (Southwest)--Islip Town (South) PUMA,3116,2029,1087,47010.04492939666,52202,37317,876,614,262,64597.03196347032,68180,56198,1504,840,664,40462.16755319149,44827,34939,736,575,161,39458.15217391304,45914,16400
47,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",2146,853,1293,91250.89468779124,68217,106446,1801,508,1293,103645.43031649083,96516,106446,188,188,0,32851.063829787236,32851,0,157,157,0,19000.0,19000,0
48,Erie County (South) PUMA,362,333,29,25814.723756906078,25435,30170,29,0,29,30170.0,0,30170,333,333,0,25435.435435435436,25435,0,0,0,0,#DIV/0!,0,0
49,Albany County (Outside Albany City) PUMA,3356,2737,619,83046.45411203815,90276,51076,2894,2473,421,90244.95507947478,94852,63178,462,264,198,37954.545454545456,47412,25344,0,0,0,#DIV/0!,0,0
50,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,6030,3418,2612,51526.79933665008,57035,44317,2269,1210,1059,76995.06390480387,90311,61779,3319,2095,1224,37463.03103344381,38465,35746,442,113,329,26391.402714932126,45000,20000
51,Erie County (North Central) PUMA,1824,1091,733,120131.69956140351,129327,106445,1561,1025,536,137882.9083920564,135594,142259,66,66,0,32000.0,32000,0,197,0,197,9000.0,0,9000
52,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",2410,1759,651,65504.80497925311,65091,66620,926,656,270,101168.59611231102,104366,93398,1228,914,314,45399.64169381108,41217,57574,256,189,67,32944.140625,44232,1100
53,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",18623,9282,9341,31699.249691242014,33513,29896,3839,1586,2253,37335.71242511071,31209,41648,11364,5559,5805,31301.827437522,38312,24588,3420,2137,1283,26692.795321637426,22741,33274
54,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,6278,2784,3494,103324.49187639376,132194,80320,4798,2302,2496,112972.52188411838,145217,83233,1480,482,998,72046.62162162163,70000,73035,0,0,0,#DIV/0!,0,0
55,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",9630,4768,4862,52293.172377985466,54696,49936,3460,1275,2185,67812.54335260116,75011,63611,4954,2767,2187,45047.91077916835,50405,38269,1216,726,490,37651.72697368421,35374,41025
56,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",5097,2737,2360,47797.72415146165,50841,44267,2501,1323,1178,58758.480607756894,62622,54419,2059,1051,1008,38767.479358912096,42621,34749,537,363,174,31373.92923649907,31709,30674
57,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",13410,8093,5317,38308.60178970917,37259,39906,5031,2979,2052,48158.757702246075,42715,56061,5789,3658,2131,35752.565209880806,36140,35086,2590,1456,1134,24888.04633204633,28905,19729
58,Suffolk County (North Central)--Brookhaven Town (North) PUMA,1139,856,283,125035.3643546971,137362,87750,864,581,283,118978.33333333333,134189,87750,275,275,0,144065.45454545456,144065,0,0,0,0,#DIV/0!,0,0
59,Albany County (East Central)--Albany City PUMA,361,247,114,40496.95290858726,37137,47775,236,178,58,53559.32203389831,44943,80000,56,0,56,14400.0,0,14400,69,69,0,17000.0,17000,0
60,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,5544,2792,2752,100152.09108946609,74742,125930,3388,1562,1826,141160.94126328218,102378,174336,1637,851,786,36082.07941356139,42987,28605,519,379,140,34534.79768786127,32146,41000
