,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NRB_mf_t,Total_NRB_m,Total_NRB_f,Total_RB_mf_t,Total_RB_m,Total_RB_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NRB_mf_t,BABS_NRB_m,BABS_NRB_f,BABS_RB_mf_t,BABS_RB_m,BABS_RB_f,Total_HS,Total_HS_m,Total_HS_f,HS_NRB_mf_t,HS_NRB_m,HS_NRB_f,HS_RB_mf_t,HS_RB_m,HS_RB_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NRB_mf_t,HSINC_NRB_m,HSINC_NRB_f,HSINC_RB_mf_t,HSINC_RB_m,HSINC_RB_f
57,Erie County (South) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,61.0,0.0,61.0,0.0,0.0,0.0,61.0,0.0,61.0,61.0,0.0,61.0,0.0,0.0,0.0,61.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",20407.0,11421.0,8986.0,17473.0,10216.0,7257.0,2934.0,1205.0,1729.0,2150.0,809.0,1341.0,2150.0,809.0,1341.0,0.0,0.0,0.0,12560.0,6510.0,6050.0,10351.0,5679.0,4672.0,2209.0,831.0,1378.0,5697.0,4102.0,1595.0,4972.0,3728.0,1244.0,725.0,374.0,351.0
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,893.0,437.0,456.0,735.0,437.0,298.0,158.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.0,0.0,456.0,298.0,0.0,298.0,158.0,0.0,158.0,437.0,437.0,0.0,437.0,437.0,0.0,0.0,0.0,0.0
61,NYC-Manhattan Community District 10--Central Harlem PUMA,2266.0,491.0,1775.0,2028.0,491.0,1537.0,238.0,0.0,238.0,525.0,0.0,525.0,455.0,0.0,455.0,70.0,0.0,70.0,1036.0,248.0,788.0,868.0,248.0,620.0,168.0,0.0,168.0,705.0,243.0,462.0,705.0,243.0,462.0,0.0,0.0,0.0
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,507.0,123.0,384.0,186.0,0.0,186.0,321.0,123.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0,123.0,198.0,0.0,0.0,0.0,321.0,123.0,198.0,186.0,0.0,186.0,186.0,0.0,186.0,0.0,0.0,0.0
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,1587.0,170.0,1417.0,1399.0,170.0,1229.0,188.0,0.0,188.0,197.0,0.0,197.0,137.0,0.0,137.0,60.0,0.0,60.0,891.0,0.0,891.0,763.0,0.0,763.0,128.0,0.0,128.0,499.0,170.0,329.0,499.0,170.0,329.0,0.0,0.0,0.0
64,Albany County (East Central)--Albany City PUMA,418.0,0.0,418.0,418.0,0.0,418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.0,0.0,418.0,418.0,0.0,418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,348.0,128.0,220.0,0.0,0.0,0.0,348.0,128.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.0,128.0,220.0,0.0,0.0,0.0,348.0,128.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
