,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
83,Niagara County (North & East) PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Monroe County (Central)--Rochester City (East) PUMA,180,180,0,62,62,0,118,118,0,0,0,0,0,0,0,0,0,0,180,180,0,62,62,0,118,118,0,0,0,0,0,0,0,0,0,0
85,Warren & Washington Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,1000,917,83,1000,917,83,0,0,0,2,0,2,2,0,2,0,0,0,688,607,81,688,607,81,0,0,0,310,310,0,310,310,0,0,0,0
87,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,1339,156,1183,1259,76,1183,80,80,0,886,76,810,886,76,810,0,0,0,453,80,373,373,0,373,80,80,0,0,0,0,0,0,0,0,0,0
88,Onondaga County (Central)--Syracuse City PUMA,210,32,178,210,32,178,0,0,0,0,0,0,0,0,0,0,0,0,140,0,140,140,0,140,0,0,0,70,32,38,70,32,38,0,0,0
89,Westchester County (Central)--White Plains City PUMA,1104,440,664,1104,440,664,0,0,0,212,0,212,212,0,212,0,0,0,498,208,290,498,208,290,0,0,0,394,232,162,394,232,162,0,0,0
90,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,1753,601,1152,1590,601,989,163,0,163,235,0,235,235,0,235,0,0,0,1038,284,754,1038,284,754,0,0,0,480,317,163,317,317,0,163,0,163
91,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",6551,3742,2809,6356,3742,2614,195,0,195,1788,622,1166,1593,622,971,195,0,195,3292,2060,1232,3292,2060,1232,0,0,0,1471,1060,411,1471,1060,411,0,0,0
92,Cattaraugus & Allegany Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
