,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,1838,1286,552,1779,1227,552,59,59,0,0,0,0,0,0,0,0,0,0,1491,939,552,1432,880,552,59,59,0,347,347,0,347,347,0,0,0,0
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",8458,4537,3921,6978,4063,2915,1480,474,1006,1589,558,1031,1553,558,995,36,0,36,5377,3100,2277,4403,2626,1777,974,474,500,1492,879,613,1022,879,143,470,0,470
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",7335,3525,3810,5646,3018,2628,1689,507,1182,1589,579,1010,1376,366,1010,213,213,0,3712,1855,1857,2849,1642,1207,863,213,650,2034,1091,943,1421,1010,411,613,81,532
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",5510,2238,3272,4478,2238,2240,1032,0,1032,1119,230,889,1012,230,782,107,0,107,3413,1487,1926,2945,1487,1458,468,0,468,978,521,457,521,521,0,457,0,457
70,Erie County (Northeast) PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,NYC-Manhattan Community District 11--East Harlem PUMA,2625,1003,1622,1619,1003,616,1006,0,1006,517,0,517,517,0,517,0,0,0,1374,495,879,594,495,99,780,0,780,734,508,226,508,508,0,226,0,226
72,Orange County (Southeast) PUMA,1058,635,423,621,198,423,437,437,0,347,0,347,347,0,347,0,0,0,561,485,76,274,198,76,287,287,0,150,150,0,0,0,0,150,150,0
73,Westchester County (Southeast) PUMA,4245,2581,1664,3808,2425,1383,437,156,281,991,241,750,828,241,587,163,0,163,1351,555,796,1265,469,796,86,86,0,1903,1785,118,1715,1715,0,188,70,118
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,4292,2770,1522,3450,2636,814,842,134,708,1173,854,319,734,720,14,439,134,305,1911,1151,760,1869,1151,718,42,0,42,1208,765,443,847,765,82,361,0,361
75,Livingston & Wyoming Counties PUMA,137,137,0,137,137,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,0,31,31,0,0,0,0,106,106,0,106,106,0,0,0,0
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,520,333,187,367,256,111,153,77,76,0,0,0,0,0,0,0,0,0,332,256,76,256,256,0,76,0,76,188,77,111,111,0,111,77,77,0
77,Westchester County (Southwest)--Yonkers City PUMA,6377,3674,2703,5459,3222,2237,918,452,466,579,327,252,579,327,252,0,0,0,4574,2586,1988,3919,2324,1595,655,262,393,1224,761,463,961,571,390,263,190,73
78,Erie County (North Central) PUMA,121,0,121,121,0,121,0,0,0,0,0,0,0,0,0,0,0,0,121,0,121,121,0,121,0,0,0,0,0,0,0,0,0,0,0,0
79,Saratoga County (South & Central) PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Suffolk County (South Central)--Brookhaven Town (South) PUMA,351,231,120,351,231,120,0,0,0,0,0,0,0,0,0,0,0,0,351,231,120,351,231,120,0,0,0,0,0,0,0,0,0,0,0,0
81,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",217,217,0,89,89,0,128,128,0,0,0,0,0,0,0,0,0,0,217,217,0,89,89,0,128,128,0,0,0,0,0,0,0,0,0,0
82,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,107,107,0,107,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,107,0,107,107,0,0,0,0
83,Niagara County (North & East) PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
