,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
43,Chautauqua County PUMA,198,0,198,38686.868686868685,0.0,38686.868686868685,86,0,86,50000.0,0.0,50000.0,112,0,112,30000.0,0.0,30000.0,0,0,0,#DIV/0!,0.0,0.0
44,Dutchess County (Southwest) PUMA,2881,1683,1198,47058.72960777508,42928.46108140226,52861.10183639399,644,118,526,54476.70807453416,65000.0,52115.96958174905,2237,1565,672,44923.20071524363,41264.281150159746,53444.34523809524,0,0,0,#DIV/0!,0.0,0.0
45,Westchester County (Southeast) PUMA,658,464,194,88235.5623100304,87519.39655172414,89948.45360824742,247,145,102,161417.004048583,180000.0,135000.0,411,319,92,44255.47445255474,45482.75862068965,40000.0,0,0,0,#DIV/0!,0.0,0.0
46,Rockland County (North)--New City & Congers PUMA,2309,1871,438,45262.71546123863,44456.23196151791,48707.76255707763,93,93,0,77150.0,77150.0,0.0,1638,1200,438,53425.31135531136,55147.21666666667,48707.76255707763,578,578,0,17000.0,17000.0,0.0
47,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,2214,1054,1160,70784.91418247516,95296.96394686907,48512.75862068965,617,277,340,68654.45705024312,88480.14440433212,52502.35294117647,1488,777,711,72092.06989247311,97727.15572715572,44077.35583684951,109,0,109,65000.0,0.0,65000.0
48,Suffolk County (Southwest)--Islip Town (South) PUMA,2050,1307,743,90578.29268292683,102888.29380260137,68923.95693135935,730,172,558,72363.69863013699,75000.0,71551.0752688172,1320,1135,185,100651.51515151515,107114.53744493391,61000.0,0,0,0,#DIV/0!,0.0,0.0
49,Erie County (West Central)--Buffalo City (East) PUMA,1917,1306,611,28893.21857068336,32788.13169984686,20567.921440261867,108,108,0,58000.0,58000.0,0.0,1809,1198,611,27155.5002763958,30515.2754590985,20567.921440261867,0,0,0,#DIV/0!,0.0,0.0
50,Wayne & Seneca Counties PUMA,493,339,154,47150.50709939148,43130.383480825956,56000.0,0,0,0,#DIV/0!,0.0,0.0,493,339,154,47150.50709939148,43130.383480825956,56000.0,0,0,0,#DIV/0!,0.0,0.0
51,Monroe County (South) PUMA,443,381,62,91823.92776523702,87238.84514435695,120000.0,216,154,62,112351.85185185185,109272.72727272728,120000.0,227,227,0,72290.74889867842,72290.74889867842,0.0,0,0,0,#DIV/0!,0.0,0.0
52,Tompkins County PUMA,44,44,0,88000.0,88000.0,0.0,0,0,0,#DIV/0!,0.0,0.0,44,44,0,88000.0,88000.0,0.0,0,0,0,#DIV/0!,0.0,0.0
