,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
63,Cattaraugus & Allegany Counties PUMA,88,65,23,88,65,23,0,0,0,0,0,0,0,0,0,0,0,0,55,32,23,55,32,23,0,0,0,33,33,0,33,33,0,0,0,0
64,Genesee & Orleans Counties PUMA,137,0,137,137,0,137,0,0,0,83,0,83,83,0,83,0,0,0,54,0,54,54,0,54,0,0,0,0,0,0,0,0,0,0,0,0
65,Cayuga & Onondaga (South) Counties PUMA,207,80,127,118,0,118,89,80,9,0,0,0,0,0,0,0,0,0,207,80,127,118,0,118,89,80,9,0,0,0,0,0,0,0,0,0
66,Sullivan & Ulster (West) Counties PUMA,1696,1081,615,1589,1081,508,107,0,107,138,138,0,138,138,0,0,0,0,1456,841,615,1349,841,508,107,0,107,102,102,0,102,102,0,0,0,0
67,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",5260,3025,2235,4118,2529,1589,1142,496,646,486,109,377,486,109,377,0,0,0,4328,2571,1757,3385,2274,1111,943,297,646,446,345,101,247,146,101,199,199,0
68,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,1692,905,787,1632,905,727,60,0,60,805,331,474,805,331,474,0,0,0,887,574,313,827,574,253,60,0,60,0,0,0,0,0,0,0,0,0
69,NYC-Queens Community District 1--Astoria & Long Island City PUMA,3899,2241,1658,3036,1987,1049,863,254,609,1853,844,1009,1641,802,839,212,42,170,1818,1169,649,1167,957,210,651,212,439,228,228,0,228,228,0,0,0,0
70,Jefferson & Lewis Counties PUMA,1017,853,164,992,828,164,25,25,0,214,214,0,214,214,0,0,0,0,803,639,164,778,614,164,25,25,0,0,0,0,0,0,0,0,0,0
71,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,1371,680,691,1147,536,611,224,144,80,467,176,291,387,176,211,80,0,80,796,504,292,652,360,292,144,144,0,108,0,108,108,0,108,0,0,0
72,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,721,302,419,674,302,372,47,0,47,196,0,196,149,0,149,47,0,47,358,135,223,358,135,223,0,0,0,167,167,0,167,167,0,0,0,0
