,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
63,Cattaraugus & Allegany Counties PUMA,97,65,32,76,53,23,21,12,9,0,0,0,0,0,0,0,0,0,55,32,23,55,32,23,0,0,0,42,33,9,21,21,0,21,12,9
64,Genesee & Orleans Counties PUMA,811,81,730,601,0,601,210,81,129,83,0,83,83,0,83,0,0,0,728,81,647,518,0,518,210,81,129,0,0,0,0,0,0,0,0,0
65,Cayuga & Onondaga (South) Counties PUMA,173,46,127,127,0,127,46,46,0,0,0,0,0,0,0,0,0,0,173,46,127,127,0,127,46,46,0,0,0,0,0,0,0,0,0,0
66,Sullivan & Ulster (West) Counties PUMA,1894,1115,779,1693,1081,612,201,34,167,138,138,0,138,138,0,0,0,0,1620,841,779,1453,841,612,167,0,167,136,136,0,102,102,0,34,34,0
67,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",7978,4510,3468,5537,3185,2352,2441,1325,1116,590,213,377,590,213,377,0,0,0,6049,3518,2531,4283,2409,1874,1766,1109,657,1339,779,560,664,563,101,675,216,459
68,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,2045,1123,922,2037,1115,922,8,8,0,940,331,609,940,331,609,0,0,0,986,673,313,986,673,313,0,0,0,119,119,0,111,111,0,8,8,0
69,NYC-Queens Community District 1--Astoria & Long Island City PUMA,5065,2619,2446,4052,2196,1856,1013,423,590,1974,844,1130,1551,707,844,423,137,286,2685,1369,1316,2273,1261,1012,412,108,304,406,406,0,228,228,0,178,178,0
70,Jefferson & Lewis Counties PUMA,1249,853,396,1042,813,229,207,40,167,279,214,65,279,214,65,0,0,0,803,639,164,763,599,164,40,40,0,167,0,167,0,0,0,167,0,167
71,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,1730,818,912,1385,473,912,345,345,0,729,314,415,591,176,415,138,138,0,893,504,389,686,297,389,207,207,0,108,0,108,108,0,108,0,0,0
72,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,1240,698,542,1185,698,487,55,0,55,359,95,264,359,95,264,0,0,0,714,436,278,659,436,223,55,0,55,167,167,0,167,167,0,0,0,0
73,Orange County (Northeast)--Greater Newburgh City PUMA,3921,1904,2017,3364,1863,1501,557,41,516,506,275,231,465,234,231,41,41,0,2683,1349,1334,2619,1349,1270,64,0,64,732,280,452,280,280,0,452,0,452
74,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",13555,8203,5352,10722,6645,4077,2833,1558,1275,1601,581,1020,1544,581,963,57,0,57,9645,6462,3183,8048,5316,2732,1597,1146,451,2309,1160,1149,1130,748,382,1179,412,767
75,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",3304,1816,1488,1923,757,1166,1381,1059,322,286,78,208,286,78,208,0,0,0,2090,1140,950,1566,679,887,524,461,63,928,598,330,71,0,71,857,598,259
76,Erie County (Central) PUMA,653,493,160,409,249,160,244,244,0,189,127,62,111,49,62,78,78,0,259,259,0,200,200,0,59,59,0,205,107,98,98,0,98,107,107,0
77,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",7607,5223,2384,6432,4386,2046,1175,837,338,1467,793,674,1269,688,581,198,105,93,5281,3729,1552,4943,3478,1465,338,251,87,859,701,158,220,220,0,639,481,158
78,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",1782,929,853,923,484,439,859,445,414,591,360,231,552,360,192,39,0,39,921,299,622,371,124,247,550,175,375,270,270,0,0,0,0,270,270,0
79,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",4226,2014,2212,3094,1388,1706,1132,626,506,1502,531,971,1415,444,971,87,87,0,2209,1123,1086,1370,781,589,839,342,497,515,360,155,309,163,146,206,197,9
80,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,5766,2547,3219,3341,1724,1617,2425,823,1602,888,521,367,649,282,367,239,239,0,2938,1024,1914,2197,947,1250,741,77,664,1940,1002,938,495,495,0,1445,507,938
81,Onondaga County (Central)--Syracuse City (Outer) PUMA,767,545,222,635,413,222,132,132,0,124,124,0,124,124,0,0,0,0,511,289,222,511,289,222,0,0,0,132,132,0,0,0,0,132,132,0
82,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",820,559,261,530,364,166,290,195,95,625,364,261,530,364,166,95,0,95,195,195,0,0,0,0,195,195,0,0,0,0,0,0,0,0,0,0
83,"Chenango, Delaware & Broome (East) Counties PUMA",762,595,167,579,523,56,183,72,111,302,295,7,302,295,7,0,0,0,460,300,160,277,228,49,183,72,111,0,0,0,0,0,0,0,0,0
84,Orange County (Northwest) PUMA,4723,2833,1890,3610,2053,1557,1113,780,333,595,173,422,595,173,422,0,0,0,3252,1819,1433,2840,1740,1100,412,79,333,876,841,35,175,140,35,701,701,0
