,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",9754,4397,5357,9255,4257,4998,499,140,359,7272,3690,3582,6938,3550,3388,334,140,194,2427,707,1720,2262,707,1555,165,0,165,55,0,55,55,0,55,0,0,0
70,Erie County (Northeast) PUMA,44999,23839,21160,44560,23495,21065,439,344,95,20543,9678,10865,20421,9556,10865,122,122,0,23455,13160,10295,23138,12938,10200,317,222,95,1001,1001,0,1001,1001,0,0,0,0
71,NYC-Manhattan Community District 11--East Harlem PUMA,7286,4074,3212,6929,4074,2855,357,0,357,5942,3570,2372,5942,3570,2372,0,0,0,1268,428,840,911,428,483,357,0,357,76,76,0,76,76,0,0,0,0
72,Orange County (Southeast) PUMA,31418,17387,14031,30401,16796,13605,1017,591,426,14286,7256,7030,14180,7207,6973,106,49,57,15688,8915,6773,14777,8373,6404,911,542,369,1444,1216,228,1444,1216,228,0,0,0
73,Westchester County (Southeast) PUMA,23745,13409,10336,22307,12537,9770,1438,872,566,17382,9366,8016,16605,9155,7450,777,211,566,5612,3292,2320,5350,3030,2320,262,262,0,751,751,0,352,352,0,399,399,0
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,35147,19658,15489,33482,18440,15042,1665,1218,447,26418,14695,11723,25376,13866,11510,1042,829,213,8103,4607,3496,7540,4278,3262,563,329,234,626,356,270,566,296,270,60,60,0
75,Livingston & Wyoming Counties PUMA,37226,19127,18099,35720,18287,17433,1506,840,666,8118,3266,4852,7967,3209,4758,151,57,94,26441,14527,11914,25122,13780,11342,1319,747,572,2667,1334,1333,2631,1298,1333,36,36,0
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,42723,21290,21433,40831,19876,20955,1892,1414,478,13852,5833,8019,13697,5741,7956,155,92,63,28281,15146,13135,26544,13824,12720,1737,1322,415,590,311,279,590,311,279,0,0,0
77,Westchester County (Southwest)--Yonkers City PUMA,23456,11115,12341,22434,10447,11987,1022,668,354,12664,4893,7771,12195,4708,7487,469,185,284,10160,5917,4243,9830,5587,4243,330,330,0,632,305,327,409,152,257,223,153,70
78,Erie County (North Central) PUMA,37954,18745,19209,37407,18544,18863,547,201,346,25500,13127,12373,24953,12926,12027,547,201,346,12218,5533,6685,12218,5533,6685,0,0,0,236,85,151,236,85,151,0,0,0
79,Saratoga County (South & Central) PUMA,42291,22662,19629,40637,21891,18746,1654,771,883,21606,10248,11358,21293,10182,11111,313,66,247,19673,11923,7750,18500,11386,7114,1173,537,636,1012,491,521,844,323,521,168,168,0
80,Suffolk County (South Central)--Brookhaven Town (South) PUMA,39559,19163,20396,38145,18338,19807,1414,825,589,12893,5276,7617,12893,5276,7617,0,0,0,24434,12571,11863,23751,12277,11474,683,294,389,2232,1316,916,1501,785,716,731,531,200
81,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",51042,25032,26010,48105,23359,24746,2937,1673,1264,19998,10015,9983,19264,9437,9827,734,578,156,30320,14347,15973,28185,13320,14865,2135,1027,1108,724,670,54,656,602,54,68,68,0
82,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,43881,22803,21078,42346,21783,20563,1535,1020,515,11708,5267,6441,11562,5164,6398,146,103,43,29433,15650,13783,28517,15206,13311,916,444,472,2740,1886,854,2267,1413,854,473,473,0
83,Niagara County (North & East) PUMA,41339,21452,19887,39464,20158,19306,1875,1294,581,12066,5285,6781,12066,5285,6781,0,0,0,27060,14936,12124,25445,13790,11655,1615,1146,469,2213,1231,982,1953,1083,870,260,148,112
84,Monroe County (Central)--Rochester City (East) PUMA,22041,12057,9984,20743,11296,9447,1298,761,537,10162,4948,5214,9733,4880,4853,429,68,361,11174,6491,4683,10478,5971,4507,696,520,176,705,618,87,532,445,87,173,173,0
85,Warren & Washington Counties PUMA,47812,25003,22809,45855,24001,21854,1957,1002,955,13263,4477,8786,13134,4430,8704,129,47,82,32032,18623,13409,30477,17941,12536,1555,682,873,2517,1903,614,2244,1630,614,273,273,0
86,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,29272,14944,14328,27555,14187,13368,1717,757,960,18514,9096,9418,17143,8563,8580,1371,533,838,10365,5584,4781,10019,5360,4659,346,224,122,393,264,129,393,264,129,0,0,0
87,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,16461,8591,7870,16210,8388,7822,251,203,48,14159,6731,7428,14028,6600,7428,131,131,0,2144,1702,442,2024,1630,394,120,72,48,158,158,0,158,158,0,0,0,0
88,Onondaga County (Central)--Syracuse City PUMA,26786,13815,12971,25857,13421,12436,929,394,535,13064,6224,6840,13064,6224,6840,0,0,0,11511,6367,5144,10866,6110,4756,645,257,388,2211,1224,987,1927,1087,840,284,137,147
89,Westchester County (Central)--White Plains City PUMA,36837,18527,18310,36005,18080,17925,832,447,385,29817,14803,15014,29216,14439,14777,601,364,237,6761,3570,3191,6530,3487,3043,231,83,148,259,154,105,259,154,105,0,0,0
