,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
57,Erie County (South) PUMA,86097,43381,42716,79402,39462,39940,6695,3919,2776,29840,13282,16558,29443,13028,16415,397,254,143,52750,27985,24765,47242,24786,22456,5508,3199,2309,3507,2114,1393,2717,1648,1069,790,466,324
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,57201,27876,29325,46705,23669,23036,10496,4207,6289,17519,8430,9089,15911,7470,8441,1608,960,648,35808,17525,18283,28969,14839,14130,6839,2686,4153,3874,1921,1953,1825,1360,465,2049,561,1488
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",28318,13116,15202,24853,11572,13281,3465,1544,1921,22795,10329,12466,20318,9117,11201,2477,1212,1265,4921,2384,2537,4143,2063,2080,778,321,457,602,403,199,392,392,0,210,11,199
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,8199,3810,4389,5724,2715,3009,2475,1095,1380,2845,1081,1764,2531,883,1648,314,198,116,3614,1692,1922,2580,1288,1292,1034,404,630,1740,1037,703,613,544,69,1127,493,634
61,NYC-Manhattan Community District 10--Central Harlem PUMA,11730,6038,5692,9567,4596,4971,2163,1442,721,9785,4853,4932,9028,4181,4847,757,672,85,1426,846,580,415,415,0,1011,431,580,519,339,180,124,0,124,395,339,56
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,26641,12879,13762,25549,12603,12946,1092,276,816,16064,7439,8625,15823,7364,8459,241,75,166,10204,5331,4873,9559,5130,4429,645,201,444,373,109,264,167,109,58,206,0,206
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,1380,706,674,536,392,144,844,314,530,255,81,174,134,81,53,121,0,121,905,516,389,351,311,40,554,205,349,220,109,111,51,0,51,169,109,60
64,Albany County (East Central)--Albany City PUMA,26253,13482,12771,21355,10720,10635,4898,2762,2136,13406,6557,6849,11949,5557,6392,1457,1000,457,11291,5718,5573,8895,4712,4183,2396,1006,1390,1556,1207,349,511,451,60,1045,756,289
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,22905,11792,11113,21309,11277,10032,1596,515,1081,11790,6245,5545,11444,6128,5316,346,117,229,10550,5336,5214,9768,5052,4716,782,284,498,565,211,354,97,97,0,468,114,354
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,45354,22094,23260,37954,18872,19082,7400,3222,4178,13332,5231,8101,12776,5068,7708,556,163,393,30062,15298,14764,24035,12837,11198,6027,2461,3566,1960,1565,395,1143,967,176,817,598,219
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",881,479,402,223,102,121,658,377,281,339,91,248,121,0,121,218,91,127,342,262,80,102,102,0,240,160,80,200,126,74,0,0,0,200,126,74
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",179,135,44,81,81,0,98,54,44,0,0,0,0,0,0,0,0,0,179,135,44,81,81,0,98,54,44,0,0,0,0,0,0,0,0,0
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",11483,5299,6184,10967,5145,5822,516,154,362,8050,4015,4035,7792,3933,3859,258,82,176,3208,1284,1924,2950,1212,1738,258,72,186,225,0,225,225,0,225,0,0,0
70,Erie County (Northeast) PUMA,53174,26540,26634,48965,24797,24168,4209,1743,2466,22992,10319,12673,21609,9633,11976,1383,686,697,28549,14915,13634,26068,13995,12073,2481,920,1561,1633,1306,327,1288,1169,119,345,137,208
71,NYC-Manhattan Community District 11--East Harlem PUMA,9051,4905,4146,7059,3889,3170,1992,1016,976,6953,3881,3072,6257,3570,2687,696,311,385,1913,943,970,802,319,483,1111,624,487,185,81,104,0,0,0,185,81,104
