,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
56,Oneida County (Central)--Greater Utica & Rome Cities PUMA,1857,881,976,1587,793,794,270,88,182,731,352,379,731,352,379,0,0,0,1062,529,533,792,441,351,270,88,182,64,0,64,64,0,64,0,0,0
57,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,1541,970,571,1316,970,346,225,0,225,370,152,218,201,152,49,169,0,169,1084,731,353,1028,731,297,56,0,56,87,87,0,87,87,0,0,0,0
58,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",6017,2206,3811,5853,2118,3735,164,88,76,5485,1674,3811,5321,1586,3735,164,88,76,532,532,0,532,532,0,0,0,0,0,0,0,0,0,0,0,0,0
59,NYC-Manhattan Community District 11--East Harlem PUMA,1977,1183,794,1900,1106,794,77,77,0,1105,874,231,1028,797,231,77,77,0,872,309,563,872,309,563,0,0,0,0,0,0,0,0,0,0,0,0
60,Schenectady County--Schenectady City PUMA,277,132,145,277,132,145,0,0,0,0,0,0,0,0,0,0,0,0,277,132,145,277,132,145,0,0,0,0,0,0,0,0,0,0,0,0
61,"Clinton, Franklin, Essex & Hamilton Counties PUMA",401,232,169,353,209,144,48,23,25,350,232,118,327,209,118,23,23,0,51,0,51,26,0,26,25,0,25,0,0,0,0,0,0,0,0,0
62,Onondaga County (Central)--Syracuse City (Outer) PUMA,966,400,566,839,400,439,127,0,127,576,286,290,525,286,239,51,0,51,334,114,220,258,114,144,76,0,76,56,0,56,56,0,56,0,0,0
63,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",1819,806,1013,1628,724,904,191,82,109,684,267,417,645,267,378,39,0,39,1021,495,526,939,413,526,82,82,0,114,44,70,44,44,0,70,0,70
64,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",8007,4241,3766,7261,3782,3479,746,459,287,4601,2518,2083,4121,2260,1861,480,258,222,2876,1723,1153,2610,1522,1088,266,201,65,530,0,530,530,0,530,0,0,0
65,Onondaga County (North) PUMA,674,74,600,490,0,490,184,74,110,131,0,131,131,0,131,0,0,0,477,74,403,293,0,293,184,74,110,66,0,66,66,0,66,0,0,0
66,Ulster County (East) PUMA,266,204,62,266,204,62,0,0,0,204,204,0,204,204,0,0,0,0,62,0,62,62,0,62,0,0,0,0,0,0,0,0,0,0,0,0
67,Oswego County PUMA,51,51,0,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,51,51,0,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Niagara County (North & East) PUMA,185,64,121,185,64,121,0,0,0,64,64,0,64,64,0,0,0,0,121,0,121,121,0,121,0,0,0,0,0,0,0,0,0,0,0,0
69,Broome (Outer West) & Tioga Counties PUMA,1012,677,335,414,195,219,598,482,116,404,195,209,299,195,104,105,0,105,608,482,126,115,0,115,493,482,11,0,0,0,0,0,0,0,0,0
70,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",120,120,0,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,120,0,120,120,0,0,0,0
71,Suffolk County (Southwest)--Islip Town (South) PUMA,527,275,252,473,221,252,54,54,0,115,54,61,61,0,61,54,54,0,412,221,191,412,221,191,0,0,0,0,0,0,0,0,0,0,0,0
72,Erie County (Central) PUMA,384,298,86,384,298,86,0,0,0,221,135,86,221,135,86,0,0,0,71,71,0,71,71,0,0,0,0,92,92,0,92,92,0,0,0,0
73,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",1083,523,560,811,393,418,272,130,142,772,212,560,630,212,418,142,0,142,130,130,0,0,0,0,130,130,0,181,181,0,181,181,0,0,0,0
74,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,516,355,161,431,355,76,85,0,85,516,355,161,431,355,76,85,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,1177,823,354,964,823,141,213,0,213,739,561,178,639,561,78,100,0,100,438,262,176,325,262,63,113,0,113,0,0,0,0,0,0,0,0,0
76,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",749,470,279,668,389,279,81,81,0,312,158,154,312,158,154,0,0,0,349,224,125,304,179,125,45,45,0,88,88,0,52,52,0,36,36,0
