,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
48,Suffolk County (Southwest)--Islip Town (South) PUMA,4998,2337,2661,3829,1963,1866,1169,374,795,2110,347,1763,1719,347,1372,391,0,391,2657,1990,667,2110,1616,494,547,374,173,231,0,231,0,0,0,231,0,231
49,Erie County (West Central)--Buffalo City (East) PUMA,3683,1622,2061,3316,1622,1694,367,0,367,495,108,387,495,108,387,0,0,0,2924,1514,1410,2557,1514,1043,367,0,367,264,0,264,264,0,264,0,0,0
50,Wayne & Seneca Counties PUMA,1206,1009,197,1007,810,197,199,199,0,170,170,0,170,170,0,0,0,0,721,524,197,721,524,197,0,0,0,315,315,0,116,116,0,199,199,0
51,Monroe County (South) PUMA,1255,589,666,1086,589,497,169,0,169,708,293,415,603,293,310,105,0,105,547,296,251,483,296,187,64,0,64,0,0,0,0,0,0,0,0,0
52,Tompkins County PUMA,1425,225,1200,1178,179,999,247,46,201,1045,46,999,999,0,999,46,46,0,380,179,201,179,179,0,201,0,201,0,0,0,0,0,0,0,0,0
53,Suffolk County (South Central)--Brookhaven Town (South) PUMA,6684,3777,2907,5705,3238,2467,979,539,440,1816,351,1465,1517,148,1369,299,203,96,4217,2822,1395,3537,2486,1051,680,336,344,651,604,47,651,604,47,0,0,0
54,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",991,704,287,929,662,267,62,42,20,155,39,116,155,39,116,0,0,0,369,198,171,338,187,151,31,11,20,467,467,0,436,436,0,31,31,0
55,NYC-Manhattan Community District 8--Upper East Side PUMA,2967,2602,365,2967,2602,365,0,0,0,2731,2366,365,2731,2366,365,0,0,0,236,236,0,236,236,0,0,0,0,0,0,0,0,0,0,0,0,0
56,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",3656,2134,1522,3613,2091,1522,43,43,0,2909,1521,1388,2909,1521,1388,0,0,0,704,570,134,704,570,134,0,0,0,43,43,0,0,0,0,43,43,0
57,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",22328,12857,9471,17902,9800,8102,4426,3057,1369,6874,2403,4471,6140,2293,3847,734,110,624,13220,8767,4453,9722,5820,3902,3498,2947,551,2234,1687,547,2040,1687,353,194,0,194
58,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,4056,1947,2109,3354,1758,1596,702,189,513,1142,421,721,903,284,619,239,137,102,2597,1300,1297,2225,1248,977,372,52,320,317,226,91,226,226,0,91,0,91
59,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",5539,3056,2483,4936,2914,2022,603,142,461,1798,1098,700,1618,1001,617,180,97,83,2834,1368,1466,2506,1323,1183,328,45,283,907,590,317,812,590,222,95,0,95
60,Suffolk County (Central)--Islip Town (Northwest) PUMA,9939,5017,4922,8269,4201,4068,1670,816,854,2676,633,2043,2234,633,1601,442,0,442,5818,3392,2426,4590,2576,2014,1228,816,412,1445,992,453,1445,992,453,0,0,0
61,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",4074,1399,2675,3482,1226,2256,592,173,419,744,173,571,571,0,571,173,173,0,3200,1226,1974,2781,1226,1555,419,0,419,130,0,130,130,0,130,0,0,0
62,Saratoga County (South & Central) PUMA,1687,722,965,1512,698,814,175,24,151,248,0,248,248,0,248,0,0,0,1439,722,717,1264,698,566,175,24,151,0,0,0,0,0,0,0,0,0
63,Cattaraugus & Allegany Counties PUMA,573,272,301,551,250,301,22,22,0,19,0,19,19,0,19,0,0,0,369,147,222,369,147,222,0,0,0,185,125,60,163,103,60,22,22,0
64,Genesee & Orleans Counties PUMA,1222,407,815,1222,407,815,0,0,0,181,0,181,181,0,181,0,0,0,54,0,54,54,0,54,0,0,0,987,407,580,987,407,580,0,0,0
65,Cayuga & Onondaga (South) Counties PUMA,792,397,395,604,218,386,188,179,9,241,0,241,241,0,241,0,0,0,425,298,127,336,218,118,89,80,9,126,99,27,27,0,27,99,99,0
66,Sullivan & Ulster (West) Counties PUMA,3072,1718,1354,2856,1674,1182,216,44,172,582,265,317,517,265,252,65,0,65,2242,1307,935,2135,1307,828,107,0,107,248,146,102,204,102,102,44,44,0
67,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",12014,5540,6474,9235,4263,4972,2779,1277,1502,2092,453,1639,1994,453,1541,98,0,98,8666,4567,4099,6184,3489,2695,2482,1078,1404,1256,520,736,1057,321,736,199,199,0
68,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,3908,2466,1442,3567,2310,1257,341,156,185,1884,1128,756,1831,1128,703,53,0,53,1757,1135,622,1469,979,490,288,156,132,267,203,64,267,203,64,0,0,0
69,NYC-Queens Community District 1--Astoria & Long Island City PUMA,9583,5587,3996,7906,4774,3132,1677,813,864,4684,2194,2490,3771,1667,2104,913,527,386,4536,3030,1506,3772,2744,1028,764,286,478,363,363,0,363,363,0,0,0,0
70,Jefferson & Lewis Counties PUMA,2831,1972,859,2654,1947,707,177,25,152,815,431,384,663,431,232,152,0,152,2016,1541,475,1991,1516,475,25,25,0,0,0,0,0,0,0,0,0,0
71,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,4159,2685,1474,3893,2541,1352,266,144,122,2259,1343,916,2179,1343,836,80,0,80,1461,1011,450,1275,867,408,186,144,42,439,331,108,439,331,108,0,0,0
72,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,3166,1670,1496,2850,1670,1180,316,0,316,1173,585,588,1126,585,541,47,0,47,1627,719,908,1358,719,639,269,0,269,366,366,0,366,366,0,0,0,0
73,Orange County (Northeast)--Greater Newburgh City PUMA,6998,3988,3010,5867,3220,2647,1131,768,363,1544,949,595,1503,908,595,41,41,0,5054,2824,2230,3964,2097,1867,1090,727,363,400,215,185,400,215,185,0,0,0
74,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",16656,9586,7070,14042,8252,5790,2614,1334,1280,3662,1327,2335,3314,1238,2076,348,89,259,11333,7255,4078,9468,6191,3277,1865,1064,801,1661,1004,657,1260,823,437,401,181,220
75,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",5041,2493,2548,3933,2247,1686,1108,246,862,838,434,404,782,434,348,56,0,56,3727,1744,1983,2859,1586,1273,868,158,710,476,315,161,292,227,65,184,88,96
76,Erie County (Central) PUMA,1291,934,357,847,709,138,444,225,219,450,312,138,450,312,138,0,0,0,411,290,121,290,290,0,121,0,121,430,332,98,107,107,0,323,225,98
77,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",11235,5658,5577,9719,4660,5059,1516,998,518,2530,1252,1278,2497,1252,1245,33,0,33,7556,3561,3995,6554,3044,3510,1002,517,485,1149,845,304,668,364,304,481,481,0
78,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",2526,1254,1272,2039,935,1104,487,319,168,870,422,448,763,360,403,107,62,45,1386,676,710,1064,477,587,322,199,123,270,156,114,212,98,114,58,58,0
79,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",12802,6528,6274,10316,5613,4703,2486,915,1571,5066,2348,2718,4009,1535,2474,1057,813,244,5688,2817,2871,4686,2715,1971,1002,102,900,2048,1363,685,1621,1363,258,427,0,427
80,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,9834,4852,4982,8368,4148,4220,1466,704,762,3121,1237,1884,2661,1000,1661,460,237,223,5896,2953,2943,5060,2656,2404,836,297,539,817,662,155,647,492,155,170,170,0
81,Onondaga County (Central)--Syracuse City (Outer) PUMA,1374,735,639,916,735,181,458,0,458,237,124,113,237,124,113,0,0,0,559,435,124,503,435,68,56,0,56,578,176,402,176,176,0,402,0,402
82,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",3184,1574,1610,2575,1352,1223,609,222,387,2782,1172,1610,2395,1172,1223,387,0,387,180,180,0,180,180,0,0,0,0,222,222,0,0,0,0,222,222,0
83,"Chenango, Delaware & Broome (East) Counties PUMA",999,485,514,758,293,465,241,192,49,70,0,70,70,0,70,0,0,0,929,485,444,688,293,395,241,192,49,0,0,0,0,0,0,0,0,0
84,Orange County (Northwest) PUMA,6329,3977,2352,5318,3257,2061,1011,720,291,829,253,576,733,157,576,96,96,0,4946,3170,1776,4101,2616,1485,845,554,291,554,554,0,484,484,0,70,70,0
85,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,7112,3906,3206,6432,3906,2526,680,0,680,2266,940,1326,2126,940,1186,140,0,140,4102,2700,1402,3562,2700,862,540,0,540,744,266,478,744,266,478,0,0,0
86,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,1232,627,605,911,627,284,321,0,321,511,279,232,318,279,39,193,0,193,533,240,293,405,240,165,128,0,128,188,108,80,188,108,80,0,0,0
87,Dutchess County (North & East) PUMA,2119,1026,1093,1851,813,1038,268,213,55,904,444,460,738,333,405,166,111,55,1140,507,633,1038,405,633,102,102,0,75,75,0,75,75,0,0,0,0
88,Putnam County PUMA,2962,1784,1178,2602,1784,818,360,0,360,1206,744,462,1145,744,401,61,0,61,1264,918,346,1025,918,107,239,0,239,492,122,370,432,122,310,60,0,60
89,Albany County (Outside Albany City) PUMA,2452,1615,837,2059,1388,671,393,227,166,434,101,333,434,101,333,0,0,0,1821,1317,504,1428,1090,338,393,227,166,197,197,0,197,197,0,0,0,0
90,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",15843,8090,7753,13478,7860,5618,2365,230,2135,5556,2269,3287,5291,2213,3078,265,56,209,9381,5270,4111,7422,5096,2326,1959,174,1785,906,551,355,765,551,214,141,0,141
91,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,5846,3485,2361,4760,2879,1881,1086,606,480,865,491,374,804,491,313,61,0,61,4188,2532,1656,3400,2088,1312,788,444,344,793,462,331,556,300,256,237,162,75
