,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
98,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,178,153,25,153,153,0,25,0,25,0,0,0,0,0,0,0,0,0,153,153,0,153,153,0,0,0,0,25,0,25,0,0,0,25,0,25
99,Monroe County (East) PUMA,2530,967,1563,2441,967,1474,89,0,89,1009,421,588,1009,421,588,0,0,0,1432,546,886,1432,546,886,0,0,0,89,0,89,0,0,0,89,0,89
100,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",4755,2417,2338,4192,2217,1975,563,200,363,1315,437,878,1225,437,788,90,0,90,3283,1823,1460,2905,1718,1187,378,105,273,157,157,0,62,62,0,95,95,0
101,Erie County (South) PUMA,1080,463,617,936,319,617,144,144,0,345,156,189,345,156,189,0,0,0,735,307,428,591,163,428,144,144,0,0,0,0,0,0,0,0,0,0
102,Monroe County (Central)--Greece & Gates Towns PUMA,2283,923,1360,1394,746,648,889,177,712,255,34,221,255,34,221,0,0,0,1595,825,770,810,648,162,785,177,608,433,64,369,329,64,265,104,0,104
103,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,9109,4231,4878,6916,4074,2842,2193,157,2036,3318,1172,2146,3060,1172,1888,258,0,258,4904,2631,2273,2969,2474,495,1935,157,1778,887,428,459,887,428,459,0,0,0
104,NYC-Manhattan Community District 11--East Harlem PUMA,21135,9949,11186,11544,5354,6190,9591,4595,4996,4515,1384,3131,3610,1138,2472,905,246,659,11135,4966,6169,5723,2479,3244,5412,2487,2925,5485,3599,1886,2211,1737,474,3274,1862,1412
105,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",10426,5077,5349,9237,4610,4627,1189,467,722,2435,703,1732,2204,628,1576,231,75,156,6620,3689,2931,6053,3390,2663,567,299,268,1371,685,686,980,592,388,391,93,298
106,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,10911,5746,5165,8932,4827,4105,1979,919,1060,5406,3126,2280,5159,2879,2280,247,247,0,3990,1781,2209,2736,1277,1459,1254,504,750,1515,839,676,1037,671,366,478,168,310
107,Onondaga County (North) PUMA,1213,616,597,797,293,504,416,323,93,495,134,361,495,134,361,0,0,0,461,225,236,302,159,143,159,66,93,257,257,0,0,0,0,257,257,0
108,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,5300,3232,2068,3494,1972,1522,1806,1260,546,1530,621,909,1322,524,798,208,97,111,2650,1710,940,1818,1313,505,832,397,435,1120,901,219,354,135,219,766,766,0
109,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",3699,2269,1430,3136,2121,1015,563,148,415,1774,758,1016,1566,748,818,208,10,198,1570,1373,197,1570,1373,197,0,0,0,355,138,217,0,0,0,355,138,217
110,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,5645,2640,3005,2701,1732,969,2944,908,2036,1094,633,461,1024,633,391,70,0,70,2367,1132,1235,1391,946,445,976,186,790,2184,875,1309,286,153,133,1898,722,1176
