,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
59,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",4936,2914,2022,51021.43435980551,51347.63212079616,50551.3353115727,1618,1001,617,51477.68850432633,48666.23376623377,56038.89789303079,2506,1323,1183,55222.625698324024,56907.105064247924,53338.79966187658,812,590,222,37146.55172413793,43430.50847457627,20445.945945945947
60,Suffolk County (Central)--Islip Town (Northwest) PUMA,8269,4201,4068,47592.301366549764,51607.09354915496,43446.24877089479,2234,633,1601,48766.15935541629,60450.55292259084,44146.40849469082,4590,2576,2014,48975.04139433551,56993.40062111801,38719.185700099304,1445,992,453,41385.259515570935,31977.016129032258,61987.8587196468
61,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",3482,1226,2256,44246.15163699024,62473.40946166395,34340.735815602835,571,0,571,69416.81260945709,0.0,69416.81260945709,2781,1226,1555,39744.01294498382,62473.40946166395,21823.601286173634,130,0,130,30000.0,0.0,30000.0
62,Saratoga County (South & Central) PUMA,1512,698,814,64566.798941798945,79591.6905444126,51683.04668304668,248,0,248,60000.0,0.0,60000.0,1264,698,566,65462.8164556962,79591.6905444126,48038.86925795053,0,0,0,#DIV/0!,0.0,0.0
63,Cattaraugus & Allegany Counties PUMA,551,250,301,49560.98003629764,25080.4,69893.68770764119,19,0,19,25000.0,0.0,25000.0,369,147,222,59384.55284552846,22652.380952380954,83707.2072072072,163,103,60,30185.276073619632,28545.631067961163,33000.0
64,Genesee & Orleans Counties PUMA,1222,407,815,8235.351882160392,800.0,11948.466257668711,181,0,181,43480.66298342541,0.0,43480.66298342541,54,0,54,26000.0,0.0,26000.0,987,407,580,800.0,800.0,800.0
65,Cayuga & Onondaga (South) Counties PUMA,604,218,386,13518.956953642384,16034.862385321101,12098.056994818653,241,0,241,450.0,0.0,450.0,336,218,118,22532.738095238095,16034.862385321101,34537.28813559322,27,0,27,18000.0,0.0,18000.0
66,Sullivan & Ulster (West) Counties PUMA,2856,1674,1182,57584.52380952381,60512.544802867385,53437.73265651438,517,265,252,102982.5918762089,155913.20754716982,47321.42857142857,2135,1307,828,45978.17330210773,39024.48355011477,56954.58937198068,204,102,102,64000.0,88000.0,40000.0
67,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",9235,4263,4972,44175.65782349756,45094.768942059585,43387.61061946903,1994,453,1541,59764.1925777332,76050.77262693156,54976.5087605451,6184,3489,2695,41071.26455368693,43794.72628260247,37545.41743970315,1057,321,736,32930.652790917695,15539.56386292835,40515.625
68,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,3567,2310,1257,89485.73030557892,109671.08225108225,52390.930787589496,1831,1128,703,103231.29437465865,131599.29078014183,57713.37126600285,1469,979,490,84467.59700476515,101050.05107252298,51336.5306122449,267,203,64,22832.209737827714,29400.0,2000.0
69,NYC-Queens Community District 1--Astoria & Long Island City PUMA,7906,4774,3132,61288.421452061724,57117.762882279014,67645.61302681992,3771,1667,2104,73867.15990453461,72982.12357528495,74568.37452471483,3772,2744,1028,51921.95121951219,51339.431486880465,53476.848249027236,363,363,0,27943.801652892562,27943.801652892562,0.0
70,Jefferson & Lewis Counties PUMA,2654,1947,707,50952.147701582515,55765.17719568567,37697.5954738331,663,431,232,66061.84012066365,60645.011600928075,76125.0,1991,1516,475,45920.64289301859,54377.836411609496,18928.842105263157,0,0,0,#DIV/0!,0.0,0.0
71,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,3893,2541,1352,70299.66606730028,66961.27508854782,76573.96449704142,2179,1343,836,79379.53189536485,73204.76545048399,89299.04306220096,1275,867,408,71012.94117647059,75362.74509803922,61769.60784313725,439,331,108,23159.681093394076,19622.658610271905,34000.0
