,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
102,Monroe County (Central)--Greece & Gates Towns PUMA,1656,660,996,1593,660,933,63,0,63,175,0,175,175,0,175,0,0,0,1152,596,556,1089,596,493,63,0,63,329,64,265,329,64,265,0,0,0
103,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,8345,4231,4114,7379,3642,3737,966,589,377,2861,1172,1689,2323,1011,1312,538,161,377,4597,2631,1966,4597,2631,1966,0,0,0,887,428,459,459,0,459,428,428,0
104,NYC-Manhattan Community District 11--East Harlem PUMA,12431,6400,6031,11930,6028,5902,501,372,129,3933,1220,2713,3800,1087,2713,133,133,0,6352,3163,3189,6113,2924,3189,239,239,0,2146,2017,129,2017,2017,0,129,0,129
105,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",7806,4256,3550,7397,3847,3550,409,409,0,2336,703,1633,2336,703,1633,0,0,0,4619,3102,1517,4303,2786,1517,316,316,0,851,451,400,758,358,400,93,93,0
106,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,8301,4614,3687,8257,4614,3643,44,0,44,5121,2982,2139,5077,2982,2095,44,0,44,2141,961,1180,2141,961,1180,0,0,0,1039,671,368,1039,671,368,0,0,0
107,Onondaga County (North) PUMA,890,293,597,797,293,504,93,0,93,495,134,361,495,134,361,0,0,0,395,159,236,302,159,143,93,0,93,0,0,0,0,0,0,0,0,0
108,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,3869,2364,1505,3747,2242,1505,122,122,0,1255,524,731,1255,524,731,0,0,0,2023,1338,685,1901,1216,685,122,122,0,591,502,89,591,502,89,0,0,0
109,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",2828,1813,1015,2791,1813,978,37,0,37,1566,748,818,1529,748,781,37,0,37,1262,1065,197,1262,1065,197,0,0,0,0,0,0,0,0,0,0,0,0
110,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,3425,1579,1846,2850,1579,1271,575,0,575,928,633,295,928,633,295,0,0,0,1492,946,546,1278,946,332,214,0,214,1005,0,1005,644,0,644,361,0,361
111,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",11054,6690,4364,9667,5670,3997,1387,1020,367,2977,867,2110,2977,867,2110,0,0,0,5790,4003,1787,4867,3447,1420,923,556,367,2287,1820,467,1823,1356,467,464,464,0
