,puma,BABS_Home_Ownership_Total,BABS_Home_Ownership_M,BABS_Home_Ownership_F,HS_Home_Ownership_Total,HS_Home_Ownership_M,HS_Home_Ownership_F,HSINC_Home_Ownership_Total,HSINC_Home_Ownership_M,HSINC_Home_Ownership_F
76,Erie County (Central) PUMA,40.57649667405765,37.7207062600321,46.95340501792115,49.537366548042705,36.05072463768116,58.26494724501758,#DIV/0!,#DIV/0!,#DIV/0!
77,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",72.84409874873182,76.77419354838709,70.00582411182295,76.38248847926268,61.72839506172839,89.20086393088553,0.0,0.0,0.0
78,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",47.85077841966122,51.81030086690463,45.382292163408046,26.14832239692955,25.49800796812749,26.716141001855288,51.54038301415487,66.11111111111111,45.30321046373365
79,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",79.42050520059435,69.25972396486826,94.1712204007286,37.99392097264438,39.91031390134529,33.9622641509434,100.0,#DIV/0!,100.0
80,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
81,Onondaga County (Central)--Syracuse City (Outer) PUMA,72.71844660194175,79.1044776119403,60.83333333333333,91.49484536082474,64.51612903225806,100.0,#DIV/0!,#DIV/0!,#DIV/0!
82,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",32.76917536910335,31.677953348382243,33.7707182320442,24.54954954954955,0.0,100.0,#DIV/0!,#DIV/0!,#DIV/0!
83,"Chenango, Delaware & Broome (East) Counties PUMA",100.0,100.0,100.0,100.0,100.0,100.0,#DIV/0!,#DIV/0!,#DIV/0!
84,Orange County (Northwest) PUMA,100.0,#DIV/0!,100.0,46.206896551724135,100.0,0.0,100.0,#DIV/0!,100.0
85,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,31.550802139037433,29.565217391304348,34.72222222222222,32.15627347858753,24.36868686868687,43.59925788497217,0.0,0.0,#DIV/0!
86,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,73.68137782561894,50.95285857572718,100.0,12.293144208037825,100.0,7.596513075965131,#DIV/0!,#DIV/0!,#DIV/0!
87,Dutchess County (North & East) PUMA,61.857379767827524,55.2,63.59832635983263,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
88,Putnam County PUMA,56.05095541401274,100.0,49.38875305623472,53.240418118466906,29.70639032815199,69.1588785046729,100.0,100.0,#DIV/0!
89,Albany County (Outside Albany City) PUMA,13.943028485757122,9.620991253644315,18.51851851851852,76.67509481668773,61.034846884899686,100.0,#DIV/0!,#DIV/0!,#DIV/0!
90,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",#DIV/0!,#DIV/0!,#DIV/0!,34.88805970149254,34.88805970149254,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
91,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,13.82063882063882,0.0,25.05567928730512,45.29262086513995,45.29262086513995,#DIV/0!,7.474747474747474,#DIV/0!,7.474747474747474
