,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
118,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,2057,1722,690,1032,335,65,270,0,0,0
119,Monroe County (Central)--Greece & Gates Towns PUMA,4346,1280,961,319,2577,1120,1457,489,243,246
120,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,41396,9907,5511,4396,22099,11148,10951,9390,6538,2852
121,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",6092,2434,1198,1236,2904,1636,1268,754,498,256
122,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,21478,10629,5442,5187,8311,4115,4196,2538,1485,1053
123,Broome (Outer West) & Tioga Counties PUMA,545,167,167,0,378,275,103,0,0,0
124,Putnam County PUMA,7824,2687,979,1708,3585,1794,1791,1552,701,851
125,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",11063,1958,385,1573,6900,3339,3561,2205,1026,1179
126,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",22381,11493,5219,6274,9350,4092,5258,1538,970,568
127,Nassau County (Central)--Hempstead Town (Northeast) PUMA,10016,3374,1348,2026,5152,2962,2190,1490,920,570
128,Suffolk County (Central)--Brookhaven Town (Central) PUMA,9850,3926,1115,2811,5346,2588,2758,578,578,0
129,NYC-Manhattan Community District 10--Central Harlem PUMA,9639,5707,2913,2794,2554,876,1678,1378,1227,151
130,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",14562,2733,1955,778,8607,5020,3587,3222,1641,1581
131,NYC-Manhattan Community District 11--East Harlem PUMA,15711,4537,1990,2547,7949,3292,4657,3225,1711,1514
132,Westchester County (Northwest) PUMA,12987,5917,2449,3468,5918,2512,3406,1152,728,424
133,Onondaga County (North) PUMA,2733,1468,575,893,1155,455,700,110,64,46
134,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,6827,2160,740,1420,3742,1450,2292,925,295,630
135,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,6756,2119,1467,652,4004,2595,1409,633,405,228
136,Genesee & Orleans Counties PUMA,559,110,83,27,252,54,198,197,132,65
137,Westchester County (Central)--White Plains City PUMA,15976,9078,3876,5202,5173,3027,2146,1725,1174,551
138,Saratoga County (South & Central) PUMA,3407,2344,862,1482,1063,293,770,0,0,0
