,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
41,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",40371,18066,22305,20709,9999,10710,19662,8067,11595,7649,3360,4289,5955,2940,3015,1694,420,1274,23417,10904,12513,12121,5472,6649,11296,5432,5864,9305,3802,5503,2633,1587,1046,6672,2215,4457
42,Erie County (North Central) PUMA,47936,21578,26358,44934,20297,24637,3002,1281,1721,30388,12908,17480,29205,12516,16689,1183,392,791,16584,8056,8528,14947,7337,7610,1637,719,918,964,614,350,782,444,338,182,170,12
43,Chautauqua County PUMA,59592,29814,29778,44469,23302,21167,15123,6512,8611,14722,5856,8866,13227,5682,7545,1495,174,1321,39899,21004,18895,29053,16338,12715,10846,4666,6180,4971,2954,2017,2189,1282,907,2782,1672,1110
44,Dutchess County (Southwest) PUMA,71358,36218,35140,63474,33019,30455,7884,3199,4685,25960,10537,15423,24154,10173,13981,1806,364,1442,41090,23490,17600,36831,21358,15473,4259,2132,2127,4308,2191,2117,2489,1488,1001,1819,703,1116
45,Westchester County (Southeast) PUMA,34210,17984,16226,32871,17383,15488,1339,601,738,25201,12708,12493,24754,12650,12104,447,58,389,7984,4575,3409,7119,4032,3087,865,543,322,1025,701,324,998,701,297,27,0,27
46,Rockland County (North)--New City & Congers PUMA,34254,17916,16338,31101,15863,15238,3153,2053,1100,16755,7097,9658,16259,6977,9282,496,120,376,15515,9128,6387,13699,8006,5693,1816,1122,694,1984,1691,293,1143,880,263,841,811,30
47,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,41285,19538,21747,37151,17410,19741,4134,2128,2006,14726,7301,7425,14180,7196,6984,546,105,441,24371,11101,13270,21179,9180,11999,3192,1921,1271,2188,1136,1052,1792,1034,758,396,102,294
48,Suffolk County (Southwest)--Islip Town (South) PUMA,44955,23098,21857,42108,21383,20725,2847,1715,1132,18574,8287,10287,18322,8146,10176,252,141,111,24602,13987,10615,22905,13064,9841,1697,923,774,1779,824,955,881,173,708,898,651,247
49,Erie County (West Central)--Buffalo City (East) PUMA,64470,30686,33784,41647,21930,19717,22823,8756,14067,10809,4442,6367,9332,3905,5427,1477,537,940,43906,20411,23495,29269,15695,13574,14637,4716,9921,9755,5833,3922,3046,2330,716,6709,3503,3206
50,Wayne & Seneca Counties PUMA,59666,30100,29566,49584,26028,23556,10082,4072,6010,13714,5699,8015,13027,5667,7360,687,32,655,40887,21794,19093,33969,18779,15190,6918,3015,3903,5065,2607,2458,2588,1582,1006,2477,1025,1452
51,Monroe County (South) PUMA,69775,32878,36897,62901,29637,33264,6874,3241,3633,42358,18543,23815,39239,17305,21934,3119,1238,1881,25817,13693,12124,22453,11900,10553,3364,1793,1571,1600,642,958,1209,432,777,391,210,181
52,Tompkins County PUMA,37736,17594,20142,31864,15179,16685,5872,2415,3457,20947,8782,12165,19684,8492,11192,1263,290,973,15135,7745,7390,11101,5704,5397,4034,2041,1993,1654,1067,587,1079,983,96,575,84,491
53,Suffolk County (South Central)--Brookhaven Town (South) PUMA,59516,29966,29550,52103,26958,25145,7413,3008,4405,16431,6975,9456,16076,6860,9216,355,115,240,38619,20014,18605,33238,18434,14804,5381,1580,3801,4466,2977,1489,2789,1664,1125,1677,1313,364
54,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",49938,25122,24816,41311,21415,19896,8627,3707,4920,14430,6586,7844,13035,6008,7027,1395,578,817,31879,16029,15850,26032,13747,12285,5847,2282,3565,3629,2507,1122,2244,1660,584,1385,847,538
55,NYC-Manhattan Community District 8--Upper East Side PUMA,84443,34493,49950,78774,32761,46013,5669,1732,3937,75311,31626,43685,73024,30602,42422,2287,1024,1263,8857,2703,6154,5490,2010,3480,3367,693,2674,275,164,111,260,149,111,15,15,0
