,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
71,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,1340,432,908,1167,432,735,173,0,173,662,132,530,662,132,530,0,0,0,574,300,274,401,300,101,173,0,173,104,0,104,104,0,104,0,0,0
72,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,4589,2225,2364,4589,2225,2364,0,0,0,598,346,252,598,346,252,0,0,0,2778,873,1905,2778,873,1905,0,0,0,1213,1006,207,1213,1006,207,0,0,0
73,Orange County (Northeast)--Greater Newburgh City PUMA,1314,606,708,1095,551,544,219,55,164,406,0,406,406,0,406,0,0,0,908,606,302,689,551,138,219,55,164,0,0,0,0,0,0,0,0,0
74,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",891,343,548,694,343,351,197,0,197,269,47,222,269,47,222,0,0,0,497,171,326,300,171,129,197,0,197,125,125,0,125,125,0,0,0,0
75,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",1219,694,525,1134,609,525,85,85,0,75,39,36,75,39,36,0,0,0,941,492,449,941,492,449,0,0,0,203,163,40,118,78,40,85,85,0
76,Erie County (Central) PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",2635,1833,802,2170,1758,412,465,75,390,709,254,455,502,254,248,207,0,207,1273,997,276,1086,922,164,187,75,112,653,582,71,582,582,0,71,0,71
78,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",916,282,634,839,282,557,77,0,77,430,122,308,353,122,231,77,0,77,486,160,326,486,160,326,0,0,0,0,0,0,0,0,0,0,0,0
79,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",927,454,473,519,273,246,408,181,227,595,454,141,414,273,141,181,181,0,332,0,332,105,0,105,227,0,227,0,0,0,0,0,0,0,0,0
80,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,8794,4516,4278,8042,4244,3798,752,272,480,808,202,606,808,202,606,0,0,0,7390,3892,3498,6638,3620,3018,752,272,480,596,422,174,596,422,174,0,0,0
81,Onondaga County (Central)--Syracuse City (Outer) PUMA,365,138,227,365,138,227,0,0,0,335,108,227,335,108,227,0,0,0,30,30,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0
82,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",1537,1014,523,1477,1014,463,60,0,60,1015,552,463,1015,552,463,0,0,0,462,462,0,462,462,0,0,0,0,60,0,60,0,0,0,60,0,60
