,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
86,Suffolk County (South Central)--Brookhaven Town (South) PUMA,34373,18037,16336,66589.24475605853,69102,63814,8800,2922,5878,94948.51136363637,121947,81527,24529,14071,10458,57841.39630641282,60801,53858,1044,1044,0,33078.16091954023,33078,0
87,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,2369,1709,660,67701.62093710426,78043,40922,1181,1026,155,85540.90601185436,92420,40000,1142,637,505,50368.94045534151,57633,41205,46,46,0,40000.0,40000,0
88,Livingston & Wyoming Counties PUMA,32291,18459,13832,47352.94983122232,51685,41571,7248,3467,3781,66484.3777593819,77631,56262,23213,13845,9368,43241.36505406453,47502,36943,1830,1147,683,23734.167213114753,23750,23706
89,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",11887,5692,6195,70039.70556069656,70206,69886,5804,2045,3759,66406.44383184011,68248,65404,6003,3567,2436,73473.09345327337,71199,76802,80,80,0,76000.0,76000,0
90,Cattaraugus & Allegany Counties PUMA,36721,21262,15459,44764.14898831731,47254,41339,8899,4344,4555,63447.59973030678,72578,54739,25007,14737,10270,39513.04654696685,41714,36354,2815,2181,634,32348.621669627,34251,25803
91,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,37968,21158,16810,49007.0645280236,54012,42707,8489,3665,4824,68283.47143361998,82198,57711,27823,16255,11568,43988.237681055245,49125,36769,1656,1238,418,34515.157004830915,34729,33878
92,Orange County (Northwest) PUMA,25221,13578,11643,64695.77693192181,72816,55224,7683,3911,3772,91132.40531042562,96334,85738,16893,9245,7648,53592.062984668206,64763,40087,645,422,223,40606.51162790698,31280,58254
93,Columbia & Greene Counties PUMA,31609,17453,14156,57645.37619032554,65603,47833,9944,4853,5091,80527.34865245374,103526,58602,20510,11633,8877,47964.90692345198,52434,42107,1155,967,188,32544.155844155845,33706,26565
94,Suffolk County (East) PUMA,33590,19336,14254,85897.03069365883,98829,68353,14931,7977,6954,116859.6960016074,145702,83774,18411,11111,7300,61684.04975286513,66953,53662,248,248,0,19290.725806451614,19290,0
95,Monroe County (East) PUMA,41881,21382,20499,67100.06107781571,76999,56774,24085,11290,12795,78424.05721403363,92600,65915,17402,9698,7704,52008.87484197219,60282,41593,394,394,0,41410.659898477155,41410,0
96,Sullivan & Ulster (West) Counties PUMA,27165,15196,11969,52161.8644579422,53098,50973,7318,3187,4131,77309.35884121344,79763,75415,18355,10707,7648,42705.72378098611,45959,38150,1492,1302,190,45149.86595174263,46533,35668
97,Cayuga & Onondaga (South) Counties PUMA,37696,21132,16564,54651.468909168085,61910,45390,11788,5877,5911,73200.83389888021,90016,56481,24479,13895,10584,45843.47530536378,50807,39326,1429,1360,69,52517.78166550035,53886,25543
98,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",248,35,213,22798.387096774193,35500,20711,83,0,83,17900.0,0,17900,165,35,130,25262.424242424244,35500,22506,0,0,0,#DIV/0!,0,0
99,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,25824,15362,10462,73136.50495662949,83316,58188,9654,5100,4554,86141.97431116636,97214,73742,15661,9884,5777,66439.08971330055,77919,46796,509,378,131,32534.18467583497,36929,19851
100,Onondaga County (Central)--Syracuse City PUMA,18327,9743,8584,47693.92033611611,50151,44904,7888,4649,3239,60342.948022312376,61721,58363,10054,4884,5170,38129.033618460315,39135,37177,385,210,175,38316.88311688312,50214,24040
