,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
133,Suffolk County (South Central)--Brookhaven Town (South) PUMA,50060,14154,5988,8166,33031,16795,16236,2875,1693,1182
134,Onondaga County (Central)--Syracuse City PUMA,36496,12886,6132,6754,19917,9880,10037,3693,2218,1475
135,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,24901,7908,3715,4193,15798,8364,7434,1195,622,573
136,Suffolk County (Southwest)--Islip Town (South) PUMA,39994,17202,7506,9696,21866,11684,10182,926,476,450
137,Niagara County (North & East) PUMA,51391,13890,6221,7669,34989,17923,17066,2512,1312,1200
138,NYC-Manhattan Community District 11--East Harlem PUMA,9512,7468,3937,3531,1688,1020,668,356,163,193
139,Broome (Outer West) & Tioga Counties PUMA,52533,14297,6876,7421,34684,17425,17259,3552,2056,1496
140,Albany County (East Central)--Albany City PUMA,27776,13619,6691,6928,13037,6948,6089,1120,793,327
141,Nassau County (West Central)--Hempstead Town (West Central) PUMA,23761,10810,5046,5764,12424,6452,5972,527,377,150
142,Nassau County (West Central)--North Hempstead Town (South) PUMA,25585,14524,6759,7765,10558,5457,5101,503,314,189
143,Nassau County (Central)--Hempstead Town (Northeast) PUMA,42973,17455,8326,9129,24265,12070,12195,1253,541,712
144,Nassau County (Central)--Hempstead Town (East Central) PUMA,46083,25322,11189,14133,20143,11169,8974,618,312,306
145,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",699,178,87,91,395,206,189,126,85,41
146,Capital Region,471019,167203,76578,90625,278387,140673,137714,25429,15692,9737
147,Central NY,341679,108768,49999,58769,209535,105468,104067,23376,14159,9217
148,Finger Lakes,496367,175801,81030,94771,292719,148167,144552,27847,16492,11355
149,Long Island,920915,438056,203611,234445,458286,236137,222149,24573,14193,10380
150,Mid-Hudson,697253,328277,152095,176182,338792,174367,164425,30184,17467,12717
151,Mohawk Valley,216984,51963,22599,29364,147174,75346,71828,17847,10367,7480
152,New York City,1165899,758969,366486,392483,366985,195684,171301,39945,22767,17178
153,North Country,190783,43053,18995,24058,131298,68152,63146,16432,9878,6554
154,Southern Tier,284298,80346,36097,44249,182796,92650,90146,21156,12177,8979
155,Western NY,583944,188846,86273,102573,364573,186123,178450,30525,17178,13347
