,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,1065.0,352.0,713.0,525.0,84.0,441.0,540.0,268.0,272.0,89.0,0.0,89.0,89.0,0.0,89.0,0.0,0.0,0.0,676.0,352.0,324.0,136.0,84.0,52.0,540.0,268.0,272.0,300.0,0.0,300.0,300.0,0.0,300.0,0.0,0.0,0.0
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,3489.0,2313.0,1176.0,3145.0,2045.0,1100.0,344.0,268.0,76.0,76.0,0.0,76.0,0.0,0.0,0.0,76.0,0.0,76.0,2444.0,1784.0,660.0,2176.0,1516.0,660.0,268.0,268.0,0.0,969.0,529.0,440.0,969.0,529.0,440.0,0.0,0.0,0.0
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",2369.0,1491.0,878.0,355.0,201.0,154.0,2014.0,1290.0,724.0,1139.0,1004.0,135.0,0.0,0.0,0.0,1139.0,1004.0,135.0,1230.0,487.0,743.0,355.0,201.0,154.0,875.0,286.0,589.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Columbia & Greene Counties PUMA,71.0,71.0,0.0,0.0,0.0,0.0,71.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,71.0,0.0,0.0,0.0,0.0,71.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Rensselaer County--Troy City PUMA,207.0,151.0,56.0,0.0,0.0,0.0,207.0,151.0,56.0,56.0,0.0,56.0,0.0,0.0,0.0,56.0,0.0,56.0,151.0,151.0,0.0,0.0,0.0,0.0,151.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Erie County (West Central)--Buffalo City (West) PUMA,740.0,360.0,380.0,502.0,261.0,241.0,238.0,99.0,139.0,295.0,104.0,191.0,156.0,104.0,52.0,139.0,0.0,139.0,121.0,0.0,121.0,121.0,0.0,121.0,0.0,0.0,0.0,324.0,256.0,68.0,225.0,157.0,68.0,99.0,99.0,0.0
57,Erie County (South) PUMA,344.0,0.0,344.0,0.0,0.0,0.0,344.0,0.0,344.0,344.0,0.0,344.0,0.0,0.0,0.0,344.0,0.0,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,262.0,131.0,131.0,63.0,0.0,63.0,199.0,131.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,131.0,131.0,63.0,0.0,63.0,199.0,131.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",7386.0,3912.0,3474.0,195.0,0.0,195.0,7191.0,3912.0,3279.0,1756.0,1110.0,646.0,63.0,0.0,63.0,1693.0,1110.0,583.0,3688.0,2024.0,1664.0,132.0,0.0,132.0,3556.0,2024.0,1532.0,1942.0,778.0,1164.0,0.0,0.0,0.0,1942.0,778.0,1164.0
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,658.0,332.0,326.0,0.0,0.0,0.0,658.0,332.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,148.0,0.0,0.0,0.0,148.0,0.0,148.0,510.0,332.0,178.0,0.0,0.0,0.0,510.0,332.0,178.0
61,NYC-Manhattan Community District 10--Central Harlem PUMA,1174.0,749.0,425.0,0.0,0.0,0.0,1174.0,749.0,425.0,175.0,175.0,0.0,0.0,0.0,0.0,175.0,175.0,0.0,425.0,0.0,425.0,0.0,0.0,0.0,425.0,0.0,425.0,574.0,574.0,0.0,0.0,0.0,0.0,574.0,574.0,0.0
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,1881.0,1309.0,572.0,1881.0,1309.0,572.0,0.0,0.0,0.0,736.0,391.0,345.0,736.0,391.0,345.0,0.0,0.0,0.0,1070.0,843.0,227.0,1070.0,843.0,227.0,0.0,0.0,0.0,75.0,75.0,0.0,75.0,75.0,0.0,0.0,0.0,0.0
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,1174.0,667.0,507.0,0.0,0.0,0.0,1174.0,667.0,507.0,524.0,524.0,0.0,0.0,0.0,0.0,524.0,524.0,0.0,365.0,0.0,365.0,0.0,0.0,0.0,365.0,0.0,365.0,285.0,143.0,142.0,0.0,0.0,0.0,285.0,143.0,142.0
64,Albany County (East Central)--Albany City PUMA,477.0,287.0,190.0,0.0,0.0,0.0,477.0,287.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,190.0,0.0,0.0,0.0,190.0,0.0,190.0,287.0,287.0,0.0,0.0,0.0,0.0,287.0,287.0,0.0
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,1843.0,1292.0,551.0,1843.0,1292.0,551.0,0.0,0.0,0.0,396.0,300.0,96.0,396.0,300.0,96.0,0.0,0.0,0.0,1046.0,648.0,398.0,1046.0,648.0,398.0,0.0,0.0,0.0,401.0,344.0,57.0,401.0,344.0,57.0,0.0,0.0,0.0
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,104.0,104.0,0.0,104.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,104.0,0.0,104.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",605.0,243.0,362.0,0.0,0.0,0.0,605.0,243.0,362.0,129.0,0.0,129.0,0.0,0.0,0.0,129.0,0.0,129.0,318.0,128.0,190.0,0.0,0.0,0.0,318.0,128.0,190.0,158.0,115.0,43.0,0.0,0.0,0.0,158.0,115.0,43.0
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",1858.0,903.0,955.0,0.0,0.0,0.0,1858.0,903.0,955.0,299.0,0.0,299.0,0.0,0.0,0.0,299.0,0.0,299.0,1242.0,838.0,404.0,0.0,0.0,0.0,1242.0,838.0,404.0,317.0,65.0,252.0,0.0,0.0,0.0,317.0,65.0,252.0
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",768.0,582.0,186.0,244.0,244.0,0.0,524.0,338.0,186.0,535.0,349.0,186.0,244.0,244.0,0.0,291.0,105.0,186.0,233.0,233.0,0.0,0.0,0.0,0.0,233.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
