,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,3489,2313,1176,3293,2313,980,196,0,196,76,0,76,0,0,0,76,0,76,2444,1784,660,2444,1784,660,0,0,0,969,529,440,849,529,320,120,0,120
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",2137,1413,724,2137,1413,724,0,0,0,1144,1009,135,1144,1009,135,0,0,0,993,404,589,993,404,589,0,0,0,0,0,0,0,0,0,0,0,0
54,Columbia & Greene Counties PUMA,71,71,0,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,71,71,0,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Rensselaer County--Troy City PUMA,207,151,56,207,151,56,0,0,0,56,0,56,56,0,56,0,0,0,151,151,0,151,151,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Erie County (West Central)--Buffalo City (West) PUMA,484,104,380,433,104,329,51,0,51,295,104,191,295,104,191,0,0,0,121,0,121,70,0,70,51,0,51,68,0,68,68,0,68,0,0,0
57,Erie County (South) PUMA,344,0,344,344,0,344,0,0,0,344,0,344,344,0,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,131,0,131,131,0,131,0,0,0,0,0,0,0,0,0,0,0,0,131,0,131,131,0,131,0,0,0,0,0,0,0,0,0,0,0,0
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",4563,2602,1961,4392,2431,1961,171,171,0,1216,962,254,1045,791,254,171,171,0,2642,1105,1537,2642,1105,1537,0,0,0,705,535,170,705,535,170,0,0,0
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,658,332,326,366,188,178,292,144,148,0,0,0,0,0,0,0,0,0,148,0,148,0,0,0,148,0,148,510,332,178,366,188,178,144,144,0
61,NYC-Manhattan Community District 10--Central Harlem PUMA,1174,749,425,1174,749,425,0,0,0,175,175,0,175,175,0,0,0,0,425,0,425,425,0,425,0,0,0,574,574,0,574,574,0,0,0,0
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,1881,1309,572,1881,1309,572,0,0,0,736,391,345,736,391,345,0,0,0,1070,843,227,1070,843,227,0,0,0,75,75,0,75,75,0,0,0,0
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,1013,667,346,528,242,286,485,425,60,524,524,0,99,99,0,425,425,0,286,0,286,286,0,286,0,0,0,203,143,60,143,143,0,60,0,60
64,Albany County (East Central)--Albany City PUMA,477,287,190,477,287,190,0,0,0,0,0,0,0,0,0,0,0,0,190,0,190,190,0,190,0,0,0,287,287,0,287,287,0,0,0,0
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,1202,909,293,1202,909,293,0,0,0,396,300,96,396,300,96,0,0,0,462,265,197,462,265,197,0,0,0,344,344,0,344,344,0,0,0,0
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,104,104,0,104,104,0,0,0,0,0,0,0,0,0,0,0,0,0,104,104,0,104,104,0,0,0,0,0,0,0,0,0,0,0,0,0
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",447,128,319,447,128,319,0,0,0,129,0,129,129,0,129,0,0,0,318,128,190,318,128,190,0,0,0,0,0,0,0,0,0,0,0,0
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",1355,903,452,1086,695,391,269,208,61,125,0,125,125,0,125,0,0,0,1034,838,196,826,630,196,208,208,0,196,65,131,135,65,70,61,0,61
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",768,582,186,768,582,186,0,0,0,535,349,186,535,349,186,0,0,0,233,233,0,233,233,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Erie County (Northeast) PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,NYC-Manhattan Community District 11--East Harlem PUMA,1198,710,488,1198,710,488,0,0,0,647,159,488,647,159,488,0,0,0,470,470,0,470,470,0,0,0,0,81,81,0,81,81,0,0,0,0
72,Orange County (Southeast) PUMA,349,202,147,349,202,147,0,0,0,50,50,0,50,50,0,0,0,0,299,152,147,299,152,147,0,0,0,0,0,0,0,0,0,0,0,0
73,Westchester County (Southeast) PUMA,4009,3136,873,3874,3136,738,135,0,135,1230,702,528,1230,702,528,0,0,0,1410,1275,135,1275,1275,0,135,0,135,1369,1159,210,1369,1159,210,0,0,0
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,4644,2477,2167,3870,2030,1840,774,447,327,1591,508,1083,1393,508,885,198,0,198,2359,1386,973,1783,939,844,576,447,129,694,583,111,694,583,111,0,0,0
