,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
85,Warren & Washington Counties PUMA,55,0,55,55,0,55,0,0,0,55,0,55,55,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,1625,858,767,1625,858,767,0,0,0,630,278,352,630,278,352,0,0,0,806,580,226,806,580,226,0,0,0,189,0,189,189,0,189,0,0,0
87,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,336,86,250,320,70,250,16,16,0,320,70,250,320,70,250,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,16,16,0
88,Onondaga County (Central)--Syracuse City PUMA,865,561,304,650,561,89,215,0,215,0,0,0,0,0,0,0,0,0,865,561,304,650,561,89,215,0,215,0,0,0,0,0,0,0,0,0
89,Westchester County (Central)--White Plains City PUMA,6358,2888,3470,5428,2154,3274,930,734,196,2465,522,1943,2465,522,1943,0,0,0,2731,1395,1336,2535,1395,1140,196,0,196,1162,971,191,428,237,191,734,734,0
90,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,1738,713,1025,699,387,312,1039,326,713,368,56,312,368,56,312,0,0,0,1214,657,557,331,331,0,883,326,557,156,0,156,0,0,0,156,0,156
91,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",1796,989,807,1227,524,703,569,465,104,581,429,152,406,295,111,175,134,41,809,329,480,514,97,417,295,232,63,406,231,175,307,132,175,99,99,0
92,Cattaraugus & Allegany Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Oswego County PUMA,80,80,0,0,0,0,80,80,0,80,80,0,0,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",8278,4606,3672,5624,3217,2407,2654,1389,1265,2126,814,1312,1654,814,840,472,0,472,4504,2381,2123,3214,1797,1417,1290,584,706,1648,1411,237,756,606,150,892,805,87
95,Monroe County (East) PUMA,167,0,167,83,0,83,84,0,84,83,0,83,83,0,83,0,0,0,84,0,84,0,0,0,84,0,84,0,0,0,0,0,0,0,0,0
96,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,2134,960,1174,1598,749,849,536,211,325,522,262,260,522,262,260,0,0,0,1376,462,914,840,251,589,536,211,325,236,236,0,236,236,0,0,0,0
97,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",2918,1320,1598,1805,980,825,1113,340,773,400,0,400,400,0,400,0,0,0,0,0,0,0,0,0,0,0,0,2518,1320,1198,1405,980,425,1113,340,773
98,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",728,520,208,461,285,176,267,235,32,88,88,0,44,44,0,44,44,0,235,71,164,203,71,132,32,0,32,405,361,44,214,170,44,191,191,0
99,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",128,73,55,128,73,55,0,0,0,55,0,55,55,0,55,0,0,0,0,0,0,0,0,0,0,0,0,73,73,0,73,73,0,0,0,0
