,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
97,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",5863,2838,3025,4973,2685,2288,890,153,737,865,300,565,540,300,240,325,0,325,4230,2378,1852,4019,2225,1794,211,153,58,768,160,608,414,160,254,354,0,354
98,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",2306,1339,967,2129,1204,925,177,135,42,437,77,360,437,77,360,0,0,0,1668,1262,406,1491,1127,364,177,135,42,201,0,201,201,0,201,0,0,0
99,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",14437,5717,8720,12510,4702,7808,1927,1015,912,4326,1342,2984,3303,827,2476,1023,515,508,8718,3579,5139,7944,3079,4865,774,500,274,1393,796,597,1263,796,467,130,0,130
100,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",3274,1956,1318,2939,1908,1031,335,48,287,1865,812,1053,1805,812,993,60,0,60,1329,1102,227,1054,1054,0,275,48,227,80,42,38,80,42,38,0,0,0
101,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",2078,1252,826,1944,1252,692,134,0,134,1683,857,826,1549,857,692,134,0,134,395,395,0,395,395,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Chautauqua County PUMA,2271,1133,1138,2167,1085,1082,104,48,56,352,213,139,352,213,139,0,0,0,1508,726,782,1404,678,726,104,48,56,411,194,217,411,194,217,0,0,0
103,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,2868,1621,1247,2788,1621,1167,80,0,80,970,294,676,970,294,676,0,0,0,1898,1327,571,1818,1327,491,80,0,80,0,0,0,0,0,0,0,0,0
104,Erie County (West Central)--Buffalo City (East) PUMA,1560,520,1040,1278,520,758,282,0,282,0,0,0,0,0,0,0,0,0,1000,158,842,916,158,758,84,0,84,560,362,198,362,362,0,198,0,198
105,Genesee & Orleans Counties PUMA,671,593,78,671,593,78,0,0,0,172,142,30,172,142,30,0,0,0,143,95,48,143,95,48,0,0,0,356,356,0,356,356,0,0,0,0
106,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",9871,4530,5341,8435,4023,4412,1436,507,929,2167,960,1207,1972,960,1012,195,0,195,6598,3289,3309,5529,2954,2575,1069,335,734,1106,281,825,934,109,825,172,172,0
107,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",242,119,123,192,69,123,50,50,0,119,119,0,69,69,0,50,50,0,123,0,123,123,0,123,0,0,0,0,0,0,0,0,0,0,0,0
108,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,3154,1836,1318,2789,1666,1123,365,170,195,1245,600,645,959,509,450,286,91,195,1909,1236,673,1830,1157,673,79,79,0,0,0,0,0,0,0,0,0,0
109,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",20920,10161,10759,16695,8541,8154,4225,1620,2605,4734,1808,2926,3616,1382,2234,1118,426,692,13385,6944,6441,11170,6028,5142,2215,916,1299,2801,1409,1392,1909,1131,778,892,278,614
110,Suffolk County (East) PUMA,1550,1052,498,1309,811,498,241,241,0,241,241,0,241,241,0,0,0,0,1018,520,498,777,279,498,241,241,0,291,291,0,291,291,0,0,0,0
111,Orange County (Northwest) PUMA,6791,3902,2889,5950,3523,2427,841,379,462,2217,1067,1150,2217,1067,1150,0,0,0,3413,2229,1184,2825,1850,975,588,379,209,1161,606,555,908,606,302,253,0,253
112,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,1685,678,1007,1578,678,900,107,0,107,911,246,665,804,246,558,107,0,107,697,432,265,697,432,265,0,0,0,77,0,77,77,0,77,0,0,0
