,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
97,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",8113,3109,5004,4169,1474,2695,3944,1635,2309,1010,327,683,735,327,408,275,0,275,5825,2378,3447,2941,1147,1794,2884,1231,1653,1278,404,874,493,0,493,785,404,381
98,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",3824,2631,1193,2682,1578,1104,1142,1053,89,1059,473,586,838,252,586,221,221,0,1888,1482,406,1338,974,364,550,508,42,877,676,201,506,352,154,371,324,47
99,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",18953,9076,9877,16592,8278,8314,2361,798,1563,5619,2635,2984,5040,2635,2405,579,0,579,11272,5162,6110,10156,4844,5312,1116,318,798,2062,1279,783,1396,799,597,666,480,186
100,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",3490,1956,1534,3474,1956,1518,16,0,16,2081,812,1269,2081,812,1269,0,0,0,1329,1102,227,1313,1102,211,16,0,16,80,42,38,80,42,38,0,0,0
101,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",2411,1324,1087,2066,1252,814,345,72,273,1683,857,826,1549,857,692,134,0,134,593,467,126,395,395,0,198,72,126,135,0,135,122,0,122,13,0,13
102,Chautauqua County PUMA,3717,2044,1673,2174,1086,1088,1543,958,585,352,213,139,352,213,139,0,0,0,2431,1263,1168,1660,873,787,771,390,381,934,568,366,162,0,162,772,568,204
103,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,4894,2819,2075,3831,2283,1548,1063,536,527,1222,546,676,1222,546,676,0,0,0,3078,1840,1238,2609,1737,872,469,103,366,594,433,161,0,0,0,594,433,161
104,Erie County (West Central)--Buffalo City (East) PUMA,2245,900,1345,977,435,542,1268,465,803,26,0,26,26,0,26,0,0,0,1386,337,1049,674,158,516,712,179,533,833,563,270,277,277,0,556,286,270
105,Genesee & Orleans Counties PUMA,1299,1024,275,700,649,51,599,375,224,249,198,51,249,198,51,0,0,0,588,470,118,95,95,0,493,375,118,462,356,106,356,356,0,106,0,106
106,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",15769,7688,8081,10158,4725,5433,5611,2963,2648,3065,1474,1591,2748,1401,1347,317,73,244,10189,5054,5135,6459,2975,3484,3730,2079,1651,2515,1160,1355,951,349,602,1564,811,753
