,puma,Unemployment_BABS_F,Unemployment_HS_F,FT_Work_BABS_F,FT_Work_HS_F,Poverty_BABS_F,Poverty_HS_F,Working_Poor_BABS_F,Working_Poor_HS_F,Income_level_BABS_F,Income_level_HS_F,Rent_Burden_BABS_F,Rent_Burden_HS_F,Home_Ownership_BABS_F,Home_Ownership_HS_F
56,Erie County (West Central)--Buffalo City (West) PUMA,4.4497624710386745,4.445297434964527,0.882768471488645,0.6874030582520598,2.4239564635515443,0.9668301832347426,11.488708885616104,0.0,0.7958407558448495,1.2905220845249954,0.9394343819510645,0.0,0.5279494879688384,1.9344635845461426
57,Erie County (South) PUMA,0.0,0.0,1.2190875884044454,0.901860887801468,4.039926451273969,4.054343040442796,0.0,0.0,0.8318019083619709,0.6292859044757568,#DIV/0!,#DIV/0!,0.6599378964422136,1.2395973800809093
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,0.0,0.0,0.8375407452049051,0.534432380425318,0.34116078246417825,1.6734281264635988,0.0,1.2800365868645902,0.6024835218817796,0.708283058097042,0.5609143056229546,0.6821057754704737,0.7446914457797261,0.9762633083205395
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",0.0,2.638477801268499,0.8447703499729058,1.169445774521348,1.758415952247174,1.491978638993928,3.4078487864501485,1.1223501462277858,0.6843493257034504,0.87528104786404,0.8269834992677447,1.8493757452650068,1.212454845070017,0.2716236238236803
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,0.816537666866231,0.897004398613996,0.9095731702868742,0.7878832896842242,1.68133708455538,0.9447943643117376,inf,1.856731286057262,1.0150400480776038,0.8814946081016962,8.794930875576036,0.4316286360954302,1.2843162095213332,1.1372144803088469
61,NYC-Manhattan Community District 10--Central Harlem PUMA,1.2324601126978456,0.0,0.9699515302332491,0.495676583420522,0.6637302587415058,1.5026523975453534,2.94532901468747,2.113611253529365,0.8297916605409507,0.5909943672929505,1.038876572066785,1.331084588905818,1.3410032213529683,0.3333117793488505
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,0.981010012805529,#DIV/0!,1.0283574397460498,0.7974331031575181,0.7057780416152943,0.8332164337872388,inf,1.3888902233004268,1.245519877155996,1.0099635438430774,0.0,2.3941299790356396,0.9928182735772607,1.1402776338366745
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,inf,0.0,1.1531223267750212,1.1844878661305824,4.587402834536127,1.0648125459446214,inf,2.6033279360172714,0.6060327159138025,0.5703923867758319,9.461577383655305,0.2241295348990889,0.9824582609352572,0.4115380675936189
64,Albany County (East Central)--Albany City PUMA,6.321995464852608,0.0,0.9055867002218233,1.0738214148817362,3.842924978681689,0.18669125603938366,13.611352892994246,0.0,0.6813889641288253,1.1253930271434205,1.8890781860542656,0.0,0.864911963347984,0.41682564802508876
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,0.0,0.0,1.1878033416486924,0.8267398647612018,1.4480604341312593,3.1385673821209683,#DIV/0!,1.2387206495501426,1.0285445501702948,0.7985150200438501,#DIV/0!,4.123853211009174,1.0748210800260247,1.0648635991101745
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,13.196405410413194,0.0,0.7181448634933087,1.3151298119964188,0.0,1.1478693181818183,0.0,0.0,0.744378278605786,0.26743715637391724,0.0,0.9196301564722618,0.9921909225742772,0.0
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",inf,0.12112020426663822,1.2042880173760047,0.9236973105153041,0.6015414074227308,0.6484601589792085,1.370180796306651,0.5555791338744901,0.7776377317384452,0.9916072712319252,0.6202728785357736,1.31771019451502,1.701473008905584,3.2720672137553732
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",#DIV/0!,0.0,1.0122562442950793,0.8932822754781956,2.41876163029337,0.6187652866840518,inf,1.0429794863846868,0.7132142635504504,0.8898454342164447,0.573434968331124,0.616060334464211,inf,4.641397849462366
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",0.0,0.5233772306759011,1.025409137861206,0.7854837067379683,2.0145667409614756,1.019751354290299,inf,0.43559923420548824,0.6052044638036985,0.9080910440346787,3.426289716433208,1.4577879200870552,0.41218924588257283,0.7951268833977383
70,Erie County (Northeast) PUMA,#DIV/0!,0.0,0.8781968993779006,1.3831844327499694,0.0,0.0,0.0,0.0,0.9425386619443464,1.3150946819128697,0.0,0.0,0.5871459694989106,0.6479228328708061
71,NYC-Manhattan Community District 11--East Harlem PUMA,inf,0.8342804683108961,1.011433428105997,0.5808126841011079,1.3130767221772357,0.39452953263552737,2.019484195046748,0.0,0.898513220889399,1.0174571568818174,0.23532390185030627,0.4336984125942502,1.3568084404879657,13.194243851386707
72,Orange County (Southeast) PUMA,8.696195935383011,5.719272192721927,1.1579970467623921,1.0915678845704817,22.804821664464995,1.526859909295664,22.885431171923873,0.0,1.2232401594603963,1.0060354839323213,#DIV/0!,1.1041678537737343,1.2572821932252536,0.8313184295867863
73,Westchester County (Southeast) PUMA,2.8039119212564034,inf,0.978914866963381,2.1946144430844554,1.446717828922614,0.6830555555555555,35.109122489049994,inf,1.3433908807868062,0.5509644794991068,0.15504835589941976,0.8315478631777541,0.6967229760769492,0.8559862499137334
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,4.387474656454156,0.7581269101308238,1.003671804917395,0.9790146686065048,2.991334994116635,0.8273439377643083,4.846431399704251,0.3799031741078597,0.8497313802380385,1.0612019794980327,2.9964644273044145,3.9787619249327184,2.0491227860662353,0.8518205762433515
75,Livingston & Wyoming Counties PUMA,0.0,0.0,1.092926778676623,1.3756578210726682,0.0,0.0,#DIV/0!,0.0,1.0346464884958844,0.6099009108777229,#DIV/0!,#DIV/0!,1.1013876040703052,1.3766041461006908
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,0.0,0.0,1.2144629563984404,0.6812867821528072,7.065083553210203,2.806245389722154,#DIV/0!,0.0,1.418546184291498,1.3217959111724342,inf,#DIV/0!,1.0035372208593523,1.1900560314291235
77,Westchester County (Southwest)--Yonkers City PUMA,1.1739196407214654,0.9209770662600849,1.032396367119224,0.9059156332027072,0.899145053280256,1.241887026211444,1.4746761802097765,2.434547207514852,0.9354132339869822,0.698303872224003,1.9027818496389006,0.8674502467035501,0.991913817911159,0.7214718894463853
78,Erie County (North Central) PUMA,0.0,0.0,0.7936705609126266,1.310726484217366,3.7357860981105913,0.0,0.0,0.0,0.8124770952498638,0.7428061736278948,1.759404792970149,0.0,0.5199008736325242,0.6279866064670104
79,Saratoga County (South & Central) PUMA,5.244588606586121,0.0,1.244668583944079,1.4097346573335505,0.0,0.0,0.0,0.0,1.0357896041098376,0.7205308186055082,0.0,0.0,0.7934867243001031,0.464058056291066
80,Suffolk County (South Central)--Brookhaven Town (South) PUMA,#DIV/0!,0.0,1.165146578227505,0.9181440223428228,0.0,1.4872206531132306,#DIV/0!,0.0,0.9704965076814136,0.7255169878713348,0.0,3.0190212150433946,1.0303866984930519,0.8144235215891354
81,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",8.59620125150117,0.0,1.1341941408601037,1.2069915392181136,6.4120100619114275,0.5060269567490429,4.637623956845131,0.0,0.7653704382844123,1.1588291354933107,3.94875,#DIV/0!,1.000473602205283,1.1779799730406315
82,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,0.0,0.0,1.159226953993501,1.3406069496653525,2.677075569155127,0.0,0.0,0.0,0.5434682768422023,1.0711712071885346,#DIV/0!,#DIV/0!,0.7818075189253694,1.2913683920704846
83,Niagara County (North & East) PUMA,inf,0.0,#DIV/0!,1.4568287037037038,0.0,0.0,#DIV/0!,0.0,0.0,1.3327283279610764,#DIV/0!,#DIV/0!,1.045181876196554,1.2979645822617387
84,Monroe County (Central)--Rochester City (East) PUMA,0.0,0.0,1.148108493932905,1.3873837556818973,1.8735030214246478,0.6358879236960222,0.0,1.5364733665704537,0.9641122747477262,0.6139775220621201,0.0,0.8932455398409452,0.6873285169250751,1.1108338357403196
85,Warren & Washington Counties PUMA,0.0,0.0,1.3515541264737405,1.4295321356518398,10.845794150958472,0.2829011597715077,0.0,0.6186627043090639,0.6919853177993212,1.11521432027339,10.535211267605634,0.0,0.3243530603128044,1.2730341503157037
86,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,1.87657885200655,0.0,1.1561593263076617,1.6312450436161774,0.7666822207732524,1.414757967059079,0.8341523341523343,2.745725806451613,1.3119733348982319,0.8034779313955944,1.7651651074373105,0.0,0.91564738008041,1.0363033284964507
87,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,4.297584297936588,0.5191109264644787,0.8105969208899829,0.8461443286862281,2.654109775873803,0.5376956185212045,0.0,0.584774107086123,1.2171568647403361,1.1236204056500088,1.7871715662977796,0.6844735853605207,2.675226866560596,1.4810674988921468
88,Onondaga County (Central)--Syracuse City PUMA,#DIV/0!,3.4482546167939425,1.226596157684866,0.8652931191776888,4.343370978284552,1.6453224136243454,1.669030374524677,0.0,1.0117363485509925,1.171789755637811,13.258848876577408,0.8612613990479285,0.27163642916268527,0.821115934331969
89,Westchester County (Central)--White Plains City PUMA,0.9184228660762956,0.0,1.010812078142457,0.5804078239035796,2.998193846019933,0.6535610693502769,0.6345793208703685,5.463632734530938,1.0474626755294059,0.910922277436307,0.6811188688749357,4.179608749352563,0.8005589333155531,0.8831640055610521
90,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,1.0558804347826085,0.0,0.9112907788577959,0.741941778537788,1.3089832842771918,0.9476794953126834,0.0,1.3997561045097773,0.9022948205684558,0.4814084733130382,2.2635484468245712,1.1110788836841972,1.385155006864862,1.2453945607019787
91,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",inf,0.0,0.9815371716338168,1.0685012075087414,2.801053475840294,0.970976365944897,2.4924946677934727,0.5526259910718166,0.834162021576961,1.2073587042949612,2.862616310892173,1.6431972677416178,3.242861609772921,4.96804173229226
92,Cattaraugus & Allegany Counties PUMA,0.0,19.076326002587322,1.167510455646049,#DIV/0!,4.929089266970977,3.2846633516283124,0.0,#DIV/0!,1.3723837668414982,0.0,0.0,#DIV/0!,0.8476662591482306,1.3551327784383669
93,Oswego County PUMA,133.05962732919252,0.0,1.2292865362485614,1.3849864070858546,7.880242531795326,1.9566573319755605,0.0,0.0,1.4510038496427702,0.4984759084506209,#DIV/0!,4.923708920187793,1.1329727293216139,0.8121714129244249
94,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",1.8535881856943275,0.4849449625207465,0.8452658128614359,0.9600127233755517,4.097635957792208,1.1749546680923844,0.0,1.722172289407159,0.806355391489153,0.831205970327476,5.528767562633377,2.467809908527704,1.0603940990516334,1.0146421630481643
