,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
43,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",2271,1375,569,806,636,274,362,260,260,0
44,Onondaga County (Central)--Syracuse City PUMA,680,156,0,156,293,95,198,231,0,231
45,Suffolk County (South Central)--Brookhaven Town (South) PUMA,3062,649,0,649,2081,1166,915,332,332,0
46,Suffolk County (Northwest)--Smithtown Town PUMA,1592,569,348,221,767,568,199,256,102,154
47,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,155,77,77,0,78,78,0,0,0,0
48,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,2635,959,291,668,1209,843,366,467,250,217
49,Onondaga County (Central)--Syracuse City (Outer) PUMA,525,217,217,0,308,0,308,0,0,0
50,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,601,195,159,36,406,272,134,0,0,0
51,Erie County (West Central)--Buffalo City (West) PUMA,3846,892,135,757,1994,794,1200,960,746,214
52,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",198,9,9,0,175,59,116,14,14,0
53,Monroe County (North & West) PUMA,575,135,135,0,355,112,243,85,0,85
54,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,882,219,0,219,356,237,119,307,47,260
55,Cattaraugus & Allegany Counties PUMA,226,0,0,0,142,0,142,84,0,84
56,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",602,419,0,419,183,120,63,0,0,0
57,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,389,0,0,0,170,53,117,219,219,0
58,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,1976,287,0,287,1562,1084,478,127,127,0
59,Jefferson & Lewis Counties PUMA,945,0,0,0,782,456,326,163,163,0
60,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,3844,910,270,640,2610,1345,1265,324,273,51
61,Schenectady County--Schenectady City PUMA,2154,160,160,0,1566,915,651,428,0,428
62,NYC-Queens Community District 1--Astoria & Long Island City PUMA,3320,1021,539,482,2059,1003,1056,240,88,152
63,Suffolk County (North Central)--Brookhaven Town (North) PUMA,1021,808,56,752,213,81,132,0,0,0
64,Fulton & Montgomery Counties PUMA,2069,229,0,229,1494,584,910,346,346,0
65,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,3932,278,137,141,2152,1163,989,1502,586,916
