,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
93,Oswego County PUMA,190,66,124,66,66,0,124,0,124,82,29,53,29,29,0,53,0,53,108,37,71,37,37,0,71,0,71,0,0,0,0,0,0,0,0,0
94,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",17399,8163,9236,14786,6582,8204,2613,1581,1032,4741,1626,3115,4165,1477,2688,576,149,427,11149,5692,5457,9429,4519,4910,1720,1173,547,1509,845,664,1192,586,606,317,259,58
95,Monroe County (East) PUMA,1396,882,514,912,398,514,484,484,0,695,449,246,644,398,246,51,51,0,268,0,268,268,0,268,0,0,0,433,433,0,0,0,0,433,433,0
96,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,4554,2395,2159,4375,2216,2159,179,179,0,3026,1601,1425,2847,1422,1425,179,179,0,1113,654,459,1113,654,459,0,0,0,415,140,275,415,140,275,0,0,0
97,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",2379,1293,1086,2235,1263,972,144,30,114,1679,776,903,1649,746,903,30,30,0,700,517,183,586,517,69,114,0,114,0,0,0,0,0,0,0,0,0
98,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",6961,3719,3242,5098,2659,2439,1863,1060,803,2807,1312,1495,2437,996,1441,370,316,54,3090,1715,1375,2046,1285,761,1044,430,614,1064,692,372,615,378,237,449,314,135
99,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",839,197,642,839,197,642,0,0,0,182,94,88,182,94,88,0,0,0,326,33,293,326,33,293,0,0,0,331,70,261,331,70,261,0,0,0
100,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",4361,2287,2074,3459,1976,1483,902,311,591,1441,558,883,1071,493,578,370,65,305,2461,1380,1081,1974,1179,795,487,201,286,459,349,110,414,304,110,45,45,0
101,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",3532,1335,2197,2894,1335,1559,638,0,638,3017,943,2074,2379,943,1436,638,0,638,515,392,123,515,392,123,0,0,0,0,0,0,0,0,0,0,0,0
102,Chautauqua County PUMA,367,292,75,367,292,75,0,0,0,153,78,75,153,78,75,0,0,0,214,214,0,214,214,0,0,0,0,0,0,0,0,0,0,0,0,0
