,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
115,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",69,0,0,0,30,30,0,39,0,39
116,Oneida County (Central)--Greater Utica & Rome Cities PUMA,1355,0,0,0,706,220,486,649,201,448
117,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",6134,206,117,89,4141,1805,2336,1787,569,1218
118,Erie County (Central) PUMA,820,94,0,94,390,264,126,336,245,91
119,Livingston & Wyoming Counties PUMA,452,158,158,0,294,294,0,0,0,0
120,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,174,0,0,0,174,90,84,0,0,0
121,Niagara County (North & East) PUMA,163,0,0,0,163,0,163,0,0,0
122,Westchester County (Southwest)--Yonkers City PUMA,2111,114,44,70,1693,1142,551,304,141,163
123,Sullivan & Ulster (West) Counties PUMA,899,30,30,0,474,474,0,395,69,326
124,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",297,222,44,178,75,75,0,0,0,0
125,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,459,0,0,0,459,182,277,0,0,0
126,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",2649,415,415,0,584,123,461,1650,1399,251
127,NYC-Manhattan Community District 11--East Harlem PUMA,4577,219,219,0,2846,0,2846,1512,783,729
128,Westchester County (Southeast) PUMA,71,0,0,0,0,0,0,71,71,0
129,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,289,0,0,0,281,70,211,8,8,0
130,Erie County (Northeast) PUMA,406,0,0,0,135,0,135,271,271,0
131,Monroe County (Central)--Greece & Gates Towns PUMA,752,164,0,164,0,0,0,588,588,0
132,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,231,0,0,0,39,0,39,192,143,49
133,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",2300,501,317,184,1491,552,939,308,308,0
134,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",246,246,0,246,0,0,0,0,0,0
135,Albany County (East Central)--Albany City PUMA,802,105,0,105,369,119,250,328,328,0
136,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",637,0,0,0,637,428,209,0,0,0
137,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,1769,194,0,194,1062,548,514,513,170,343
138,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,847,317,241,76,196,51,145,334,265,69
139,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",202,0,0,0,100,0,100,102,102,0
140,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",4399,361,0,361,1458,781,677,2580,1144,1436
141,NYC-Manhattan Community District 8--Upper East Side PUMA,1042,0,0,0,1042,362,680,0,0,0
142,Orange County (Northeast)--Greater Newburgh City PUMA,1467,124,0,124,370,166,204,973,463,510
143,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",1362,337,54,283,733,440,293,292,101,191
144,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,1022,72,72,0,871,155,716,79,79,0
