,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
68,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,6125,4061,2064,5767,3703,2064,358,358,0,2776,1703,1073,2776,1703,1073,0,0,0,2384,1750,634,2311,1677,634,73,73,0,965,608,357,680,323,357,285,285,0
69,NYC-Queens Community District 1--Astoria & Long Island City PUMA,19684,10836,8848,18088,10143,7945,1596,693,903,10642,5785,4857,10162,5439,4723,480,346,134,7806,4329,3477,6926,4133,2793,880,196,684,1236,722,514,1000,571,429,236,151,85
70,Jefferson & Lewis Counties PUMA,938,549,389,938,549,389,0,0,0,609,261,348,609,261,348,0,0,0,329,288,41,329,288,41,0,0,0,0,0,0,0,0,0,0,0,0
71,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,11514,6736,4778,11314,6536,4778,200,200,0,5796,2443,3353,5773,2420,3353,23,23,0,4294,3122,1172,4198,3026,1172,96,96,0,1424,1171,253,1343,1090,253,81,81,0
72,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,12593,7114,5479,11349,6104,5245,1244,1010,234,2604,1141,1463,2604,1141,1463,0,0,0,6899,3241,3658,5872,2448,3424,1027,793,234,3090,2732,358,2873,2515,358,217,217,0
73,Orange County (Northeast)--Greater Newburgh City PUMA,4514,2704,1810,4240,2430,1810,274,274,0,1769,567,1202,1495,293,1202,274,274,0,2445,1837,608,2445,1837,608,0,0,0,300,300,0,300,300,0,0,0,0
74,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",7582,4735,2847,6587,3877,2710,995,858,137,3163,1500,1663,3012,1349,1663,151,151,0,2889,2106,783,2605,1822,783,284,284,0,1530,1129,401,970,706,264,560,423,137
75,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",12811,8581,4230,12152,7990,4162,659,591,68,4059,2758,1301,3917,2616,1301,142,142,0,6719,4321,2398,6529,4131,2398,190,190,0,2033,1502,531,1706,1243,463,327,259,68
76,Erie County (Central) PUMA,2291,1707,584,2010,1472,538,281,235,46,956,642,314,956,642,314,0,0,0,1335,1065,270,1054,830,224,281,235,46,0,0,0,0,0,0,0,0,0
77,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",15928,8621,7307,14009,7604,6405,1919,1017,902,7524,3330,4194,7067,3330,3737,457,0,457,6650,4176,2474,5620,3497,2123,1030,679,351,1754,1115,639,1322,777,545,432,338,94
78,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",21894,9704,12190,20459,8664,11795,1435,1040,395,11864,4286,7578,11455,4072,7383,409,214,195,8822,4423,4399,7934,3735,4199,888,688,200,1208,995,213,1070,857,213,138,138,0
79,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",9346,5804,3542,8469,5349,3120,877,455,422,4355,2305,2050,4278,2228,2050,77,77,0,3941,2958,983,3567,2867,700,374,91,283,1050,541,509,624,254,370,426,287,139
80,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,16345,8540,7805,14738,7495,7243,1607,1045,562,1952,836,1116,1886,770,1116,66,66,0,11548,6140,5408,10532,5541,4991,1016,599,417,2845,1564,1281,2320,1184,1136,525,380,145
81,Onondaga County (Central)--Syracuse City (Outer) PUMA,2414,1318,1096,2414,1318,1096,0,0,0,1639,1012,627,1639,1012,627,0,0,0,685,216,469,685,216,469,0,0,0,90,90,0,90,90,0,0,0,0
82,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",11250,5981,5269,10891,5622,5269,359,359,0,10295,5160,5135,10295,5160,5135,0,0,0,955,821,134,596,462,134,359,359,0,0,0,0,0,0,0,0,0,0
83,"Chenango, Delaware & Broome (East) Counties PUMA",719,273,446,719,273,446,0,0,0,165,65,100,165,65,100,0,0,0,478,132,346,478,132,346,0,0,0,76,76,0,76,76,0,0,0,0
84,Orange County (Northwest) PUMA,4866,2759,2107,4375,2425,1950,491,334,157,1393,688,705,1393,688,705,0,0,0,3409,2071,1338,2918,1737,1181,491,334,157,64,0,64,64,0,64,0,0,0
85,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,9882,5337,4545,8934,4482,4452,948,855,93,4251,1750,2501,4096,1595,2501,155,155,0,3518,2262,1256,2930,1767,1163,588,495,93,2113,1325,788,1908,1120,788,205,205,0
86,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,6522,3869,2653,6180,3630,2550,342,239,103,4784,2499,2285,4713,2499,2214,71,0,71,1375,1007,368,1343,1007,336,32,0,32,363,363,0,124,124,0,239,239,0
87,Dutchess County (North & East) PUMA,2625,1803,822,2109,1461,648,516,342,174,917,303,614,687,247,440,230,56,174,869,661,208,869,661,208,0,0,0,839,839,0,553,553,0,286,286,0
