,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NRB_mf_t,Total_NRB_m,Total_NRB_f,Total_RB_mf_t,Total_RB_m,Total_RB_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NRB_mf_t,BABS_NRB_m,BABS_NRB_f,BABS_RB_mf_t,BABS_RB_m,BABS_RB_f,Total_HS,Total_HS_m,Total_HS_f,HS_NRB_mf_t,HS_NRB_m,HS_NRB_f,HS_RB_mf_t,HS_RB_m,HS_RB_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NRB_mf_t,HSINC_NRB_m,HSINC_NRB_f,HSINC_RB_mf_t,HSINC_RB_m,HSINC_RB_f
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,23852.0,13620.0,10232.0,18189.0,11563.0,6626.0,5663.0,2057.0,3606.0,3988.0,1366.0,2622.0,3012.0,1234.0,1778.0,976.0,132.0,844.0,14557.0,8596.0,5961.0,11502.0,7446.0,4056.0,3055.0,1150.0,1905.0,5307.0,3658.0,1649.0,3675.0,2883.0,792.0,1632.0,775.0,857.0
45,Saratoga County (Outer) PUMA,82.0,82.0,0.0,82.0,82.0,0.0,0.0,0.0,0.0,82.0,82.0,0.0,82.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",8394.0,3071.0,5323.0,7289.0,2822.0,4467.0,1105.0,249.0,856.0,1988.0,699.0,1289.0,1548.0,699.0,849.0,440.0,0.0,440.0,4409.0,1502.0,2907.0,4146.0,1502.0,2644.0,263.0,0.0,263.0,1997.0,870.0,1127.0,1595.0,621.0,974.0,402.0,249.0,153.0
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",16634.0,7078.0,9556.0,13252.0,5188.0,8064.0,3382.0,1890.0,1492.0,6957.0,2456.0,4501.0,6033.0,2047.0,3986.0,924.0,409.0,515.0,8634.0,4039.0,4595.0,6643.0,2830.0,3813.0,1991.0,1209.0,782.0,1043.0,583.0,460.0,576.0,311.0,265.0,467.0,272.0,195.0
48,Wayne & Seneca Counties PUMA,54.0,54.0,0.0,0.0,0.0,0.0,54.0,54.0,0.0,54.0,54.0,0.0,0.0,0.0,0.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Schenectady County--Schenectady City PUMA,482.0,275.0,207.0,440.0,233.0,207.0,42.0,42.0,0.0,482.0,275.0,207.0,440.0,233.0,207.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,10666.0,5546.0,5120.0,8405.0,4494.0,3911.0,2261.0,1052.0,1209.0,5215.0,2508.0,2707.0,4306.0,1967.0,2339.0,909.0,541.0,368.0,4305.0,2631.0,1674.0,3096.0,2191.0,905.0,1209.0,440.0,769.0,1146.0,407.0,739.0,1003.0,336.0,667.0,143.0,71.0,72.0
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,1994.0,844.0,1150.0,1549.0,763.0,786.0,445.0,81.0,364.0,725.0,336.0,389.0,630.0,336.0,294.0,95.0,0.0,95.0,403.0,223.0,180.0,377.0,223.0,154.0,26.0,0.0,26.0,866.0,285.0,581.0,542.0,204.0,338.0,324.0,81.0,243.0
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,4800.0,3063.0,1737.0,4037.0,2453.0,1584.0,763.0,610.0,153.0,349.0,0.0,349.0,349.0,0.0,349.0,0.0,0.0,0.0,3913.0,3029.0,884.0,3150.0,2419.0,731.0,763.0,610.0,153.0,538.0,34.0,504.0,538.0,34.0,504.0,0.0,0.0,0.0
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",15269.0,7072.0,8197.0,12942.0,5876.0,7066.0,2327.0,1196.0,1131.0,10752.0,4552.0,6200.0,9399.0,4196.0,5203.0,1353.0,356.0,997.0,4203.0,2300.0,1903.0,3376.0,1607.0,1769.0,827.0,693.0,134.0,314.0,220.0,94.0,167.0,73.0,94.0,147.0,147.0,0.0
