,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
78,Erie County (North Central) PUMA,4150,2181,1969,3756,2044,1712,394,137,257,2922,1460,1462,2731,1323,1408,191,137,54,852,560,292,649,560,89,203,0,203,376,161,215,376,161,215,0,0,0
79,Saratoga County (South & Central) PUMA,2097,1457,640,1683,1457,226,414,0,414,1523,1090,433,1188,1090,98,335,0,335,404,325,79,325,325,0,79,0,79,170,42,128,170,42,128,0,0,0
80,Suffolk County (South Central)--Brookhaven Town (South) PUMA,6131,3300,2831,5815,3224,2591,316,76,240,1199,756,443,1123,680,443,76,76,0,2706,959,1747,2466,959,1507,240,0,240,2226,1585,641,2226,1585,641,0,0,0
81,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",11875,6462,5413,9880,5647,4233,1995,815,1180,5213,2679,2534,4141,1864,2277,1072,815,257,5478,3288,2190,4838,3288,1550,640,0,640,1184,495,689,901,495,406,283,0,283
82,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,669,279,390,539,204,335,130,75,55,88,88,0,88,88,0,0,0,0,306,191,115,176,116,60,130,75,55,275,0,275,275,0,275,0,0,0
83,Niagara County (North & East) PUMA,419,295,124,419,295,124,0,0,0,294,201,93,294,201,93,0,0,0,98,78,20,98,78,20,0,0,0,27,16,11,27,16,11,0,0,0
84,Monroe County (Central)--Rochester City (East) PUMA,1197,440,757,860,356,504,337,84,253,648,360,288,377,276,101,271,84,187,243,80,163,177,80,97,66,0,66,306,0,306,306,0,306,0,0,0
85,Warren & Washington Counties PUMA,1117,547,570,922,377,545,195,170,25,686,384,302,491,214,277,195,170,25,247,129,118,247,129,118,0,0,0,184,34,150,184,34,150,0,0,0
86,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,6894,2696,4198,6394,2696,3698,500,0,500,4018,1407,2611,4018,1407,2611,0,0,0,2185,904,1281,1685,904,781,500,0,500,691,385,306,691,385,306,0,0,0
87,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,6367,4132,2235,5077,3525,1552,1290,607,683,3142,1956,1186,2962,1889,1073,180,67,113,2402,1500,902,1535,1203,332,867,297,570,823,676,147,580,433,147,243,243,0
88,Onondaga County (Central)--Syracuse City PUMA,3877,2082,1795,3219,1808,1411,658,274,384,2444,1163,1281,2376,1095,1281,68,68,0,1144,796,348,732,646,86,412,150,262,289,123,166,111,67,44,178,56,122
89,Westchester County (Central)--White Plains City PUMA,15846,9197,6649,13421,8266,5155,2425,931,1494,8352,4575,3777,7544,4470,3074,808,105,703,6132,4100,2032,4946,3319,1627,1186,781,405,1362,522,840,931,477,454,431,45,386
90,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,6566,3297,3269,5645,3125,2520,921,172,749,3249,1423,1826,3156,1423,1733,93,0,93,3122,1792,1330,2294,1620,674,828,172,656,195,82,113,195,82,113,0,0,0
91,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",13257,7386,5871,10580,6332,4248,2677,1054,1623,3075,1350,1725,2532,1139,1393,543,211,332,7552,4065,3487,6184,3581,2603,1368,484,884,2630,1971,659,1864,1612,252,766,359,407
92,Cattaraugus & Allegany Counties PUMA,308,205,103,233,165,68,75,40,35,240,205,35,165,165,0,75,40,35,68,0,68,68,0,68,0,0,0,0,0,0,0,0,0,0,0,0
93,Oswego County PUMA,377,62,315,268,62,206,109,0,109,0,0,0,0,0,0,0,0,0,377,62,315,268,62,206,109,0,109,0,0,0,0,0,0,0,0,0
94,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",31093,16454,14639,26259,15690,10569,4834,764,4070,14374,6871,7503,12489,6531,5958,1885,340,1545,14961,8620,6341,12464,8196,4268,2497,424,2073,1758,963,795,1306,963,343,452,0,452
95,Monroe County (East) PUMA,3193,1515,1678,2282,1378,904,911,137,774,1790,945,845,1640,945,695,150,0,150,1164,570,594,642,433,209,522,137,385,239,0,239,0,0,0,239,0,239
96,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,17282,8882,8400,14280,8685,5595,3002,197,2805,6364,3352,3012,5541,3352,2189,823,0,823,8903,3935,4968,6724,3738,2986,2179,197,1982,2015,1595,420,2015,1595,420,0,0,0
97,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",12642,6512,6130,10304,5975,4329,2338,537,1801,5979,2764,3215,5034,2533,2501,945,231,714,5965,3748,2217,4813,3442,1371,1152,306,846,698,0,698,457,0,457,241,0,241
98,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",10623,6272,4351,7965,5109,2856,2658,1163,1495,4400,2567,1833,3834,2382,1452,566,185,381,4985,2732,2253,3219,1991,1228,1766,741,1025,1238,973,265,912,736,176,326,237,89
99,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",5037,2865,2172,4431,2865,1566,606,0,606,1864,1611,253,1729,1611,118,135,0,135,2558,1072,1486,2087,1072,1015,471,0,471,615,182,433,615,182,433,0,0,0
100,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",18213,9188,9025,15934,8826,7108,2279,362,1917,10880,4573,6307,9272,4389,4883,1608,184,1424,6103,4013,2090,5508,3835,1673,595,178,417,1230,602,628,1154,602,552,76,0,76
101,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",12555,7226,5329,11250,5981,5269,1305,1245,60,10870,5735,5135,10295,5160,5135,575,575,0,1625,1491,134,955,821,134,670,670,0,60,0,60,0,0,0,60,0,60
102,Chautauqua County PUMA,860,462,398,626,387,239,234,75,159,419,180,239,419,180,239,0,0,0,227,227,0,152,152,0,75,75,0,214,55,159,55,55,0,159,0,159
