,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
83,"Chenango, Delaware & Broome (East) Counties PUMA",797,333,464,726,333,393,71,0,71,212,94,118,141,94,47,71,0,71,509,163,346,509,163,346,0,0,0,76,76,0,76,76,0,0,0,0
84,Orange County (Northwest) PUMA,6564,3055,3509,6550,3055,3495,14,0,14,1468,688,780,1468,688,780,0,0,0,4965,2367,2598,4951,2367,2584,14,0,14,131,0,131,131,0,131,0,0,0
85,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,12524,6181,6343,12183,6075,6108,341,106,235,4583,1848,2735,4583,1848,2735,0,0,0,5189,2856,2333,4848,2750,2098,341,106,235,2752,1477,1275,2752,1477,1275,0,0,0
86,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,7044,3933,3111,6860,3933,2927,184,0,184,5287,2606,2681,5103,2606,2497,184,0,184,1394,964,430,1394,964,430,0,0,0,363,363,0,363,363,0,0,0,0
87,Dutchess County (North & East) PUMA,3015,1988,1027,2840,1813,1027,175,175,0,1144,488,656,969,313,656,175,175,0,951,661,290,951,661,290,0,0,0,920,839,81,920,839,81,0,0,0
88,Putnam County PUMA,4500,2194,2306,4461,2194,2267,39,0,39,1984,734,1250,1945,734,1211,39,0,39,2079,1057,1022,2079,1057,1022,0,0,0,437,403,34,437,403,34,0,0,0
89,Albany County (Outside Albany City) PUMA,6889,3684,3205,6724,3519,3205,165,165,0,4429,2365,2064,4264,2200,2064,165,165,0,2222,1134,1088,2222,1134,1088,0,0,0,238,185,53,238,185,53,0,0,0
90,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",4862,2796,2066,4530,2698,1832,332,98,234,1962,1709,253,1864,1611,253,98,98,0,2285,905,1380,2051,905,1146,234,0,234,615,182,433,615,182,433,0,0,0
91,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,33563,21121,12442,32745,20447,12298,818,674,144,11218,7102,4116,10629,6579,4050,589,523,66,16617,9689,6928,16388,9538,6850,229,151,78,5728,4330,1398,5728,4330,1398,0,0,0
92,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",10447,6179,4268,10304,6179,4125,143,0,143,4260,2567,1693,4260,2567,1693,0,0,0,4949,2639,2310,4806,2639,2167,143,0,143,1238,973,265,1238,973,265,0,0,0
93,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,2123,1579,544,2123,1579,544,0,0,0,1335,987,348,1335,987,348,0,0,0,497,362,135,497,362,135,0,0,0,291,230,61,291,230,61,0,0,0
94,Suffolk County (Northwest)--Huntington Town (South) PUMA,6712,3478,3234,6537,3303,3234,175,175,0,5243,2743,2500,5068,2568,2500,175,175,0,1014,280,734,1014,280,734,0,0,0,455,455,0,455,455,0,0,0,0
95,Oswego County PUMA,377,62,315,377,62,315,0,0,0,0,0,0,0,0,0,0,0,0,377,62,315,377,62,315,0,0,0,0,0,0,0,0,0,0,0,0
96,Rensselaer County--Troy City PUMA,3145,1913,1232,3046,1913,1133,99,0,99,2667,1747,920,2667,1747,920,0,0,0,344,166,178,344,166,178,0,0,0,134,0,134,35,0,35,99,0,99
97,Saratoga County (Outer) PUMA,1374,627,747,1374,627,747,0,0,0,707,573,134,707,573,134,0,0,0,667,54,613,667,54,613,0,0,0,0,0,0,0,0,0,0,0,0
98,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,733,279,454,605,279,326,128,0,128,88,88,0,88,88,0,0,0,0,370,191,179,306,191,115,64,0,64,275,0,275,211,0,211,64,0,64
99,Monroe County (East) PUMA,3127,1515,1612,3001,1515,1486,126,0,126,1790,945,845,1790,945,845,0,0,0,1098,570,528,972,570,402,126,0,126,239,0,239,239,0,239,0,0,0
