,puma,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
120,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,12373.0,6444.0,5929.0,3530.0,2027.0,1503.0,8843.0,4417.0,4426.0
121,Broome (Outer West) & Tioga Counties PUMA,97.0,97.0,0.0,0.0,0.0,0.0,97.0,97.0,0.0
122,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",483.0,181.0,302.0,0.0,0.0,0.0,483.0,181.0,302.0
123,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",653.0,0.0,653.0,55.0,0.0,55.0,598.0,0.0,598.0
124,Orange County (Northeast)--Greater Newburgh City PUMA,558.0,336.0,222.0,304.0,185.0,119.0,254.0,151.0,103.0
125,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",1089.0,423.0,666.0,0.0,0.0,0.0,1089.0,423.0,666.0
126,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,1675.0,602.0,1073.0,916.0,212.0,704.0,759.0,390.0,369.0
127,Onondaga County (North) PUMA,112.0,112.0,0.0,112.0,112.0,0.0,0.0,0.0,0.0
128,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,484.0,69.0,415.0,157.0,69.0,88.0,327.0,0.0,327.0
129,Monroe County (North & West) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,Sullivan & Ulster (West) Counties PUMA,621.0,260.0,361.0,332.0,228.0,104.0,289.0,32.0,257.0
131,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,625.0,216.0,409.0,312.0,216.0,96.0,313.0,0.0,313.0
132,Suffolk County (Northwest)--Huntington Town (North) PUMA,2528.0,1351.0,1177.0,1441.0,763.0,678.0,1087.0,588.0,499.0
133,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",4473.0,2653.0,1820.0,841.0,282.0,559.0,3632.0,2371.0,1261.0
134,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",1912.0,611.0,1301.0,873.0,242.0,631.0,1039.0,369.0,670.0
135,Monroe County (Central)--Rochester City (West) PUMA,1744.0,791.0,953.0,0.0,0.0,0.0,1744.0,791.0,953.0
136,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,2985.0,1719.0,1266.0,1351.0,722.0,629.0,1634.0,997.0,637.0
137,Suffolk County (Central)--Islip Town (Northwest) PUMA,7855.0,4043.0,3812.0,3418.0,1604.0,1814.0,4437.0,2439.0,1998.0
138,Putnam County PUMA,518.0,422.0,96.0,251.0,251.0,0.0,267.0,171.0,96.0
139,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,8246.0,3434.0,4812.0,1776.0,379.0,1397.0,6470.0,3055.0,3415.0
140,Nassau County (Central)--Hempstead Town (East Central) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,Suffolk County (Northwest)--Huntington Town (South) PUMA,649.0,212.0,437.0,347.0,0.0,347.0,302.0,212.0,90.0
142,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",13356.0,5866.0,7490.0,251.0,64.0,187.0,13105.0,5802.0,7303.0
143,Nassau County (Central)--Hempstead Town (Northeast) PUMA,405.0,0.0,405.0,405.0,0.0,405.0,0.0,0.0,0.0
144,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,5326.0,1458.0,3868.0,249.0,106.0,143.0,5077.0,1352.0,3725.0
145,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",2399.0,931.0,1468.0,162.0,0.0,162.0,2237.0,931.0,1306.0
146,Capital Region,1649.0,574.0,1075.0,795.0,364.0,431.0,854.0,210.0,644.0
147,Central NY,2153.0,1143.0,1010.0,875.0,467.0,408.0,1278.0,676.0,602.0
148,Finger Lakes,5321.0,1499.0,3822.0,1917.0,337.0,1580.0,3404.0,1162.0,2242.0
149,Long Island,44649.0,21856.0,22793.0,19763.0,9461.0,10302.0,24886.0,12395.0,12491.0
150,Mid-Hudson,27592.0,14234.0,13358.0,6109.0,2929.0,3180.0,21483.0,11305.0,10178.0
151,Mohawk Valley,1608.0,536.0,1072.0,594.0,300.0,294.0,1014.0,236.0,778.0
152,New York City,317634.0,146485.0,171149.0,55099.0,22513.0,32586.0,262535.0,123972.0,138563.0
153,North Country,142.0,0.0,142.0,47.0,0.0,47.0,95.0,0.0,95.0
154,Southern Tier,554.0,277.0,277.0,123.0,0.0,123.0,431.0,277.0,154.0
155,Western NY,3590.0,1343.0,2247.0,1378.0,722.0,656.0,2212.0,621.0,1591.0
