,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",14682.0,7684.0,6998.0,1493.0,885.0,608.0,13189.0,6799.0,6390.0,3336.0,2104.0,1232.0,1100.0,534.0,566.0,2236.0,1570.0,666.0,8216.0,4451.0,3765.0,351.0,351.0,0.0,7865.0,4100.0,3765.0,3130.0,1129.0,2001.0,42.0,0.0,42.0,3088.0,1129.0,1959.0
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,32538.0,17695.0,14843.0,7206.0,2835.0,4371.0,25332.0,14860.0,10472.0,10481.0,5752.0,4729.0,2830.0,935.0,1895.0,7651.0,4817.0,2834.0,16878.0,8609.0,8269.0,3450.0,1384.0,2066.0,13428.0,7225.0,6203.0,5179.0,3334.0,1845.0,926.0,516.0,410.0,4253.0,2818.0,1435.0
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",7592.0,2705.0,4887.0,2360.0,999.0,1361.0,5232.0,1706.0,3526.0,6307.0,1998.0,4309.0,2259.0,958.0,1301.0,4048.0,1040.0,3008.0,587.0,391.0,196.0,41.0,41.0,0.0,546.0,350.0,196.0,698.0,316.0,382.0,60.0,0.0,60.0,638.0,316.0,322.0
41,Suffolk County (Central)--Islip Town (East) PUMA,3883.0,1888.0,1995.0,1335.0,737.0,598.0,2548.0,1151.0,1397.0,2476.0,1213.0,1263.0,972.0,544.0,428.0,1504.0,669.0,835.0,1244.0,605.0,639.0,200.0,123.0,77.0,1044.0,482.0,562.0,163.0,70.0,93.0,163.0,70.0,93.0,0.0,0.0,0.0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",12141.0,5828.0,6313.0,1210.0,390.0,820.0,10931.0,5438.0,5493.0,3242.0,1131.0,2111.0,436.0,223.0,213.0,2806.0,908.0,1898.0,8566.0,4564.0,4002.0,580.0,117.0,463.0,7986.0,4447.0,3539.0,333.0,133.0,200.0,194.0,50.0,144.0,139.0,83.0,56.0
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",48009.0,24313.0,23696.0,21852.0,10515.0,11337.0,26157.0,13798.0,12359.0,17960.0,8058.0,9902.0,10111.0,4144.0,5967.0,7849.0,3914.0,3935.0,24250.0,13060.0,11190.0,9710.0,5240.0,4470.0,14540.0,7820.0,6720.0,5799.0,3195.0,2604.0,2031.0,1131.0,900.0,3768.0,2064.0,1704.0
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,42803.0,23545.0,19258.0,14735.0,7098.0,7637.0,28068.0,16447.0,11621.0,8944.0,4117.0,4827.0,5443.0,2617.0,2826.0,3501.0,1500.0,2001.0,24771.0,13252.0,11519.0,7438.0,3499.0,3939.0,17333.0,9753.0,7580.0,9088.0,6176.0,2912.0,1854.0,982.0,872.0,7234.0,5194.0,2040.0
45,Saratoga County (Outer) PUMA,2283.0,1077.0,1206.0,2095.0,992.0,1103.0,188.0,85.0,103.0,1855.0,1010.0,845.0,1770.0,925.0,845.0,85.0,85.0,0.0,361.0,0.0,361.0,258.0,0.0,258.0,103.0,0.0,103.0,67.0,67.0,0.0,67.0,67.0,0.0,0.0,0.0,0.0
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",12520.0,6278.0,6242.0,4483.0,2647.0,1836.0,8037.0,3631.0,4406.0,3953.0,1982.0,1971.0,2192.0,1276.0,916.0,1761.0,706.0,1055.0,6666.0,3401.0,3265.0,1947.0,1027.0,920.0,4719.0,2374.0,2345.0,1901.0,895.0,1006.0,344.0,344.0,0.0,1557.0,551.0,1006.0
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",32089.0,16812.0,15277.0,15384.0,7700.0,7684.0,16705.0,9112.0,7593.0,17432.0,8606.0,8826.0,9791.0,4875.0,4916.0,7641.0,3731.0,3910.0,12483.0,7019.0,5464.0,4503.0,2217.0,2286.0,7980.0,4802.0,3178.0,2174.0,1187.0,987.0,1090.0,608.0,482.0,1084.0,579.0,505.0
