,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
61,NYC-Manhattan Community District 10--Central Harlem PUMA,15197,8109,7088,11048,6692,4356,4149,1417,2732,6158,3165,2993,5612,2922,2690,546,243,303,5805,3056,2749,3220,1964,1256,2585,1092,1493,3234,1888,1346,2216,1806,410,1018,82,936
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,17188,9063,8125,15830,8157,7673,1358,906,452,7871,3563,4308,7668,3445,4223,203,118,85,7475,4383,3092,6611,3886,2725,864,497,367,1842,1117,725,1551,826,725,291,291,0
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,6376,2258,4118,3192,1225,1967,3184,1033,2151,1836,751,1085,904,240,664,932,511,421,2709,854,1855,1314,599,715,1395,255,1140,1831,653,1178,974,386,588,857,267,590
64,Albany County (East Central)--Albany City PUMA,5913,2423,3490,4967,1841,3126,946,582,364,2167,1138,1029,1800,998,802,367,140,227,2207,998,1209,1672,556,1116,535,442,93,1539,287,1252,1495,287,1208,44,0,44
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,9948,5409,4539,8404,4562,3842,1544,847,697,3543,1625,1918,2989,1148,1841,554,477,77,4949,2540,2409,4176,2387,1789,773,153,620,1456,1244,212,1239,1027,212,217,217,0
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,1617,981,636,1572,981,591,45,0,45,1295,809,486,1295,809,486,0,0,0,322,172,150,277,172,105,45,0,45,0,0,0,0,0,0,0,0,0
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",16176,7605,8571,9972,4161,5811,6204,3444,2760,4231,1360,2871,3611,1252,2359,620,108,512,9196,4931,4265,5063,2396,2667,4133,2535,1598,2749,1314,1435,1298,513,785,1451,801,650
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",19809,9903,9906,11738,5775,5963,8071,4128,3943,3410,1476,1934,2292,1242,1050,1118,234,884,12382,6591,5791,7461,3594,3867,4921,2997,1924,4017,1836,2181,1985,939,1046,2032,897,1135
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",16044,6791,9253,13272,5713,7559,2772,1078,1694,7669,3341,4328,7166,3237,3929,503,104,399,5931,2581,3350,4540,2246,2294,1391,335,1056,2444,869,1575,1566,230,1336,878,639,239
70,Erie County (Northeast) PUMA,2315,1304,1011,2302,1291,1011,13,13,0,1466,980,486,1466,980,486,0,0,0,776,324,452,763,311,452,13,13,0,73,0,73,73,0,73,0,0,0
